case_id,split
g010nm_cooling_high_localized-sink,train
g010nm_cooling_high_nominal,train
g010nm_cooling_low_localized-sink,train
g010nm_cooling_low_nominal,train
g010nm_cooling_near-transition_localized-sink,train
g010nm_cooling_near-transition_nominal,train
g010nm_heating_high_localized-sink,train
g010nm_heating_high_nominal,train
g010nm_heating_low_localized-sink,train
g010nm_heating_low_nominal,train
g010nm_heating_near-transition_localized-sink,train
g010nm_heating_near-transition_nominal,train
g020nm_cooling_high_localized-sink,train
g020nm_cooling_high_nominal,validation
g020nm_cooling_low_localized-sink,train
g020nm_cooling_low_nominal,train
g020nm_cooling_near-transition_localized-sink,validation
g020nm_cooling_near-transition_nominal,train
g020nm_heating_high_localized-sink,validation
g020nm_heating_high_nominal,train
g020nm_heating_low_localized-sink,train
g020nm_heating_low_nominal,train
g020nm_heating_near-transition_localized-sink,train
g020nm_heating_near-transition_nominal,validation
g030nm_cooling_high_localized-sink,test
g030nm_cooling_high_nominal,test
g030nm_cooling_low_localized-sink,test
g030nm_cooling_low_nominal,test
g030nm_cooling_near-transition_localized-sink,test
g030nm_cooling_near-transition_nominal,test
g030nm_heating_high_localized-sink,test
g030nm_heating_high_nominal,test
g030nm_heating_low_localized-sink,test
g030nm_heating_low_nominal,test
g030nm_heating_near-transition_localized-sink,test
g030nm_heating_near-transition_nominal,test
