method,geometry,transition_width,noise,seed,chi,chi_c,selected_branch,relative_error,gain_over_fourier_off,smooth_degradation,runtime_cost,failure,finite_result,is_actual_autograd_training
fourier_off,uniform_strip,0.2,0.0,2026,1.25,1.5,vanilla,1.238170862197876,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.2,0.0,2026,1.25,1.5,fourier,1.3899292945861816,-0.12256663197429749,0.12256663197429751,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.2,0.0,2026,1.25,1.5,f_sps,1.1885886192321777,0.04004475026789505,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.2,0.0,2026,1.25,1.5,smooth_vanilla,1.1977674961090088,0.03263149483032351,0.0,288.0,False,True,True
front_local_fourier,uniform_strip,0.2,0.0,2026,1.25,1.5,uniform_fourier,1.3340623378753662,-0.07744607679369336,0.07744607679369331,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.2,0.0,2026,1.25,1.5,adaptive_smooth_off,1.3305126428604126,-0.07457919054775752,0.07457919054775752,288.0,False,True,True
fourier_off,uniform_strip,0.2,0.0,2027,1.25,1.5,vanilla,1.4368282556533813,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.2,0.0,2027,1.25,1.5,fourier,1.3316619396209717,0.07319337966706847,0.0,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.2,0.0,2027,1.25,1.5,f_sps,1.037438154220581,0.27796648615542585,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.2,0.0,2027,1.25,1.5,smooth_vanilla,1.5741398334503174,-0.09556575551508427,0.09556575551508417,288.0,False,True,True
front_local_fourier,uniform_strip,0.2,0.0,2027,1.25,1.5,uniform_fourier,1.262376308441162,0.12141461342078716,0.0,374.40000000000003,False,True,True
adaptive_f_sps,uniform_strip,0.2,0.0,2027,1.25,1.5,adaptive_smooth_off,1.6341478824615479,-0.13733000171160864,0.13733000171160858,288.0,False,True,True
fourier_off,uniform_strip,0.2,0.02,2026,1.25,1.5,vanilla,1.2381224632263184,0.0,0.0,288.0,False,True,True
fourier_always_on,uniform_strip,0.2,0.02,2026,1.25,1.5,fourier,1.3898322582244873,-0.12253213999755828,0.1225321399975583,374.40000000000003,False,True,True
f_sps_always_on,uniform_strip,0.2,0.02,2026,1.25,1.5,f_sps,1.1886000633239746,0.039997981922803925,0.0,374.40000000000003,False,True,True
stiffness_gated_fourier,uniform_strip,0.2,0.02,2026,1.25,1.5,smooth_vanilla,1.1977277994155884,0.03262574180704948,0.0,288.0,False,True,True
