protocol,basis_mode,noise,seed,field_error,T_error,m_error,success,fisher_rank,fisher_condition_number,observation_count,uses_holdout_target,no_target_leakage,uses_multilayer_sandwich_fields,finite_result
analytic_basis_legacy,analytic_basis_legacy,0.0,2026,0.9700655392916255,1.4026303411534102,0.5375007374298408,False,5,462.5115365022129,22,True,True,True,True
analytic_basis_legacy,analytic_basis_legacy,0.0,2027,0.9700655392916255,1.4026303411534102,0.5375007374298408,False,5,462.5115365022129,22,True,True,True,True
analytic_basis_legacy,analytic_basis_legacy,0.02,2026,0.9824708208938995,1.4016214010000883,0.5633202407877108,False,5,462.5115365022129,22,True,True,True,True
analytic_basis_legacy,analytic_basis_legacy,0.02,2027,0.9772731039936944,1.4033308052323095,0.5512154027550793,False,5,462.5115365022129,22,True,True,True,True
ensemble_pod_basis,ensemble_pod_basis,0.0,2026,0.8165132936096694,1.161377104917434,0.4716494823019048,False,4,910.1516993422712,4,True,True,True,True
ensemble_pod_basis,ensemble_pod_basis,0.0,2027,0.8165132936096694,1.161377104917434,0.4716494823019048,False,4,910.1516993422712,4,True,True,True,True
ensemble_pod_basis,ensemble_pod_basis,0.02,2026,0.8135428348272506,1.1614306721216996,0.4656549975328018,False,4,910.1516993422712,4,True,True,True,True
ensemble_pod_basis,ensemble_pod_basis,0.02,2027,0.8056855958975944,1.1613542490290765,0.45001694276611226,False,4,910.1516993422712,4,True,True,True,True
ensemble_pod_plus_fisher_anchors,ensemble_pod_plus_fisher_anchors,0.0,2026,0.7805643071194288,1.163876326944213,0.39725228729464457,False,5,455.44280072094693,36,True,True,True,True
ensemble_pod_plus_fisher_anchors,ensemble_pod_plus_fisher_anchors,0.0,2027,0.7805643071194288,1.163876326944213,0.39725228729464457,False,5,455.44280072094693,36,True,True,True,True
ensemble_pod_plus_fisher_anchors,ensemble_pod_plus_fisher_anchors,0.02,2026,0.7764911648745919,1.1643825449255951,0.3885997848235887,False,5,455.44280072094693,36,True,True,True,True
ensemble_pod_plus_fisher_anchors,ensemble_pod_plus_fisher_anchors,0.02,2027,0.7832617401501633,1.1642531693709164,0.40227031092941007,False,5,455.44280072094693,36,True,True,True,True
ensemble_pod_plus_multi_terminal,ensemble_pod_plus_multi_terminal,0.0,2026,0.7858214036411177,1.1610357885053064,0.41060701877692896,False,5,114557.86328226923,8,True,True,True,True
ensemble_pod_plus_multi_terminal,ensemble_pod_plus_multi_terminal,0.0,2027,0.7858214036411177,1.1610357885053064,0.41060701877692896,False,5,114557.86328226923,8,True,True,True,True
ensemble_pod_plus_multi_terminal,ensemble_pod_plus_multi_terminal,0.02,2026,0.7727656646251473,1.1611015548200538,0.3844297744302408,False,5,114557.86328226923,8,True,True,True,True
ensemble_pod_plus_multi_terminal,ensemble_pod_plus_multi_terminal,0.02,2027,0.7849041551195675,1.1610255441132804,0.4087827661258546,False,5,114557.86328226923,8,True,True,True,True
