structure,geometry,pulse,material_family,transition_width,seed,finite_result,interface_bc_residual,potential_jump_residual,normal_current_mismatch,temperature_jump_residual,substrate_robin_residual,energy_balance_error,max_delta_T,conductance_ratio,used_artificial_lateral_factor,used_temperature_clip,used_global_sink,adaptive_substeps_enabled,semi_implicit_boundary_enabled
pcm_plus_electrodes,uniform_crossbar,short_pulse,generic,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,6.268532953747119e-09,0.00022638437445721138,1.976854775482822,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,short_pulse,generic,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,6.297623408318965e-09,0.00022638437440036796,1.9768547713966984,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,generic,0.08,2026,True,2.06967020752321e-16,2.06967020752321e-16,1.5027570831137402e-16,0.0,0.0,4.00317180015061e-09,0.00018017733339092956,1.976854775482822,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,generic,0.2,2026,True,2.0696702117883156e-16,2.0696702117883156e-16,1.5027570831035964e-16,0.0,0.0,3.9949288837890285e-09,0.00018017733333408614,1.9768547713958229,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,generic,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,5.915416449725821e-09,0.0005685220372697586,1.9767364652729351,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,generic,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,5.950472926149033e-09,0.0005685220369286981,1.9767364611866975,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,generic,0.08,2026,True,1.9496342485723093e-16,1.9496342485723093e-16,1.4036305674140253e-16,0.0,0.0,3.798302156777713e-09,0.0004524797217300147,1.9767364652729345,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,generic,0.2,2026,True,1.949634252589897e-16,1.949634252589897e-16,1.240638918488881e-16,0.0,0.0,3.785369298080099e-09,0.0004524797214457976,1.9767364611854101,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,generic,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000013523,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,generic,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000013523,False,False,False,True,True
