method,geometry,transition_width,noise,seed,relative_error,finite_result,success,gain_over_vanilla,smooth_regime_degradation,training_mode,is_actual_pinn_training,claim_status,allowed_claim,forbidden_claim
vanilla_mlp,uniform_strip,0.2,0.0,2026,0.1567637908334366,True,True,0.0,0.0,residual_proxy_condition_sweep,False,baseline,vanilla MLP is the proxy baseline,universal F-SPS/Fourier superiority
fourier_features,uniform_strip,0.2,0.0,2026,0.16146670455843973,True,True,-0.030000000000000113,0.030000000000000027,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
multiscale_fourier_features,uniform_strip,0.2,0.0,2026,0.1567637908334366,True,True,0.0,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2026,0.15989906665010534,True,True,-0.01999999999999996,0.020000000000000018,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_adaptive_collocation,uniform_strip,0.2,0.0,2026,0.15362851501676789,True,True,0.01999999999999996,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2026,0.1520608771084335,True,True,0.030000000000000113,0.0,residual_proxy_condition_sweep,False,qualified_supported,Fourier/F-SPS-style features are conditionally beneficial in sharp/front regimes in this proxy benchmark,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.0,2027,0.15989063025039982,True,True,0.0,0.0,residual_proxy_condition_sweep,False,baseline,vanilla MLP is the proxy baseline,universal F-SPS/Fourier superiority
fourier_features,uniform_strip,0.2,0.0,2027,0.1646873491579118,True,True,-0.029999999999999957,0.030000000000000027,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
multiscale_fourier_features,uniform_strip,0.2,0.0,2027,0.15989063025039982,True,True,0.0,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2027,0.16308844285540783,True,True,-0.020000000000000087,0.020000000000000018,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_adaptive_collocation,uniform_strip,0.2,0.0,2027,0.1566928176453918,True,True,0.020000000000000087,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2027,0.15509391134288783,True,True,0.029999999999999957,0.0,residual_proxy_condition_sweep,False,qualified_supported,Fourier/F-SPS-style features are conditionally beneficial in sharp/front regimes in this proxy benchmark,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.02,2026,0.18609379040872476,True,True,0.0,0.0,residual_proxy_condition_sweep,False,baseline,vanilla MLP is the proxy baseline,universal F-SPS/Fourier superiority
fourier_features,uniform_strip,0.2,0.02,2026,0.1916766041209865,True,True,-0.029999999999999995,0.030000000000000027,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
multiscale_fourier_features,uniform_strip,0.2,0.02,2026,0.18609379040872476,True,True,0.0,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.02,2026,0.18981566621689924,True,True,-0.019999999999999945,0.020000000000000018,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_adaptive_collocation,uniform_strip,0.2,0.02,2026,0.18528986523415908,True,True,0.004319999999999932,0.0,residual_proxy_condition_sweep,False,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.02,2026,0.18213557548673115,True,True,0.021270000000000174,0.0,residual_proxy_condition_sweep,False,qualified_supported,Fourier/F-SPS-style features are conditionally beneficial in sharp/front regimes in this proxy benchmark,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.02,2027,0.189805651394023,True,True,0.0,0.0,residual_proxy_condition_sweep,False,baseline,vanilla MLP is the proxy baseline,universal F-SPS/Fourier superiority
