protocol,response_protocol,T_sw_prior_width_after_calibration,calibration_error_K,effective_prior_width,noise,seed,relative_error,gamma_est,success_flag,finite_result
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.0,2026,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.0,2027,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.0,2028,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.0,2029,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.0,2030,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.02,2026,1.1757664137278396,979094886.1775279,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.02,2027,1.175168835538671,978825975.992402,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.02,2028,1.1745798642936272,978560938.9321324,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.02,2029,1.1745409974392211,978543448.8476496,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.02,2030,1.17508796898215,978789586.0419675,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.05,2026,1.2222222222222223,1000000000.0,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.05,2027,1.22219788151898,999989046.683541,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.05,2028,1.220666510051784,999299929.5233028,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.05,2029,1.2205654531795547,999254453.9307997,False,True
ltp_ltd_only,ltp_ltd,1.0,0.0,1.0,0.05,2030,1.221987622124572,999894429.9560573,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.0,2026,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.0,2027,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.0,2028,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.0,2029,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.0,2030,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.02,2026,1.1757664137278396,979094886.1775279,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.02,2027,1.175168835538671,978825975.992402,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.02,2028,1.1745798642936272,978560938.9321324,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.02,2029,1.1745409974392211,978543448.8476496,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.02,2030,1.17508796898215,978789586.0419675,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.05,2026,1.2222222222222223,1000000000.0,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.05,2027,1.22219788151898,999989046.683541,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.05,2028,1.220666510051784,999299929.5233028,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.05,2029,1.2205654531795547,999254453.9307997,False,True
ltp_ltd_only,ltp_ltd,1.0,0.04,1.0,0.05,2030,1.221987622124572,999894429.9560573,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.0,2026,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.0,2027,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.0,2028,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.0,2029,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.0,2030,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.02,2026,1.1757664137278396,979094886.1775279,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.02,2027,1.175168835538671,978825975.992402,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.02,2028,1.1745798642936272,978560938.9321324,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.02,2029,1.1745409974392211,978543448.8476496,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.02,2030,1.17508796898215,978789586.0419675,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.05,2026,1.2222222222222223,1000000000.0,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.05,2027,1.22219788151898,999989046.683541,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.05,2028,1.220666510051784,999299929.5233028,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.05,2029,1.2205654531795547,999254453.9307997,False,True
ltp_ltd_only,ltp_ltd,1.0,0.1,1.0,0.05,2030,1.221987622124572,999894429.9560573,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.0,2026,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.0,2027,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.0,2028,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.0,2029,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.0,2030,1.129979035639413,958490566.0377358,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.02,2026,1.1757664137278396,979094886.1775279,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.02,2027,1.175168835538671,978825975.992402,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.02,2028,1.1745798642936272,978560938.9321324,False,True
ltp_ltd_only,ltp_ltd,1.0,0.2,1.0,0.02,2029,1.1745409974392211,978543448.8476496,False,True
