phase,protocol,delta_T_sw_K,observation_count,noise,seed,solver_level,gamma_est,relative_error,objective,retained_candidate_count,abstained,success,target_cache_key
discovery,ltp_ltd,0.0,8,0.0,20260715,base,450000000.0,0.0,0.0,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,8,0.02,20260715,base,475000000.0,0.05555555555555555,0.0016312187282724743,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,8,0.02,20260716,base,450000000.0,0.0,0.0011128999631263613,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,8,0.02,20260717,base,425000000.0,0.05555555555555555,0.0012197352915633982,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,8,0.02,20260718,base,475000000.0,0.05555555555555555,0.0018564339248710246,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,8,0.02,20260719,base,475000000.0,0.05555555555555555,0.000288228397276279,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.0,20260715,base,450000000.0,0.0,0.0,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.02,20260715,base,425000000.0,0.05555555555555555,0.0011571232874038797,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.02,20260716,base,450000000.0,0.0,0.001351532843217006,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.02,20260717,base,450000000.0,0.0,0.0012272071692429488,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.02,20260718,base,450000000.0,0.0,0.0018598845327724815,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.0,32,0.02,20260719,base,450000000.0,0.0,0.0011530369332646228,8,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,8,0.0,20260715,base,500000000.0,0.1111111111111111,0.00039562003248269336,10,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,8,0.02,20260715,base,550000000.0,0.2222222222222222,0.0023411403161565808,11,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,ltp_ltd,0.2,8,0.02,20260716,base,500000000.0,0.1111111111111111,0.0016247281988730424,9,True,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=0.20000000000000001|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
