protocol,scenario,observation_count,noise,gamma_true,gamma_est,relative_error,objective,G_loss,I_loss,T_sw_delta_K,T_sw_prior_width,recoverable_le_0p1,recoverable_le_0p2,finite_result,frozen_inputs_unchanged
ltp_ltd,T_sw_mismatch,8,0.0,450000000.0,1000000000.0,1.2222222222222223,0.03602103312458599,0.019617854694667307,0.03280635685983737,2.0,1.0,False,False,True,True
ltp_ltd,T_sw_mismatch,8,0.02,450000000.0,1000000000.0,1.2222222222222223,0.0379098686867647,0.024579314930030127,0.026661107513469142,2.0,1.0,False,False,True,True
ltp_ltd,T_sw_mismatch,32,0.0,450000000.0,1000000000.0,1.2222222222222223,0.03386738505771758,0.01981598186375771,0.028102806387919732,2.0,1.0,False,False,True,True
ltp_ltd,T_sw_mismatch,32,0.02,450000000.0,1000000000.0,1.2222222222222223,0.035125782831958316,0.02065838832061251,0.02893478902269161,2.0,1.0,False,False,True,True
ltp_ltd,narrow_T_sw_prior,8,0.0,450000000.0,500000000.0,0.1111111111111111,0.00039562003248269336,0.0001860022379630605,0.00041923558903926567,2.0,0.1,False,True,True,True
ltp_ltd,narrow_T_sw_prior,8,0.02,450000000.0,550000000.0,0.2222222222222222,0.0015178938916815285,0.00026134524240541373,0.0025130972985522295,2.0,0.1,False,False,True,True
ltp_ltd,narrow_T_sw_prior,32,0.0,450000000.0,500000000.0,0.1111111111111111,0.00036072504674767013,0.00019173922502853914,0.000337971643438262,2.0,0.1,False,True,True,True
ltp_ltd,narrow_T_sw_prior,32,0.02,450000000.0,500000000.0,0.1111111111111111,0.0016852319125254026,0.0009772328445259307,0.0014159981359989438,2.0,0.1,False,True,True,True
ltp_ltd,nominal_fixed_prior,8,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
ltp_ltd,nominal_fixed_prior,8,0.02,450000000.0,450000000.0,0.0,0.0010869636455466728,0.0005602554470404088,0.001053416397012528,0.0,0.0,True,True,True,True
ltp_ltd,nominal_fixed_prior,32,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
ltp_ltd,nominal_fixed_prior,32,0.02,450000000.0,450000000.0,0.0,0.002397116433439303,0.0009352744822506227,0.00292368390237736,0.0,0.0,True,True,True,True
mixed_protocol,T_sw_mismatch,8,0.0,450000000.0,1000000000.0,1.2222222222222223,0.08073853633479738,0.05187733549200563,0.05772240168558353,2.0,1.0,False,False,True,True
mixed_protocol,T_sw_mismatch,8,0.02,450000000.0,1000000000.0,1.2222222222222223,0.08113694171910299,0.053056359535607944,0.056161164366990084,2.0,1.0,False,False,True,True
mixed_protocol,T_sw_mismatch,32,0.0,450000000.0,1000000000.0,1.2222222222222223,0.0768821823000716,0.050950000013785766,0.05186436457257166,2.0,1.0,False,False,True,True
mixed_protocol,T_sw_mismatch,32,0.02,450000000.0,1000000000.0,1.2222222222222223,0.07879464142954945,0.05362732021969409,0.05033464241971072,2.0,1.0,False,False,True,True
mixed_protocol,narrow_T_sw_prior,8,0.0,450000000.0,550000000.0,0.2222222222222222,0.0004843862498275269,0.00036851226573913576,0.00023174796817678226,2.0,0.1,False,False,True,True
mixed_protocol,narrow_T_sw_prior,8,0.02,450000000.0,550000000.0,0.2222222222222222,0.0014894517098437404,0.0005126890832081978,0.0019535252532710853,2.0,0.1,False,False,True,True
mixed_protocol,narrow_T_sw_prior,32,0.0,450000000.0,550000000.0,0.2222222222222222,0.0005329090039515082,0.00040663367472170266,0.0002525506584596112,2.0,0.1,False,False,True,True
mixed_protocol,narrow_T_sw_prior,32,0.02,450000000.0,550000000.0,0.2222222222222222,0.0026888523040023834,0.001467633358008376,0.0024424378919880147,2.0,0.1,False,False,True,True
mixed_protocol,nominal_fixed_prior,8,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
mixed_protocol,nominal_fixed_prior,8,0.02,450000000.0,450000000.0,0.0,0.0011806254282749618,0.0007097120312078705,0.0009418267941341824,0.0,0.0,True,True,True,True
mixed_protocol,nominal_fixed_prior,32,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
mixed_protocol,nominal_fixed_prior,32,0.02,450000000.0,450000000.0,0.0,0.0024770085938615014,0.0009747996319177399,0.0030044179238875226,0.0,0.0,True,True,True,True
multi_amplitude_synthetic,T_sw_mismatch,8,0.0,450000000.0,1000000000.0,1.2222222222222223,28.19392159510868,16.991272398469707,22.405298393277945,2.0,1.0,False,False,True,True
multi_amplitude_synthetic,T_sw_mismatch,8,0.02,450000000.0,1000000000.0,1.2222222222222223,27.228118955251443,15.845998986848112,22.76423993680666,2.0,1.0,False,False,True,True
multi_amplitude_synthetic,T_sw_mismatch,32,0.0,450000000.0,1000000000.0,1.2222222222222223,15.828201856860007,8.347379638162774,14.961644437394465,2.0,1.0,False,False,True,True
multi_amplitude_synthetic,T_sw_mismatch,32,0.02,450000000.0,1000000000.0,1.2222222222222223,15.8313536356043,8.370601414030366,14.921504443147867,2.0,1.0,False,False,True,True
multi_amplitude_synthetic,narrow_T_sw_prior,8,0.0,450000000.0,550000000.0,0.2222222222222222,0.002796664592843494,0.0018851905216038473,0.0018229481424792931,2.0,0.1,False,False,True,True
multi_amplitude_synthetic,narrow_T_sw_prior,8,0.02,450000000.0,550000000.0,0.2222222222222222,0.002954226241680583,0.00205570868153996,0.0017970351202812455,2.0,0.1,False,False,True,True
multi_amplitude_synthetic,narrow_T_sw_prior,32,0.0,450000000.0,550000000.0,0.2222222222222222,0.004357139559035896,0.003059729256934022,0.002594820604203748,2.0,0.1,False,False,True,True
multi_amplitude_synthetic,narrow_T_sw_prior,32,0.02,450000000.0,550000000.0,0.2222222222222222,0.01658687973574057,0.009024866157667817,0.01512402715614551,2.0,0.1,False,False,True,True
multi_amplitude_synthetic,nominal_fixed_prior,8,0.0,450000000.0,450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
