case_name,noise_level,prior_width,worst_confounder,direction,perturbation,true_gamma_sub,estimated_gamma_sub,relative_error,success_flag,objective_value,G_loss,I_loss,heat_residual_loss,num_multistarts
nominal,0.0,0.0,none,0,0.0,450000000.0,450000000.0,0.0,True,1.1206866550082835e-06,4.381506616807659e-08,6.177491105789369e-08,0.000104598413331126,3
nominal,0.02,0.0,none,0,0.0,450000000.0,450000000.0,0.0,True,0.0026855013789021725,0.0009343639944138832,0.003500182800709957,0.000104598413331126,3
nominal,0.05,0.0,none,0,0.0,450000000.0,450000000.0,0.0,True,0.022154854701089226,0.008848596494150946,0.026610424445609935,0.000104598413331126,3
T_sw_minus_0.05,0.0,0.05,T_sw,-1,-0.1,450000000.0,400000000.0,0.1111111111111111,True,0.00013426688512040746,0.0001042826313456159,5.7985492139384e-05,9.915077050995621e-05,3
T_sw_minus_0.05,0.02,0.05,T_sw,-1,-0.1,450000000.0,375000000.0,0.16666666666666666,False,0.0018609883560653706,0.0011554553459253933,0.001409139637216309,9.631915318229027e-05,3
T_sw_minus_0.05,0.05,0.05,T_sw,-1,-0.1,450000000.0,425000000.0,0.05555555555555555,True,0.014453098964963199,0.007819893355741079,0.013264373003624458,0.00010191074098919695,3
T_sw_plus_0.05,0.0,0.05,T_sw,1,0.1,450000000.0,500000000.0,0.1111111111111111,True,0.00013020556727863207,9.961391482986705e-05,5.899396150215068e-05,0.00010946716976896814,3
T_sw_plus_0.05,0.02,0.05,T_sw,1,0.1,450000000.0,500000000.0,0.1111111111111111,True,0.0024707171003391297,0.0011112369341697607,0.0027167709889433585,0.00010946716976896814,3
T_sw_plus_0.05,0.05,0.05,T_sw,1,0.1,450000000.0,550000000.0,0.2222222222222222,False,0.016554598842112418,0.011949012653645478,0.009208896261164749,0.00011380578845661339,3
tau_m_minus_0.05,0.0,0.05,tau_m,-1,-0.025,450000000.0,450000000.0,0.0,True,8.002862028891966e-05,4.593120512870956e-05,6.610286205379767e-05,0.000104598413331126,3
tau_m_minus_0.05,0.02,0.05,tau_m,-1,-0.025,450000000.0,425000000.0,0.05555555555555555,True,0.002415822042343385,0.001362012354232358,0.00210558116140227,0.00010191074098919695,3
tau_m_minus_0.05,0.05,0.05,tau_m,-1,-0.025,450000000.0,400000000.0,0.1111111111111111,True,0.016507861452912328,0.007031769472977067,0.018950200944460326,9.915077050995621e-05,3
tau_m_plus_0.05,0.0,0.05,tau_m,1,0.025,450000000.0,450000000.0,0.0,True,6.691001664068305e-05,3.841663485609646e-05,5.489479530255066e-05,0.000104598413331126,3
tau_m_plus_0.05,0.02,0.05,tau_m,1,0.025,450000000.0,500000000.0,0.1111111111111111,True,0.002848455650543865,0.0015703800242337013,0.002553961909224948,0.00010946716976896814,3
tau_m_plus_0.05,0.05,0.05,tau_m,1,0.025,450000000.0,450000000.0,0.0,True,0.010387698109101597,0.0047095085966464565,0.01135428705664366,0.000104598413331126,3
sigma_on0_minus_0.05,0.0,0.05,sigma_on0,-1,-0.0075,450000000.0,450000000.0,0.0,True,1.1294813384320796e-05,5.970385484722302e-06,8.556887532574466e-06,0.000104598413331126,3
sigma_on0_minus_0.05,0.02,0.05,sigma_on0,-1,-0.0075,450000000.0,450000000.0,0.0,True,0.0016736902515180202,0.0009220565547169246,0.001501175425335569,0.000104598413331126,3
sigma_on0_minus_0.05,0.05,0.05,sigma_on0,-1,-0.0075,450000000.0,450000000.0,0.0,True,0.01382832599165982,0.005230018468432088,0.01719452307818884,0.000104598413331126,3
sigma_on0_plus_0.05,0.0,0.05,sigma_on0,1,0.0075,450000000.0,450000000.0,0.0,True,1.1178193077472296e-05,5.901430755795571e-06,8.461556376730927e-06,0.000104598413331126,3
sigma_on0_plus_0.05,0.02,0.05,sigma_on0,1,0.0075,450000000.0,450000000.0,0.0,True,0.002744940420799186,0.0008462316044462538,0.0037953256644392415,0.000104598413331126,3
sigma_on0_plus_0.05,0.05,0.05,sigma_on0,1,0.0075,450000000.0,450000000.0,0.0,True,0.01523024503831605,0.0061203634244604704,0.018217671259444537,0.000104598413331126,3
eta_A_minus_0.05,0.0,0.05,eta_A,-1,-0.0075,450000000.0,450000000.0,0.0,True,8.670099114432894e-05,5.7103338007345236e-05,5.7103338007344883e-05,0.000104598413331126,3
eta_A_minus_0.05,0.02,0.05,eta_A,-1,-0.0075,450000000.0,450000000.0,0.0,True,0.0031700879005962107,0.001237542124214638,0.0038629995844965234,0.000104598413331126,3
eta_A_minus_0.05,0.05,0.05,eta_A,-1,-0.0075,450000000.0,450000000.0,0.0,True,0.013420404839799102,0.006331674080735858,0.014175369549859866,0.000104598413331126,3
eta_A_plus_0.05,0.0,0.05,eta_A,1,0.0075,450000000.0,450000000.0,0.0,True,8.416945635468383e-05,5.54156481475818e-05,5.541564814758153e-05,0.000104598413331126,3
eta_A_plus_0.05,0.02,0.05,eta_A,1,0.0075,450000000.0,425000000.0,0.05555555555555555,True,0.0021112043527578,0.0007070733914079178,0.002806223707879981,0.00010191074098919695,3
eta_A_plus_0.05,0.05,0.05,eta_A,1,0.0075,450000000.0,425000000.0,0.05555555555555555,True,0.015283734601635852,0.005900413103636876,0.01876460478117817,0.00010191074098919695,3
T_sw_minus_0.1,0.0,0.1,T_sw,-1,-0.2,450000000.0,325000000.0,0.2777777777777778,False,0.0007124278895046044,0.00041364439035528804,0.0005957580953969148,9.04451450858906e-05,3
T_sw_minus_0.1,0.02,0.1,T_sw,-1,-0.2,450000000.0,325000000.0,0.2777777777777778,False,0.003393415174461613,0.0017705943765280402,0.0032438326929654275,9.04451450858906e-05,3
T_sw_minus_0.1,0.05,0.1,T_sw,-1,-0.2,450000000.0,375000000.0,0.16666666666666666,False,0.013784449023914997,0.008679038239679056,0.010208895185408236,9.631915318229027e-05,3
T_sw_plus_0.1,0.0,0.1,T_sw,1,0.2,450000000.0,550000000.0,0.2222222222222222,False,0.0005350220029081567,0.00040889512491461467,0.0002499776402179519,0.00011380578845661339,3
T_sw_plus_0.1,0.02,0.1,T_sw,1,0.2,450000000.0,550000000.0,0.2222222222222222,False,0.002253998539199609,0.001106602403760486,0.0022925161551091144,0.00011380578845661339,3
T_sw_plus_0.1,0.05,0.1,T_sw,1,0.2,450000000.0,650000000.0,0.4444444444444444,False,0.01841489362430451,0.0067721716496424,0.023282999058985492,0.00012224451693628152,3
tau_m_minus_0.1,0.0,0.1,tau_m,-1,-0.05,450000000.0,425000000.0,0.05555555555555555,True,3.45077034377729e-05,2.054555872759167e-05,2.588607460057853e-05,0.00010191074098919695,3
tau_m_minus_0.1,0.02,0.1,tau_m,-1,-0.05,450000000.0,450000000.0,0.0,True,0.0022714001081628873,0.0012541340608197816,0.002032440126419589,0.000104598413331126,3
tau_m_minus_0.1,0.05,0.1,tau_m,-1,-0.05,450000000.0,425000000.0,0.05555555555555555,True,0.02144785191965764,0.006188244313354867,0.030517176997785764,0.00010191074098919695,3
tau_m_plus_0.1,0.0,0.1,tau_m,1,0.05,450000000.0,475000000.0,0.05555555555555555,True,3.636486190737238e-05,2.0675243224268008e-05,2.9234974933169817e-05,0.00010721312165194623,3
tau_m_plus_0.1,0.02,0.1,tau_m,1,0.05,450000000.0,475000000.0,0.05555555555555555,True,0.001237744323194661,0.0008587105085120689,0.0007559233669321454,0.00010721312165194623,3
tau_m_plus_0.1,0.05,0.1,tau_m,1,0.05,450000000.0,475000000.0,0.05555555555555555,True,0.013653129522556458,0.006495128224272686,0.014313858334134504,0.00010721312165194623,3
sigma_on0_minus_0.1,0.0,0.1,sigma_on0,-1,-0.015,450000000.0,450000000.0,0.0,True,4.228240430548794e-05,2.4024032832951766e-05,3.442477467844982e-05,0.000104598413331126,3
sigma_on0_minus_0.1,0.02,0.1,sigma_on0,-1,-0.015,450000000.0,450000000.0,0.0,True,0.0027847037885515955,0.0015160804387009154,0.002535154731434738,0.000104598413331126,3
sigma_on0_minus_0.1,0.05,0.1,sigma_on0,-1,-0.015,450000000.0,450000000.0,0.0,True,0.020652442423412246,0.009709980397308872,0.021882832083940124,0.000104598413331126,3
sigma_on0_plus_0.1,0.0,0.1,sigma_on0,1,0.015,450000000.0,450000000.0,0.0,True,4.1344354854437334e-05,2.3469560461470706e-05,3.365762051931073e-05,0.000104598413331126,3
sigma_on0_plus_0.1,0.02,0.1,sigma_on0,1,0.015,450000000.0,425000000.0,0.05555555555555555,True,0.002697530803847091,0.0013270416693316328,0.002738940054211132,0.00010191074098919695,3
sigma_on0_plus_0.1,0.05,0.1,sigma_on0,1,0.015,450000000.0,425000000.0,0.05555555555555555,True,0.015039639045842533,0.00433162917502432,0.021413981526816644,0.00010191074098919695,3
eta_A_minus_0.1,0.0,0.1,eta_A,-1,-0.015,450000000.0,475000000.0,0.05555555555555555,True,0.00015255406827262326,9.171656953313304e-05,0.00011953073504594147,0.00010721312165194623,3
eta_A_minus_0.1,0.02,0.1,eta_A,-1,-0.015,450000000.0,450000000.0,0.0,True,0.0018293128840432952,0.0011201825047826403,0.0014161687902546876,0.000104598413331126,3
eta_A_minus_0.1,0.05,0.1,eta_A,-1,-0.015,450000000.0,475000000.0,0.05555555555555555,True,0.024076226691334548,0.011230288200382268,0.025689732719471524,0.00010721312165194623,3
eta_A_plus_0.1,0.0,0.1,eta_A,1,0.015,450000000.0,425000000.0,0.05555555555555555,True,0.00016176878008112962,9.431156279046942e-05,0.00013287621976153648,0.00010191074098919695,3
eta_A_plus_0.1,0.02,0.1,eta_A,1,0.015,450000000.0,425000000.0,0.05555555555555555,True,0.0021273097409761767,0.0014709781443241472,0.0013106249784842752,0.00010191074098919695,3
eta_A_plus_0.1,0.05,0.1,eta_A,1,0.015,450000000.0,425000000.0,0.05555555555555555,True,0.01364755861119155,0.004042916688309307,0.0192072456309447,0.00010191074098919695,3
T_sw_minus_0.25,0.0,0.25,T_sw,-1,-0.5,450000000.0,200000000.0,0.5555555555555556,False,0.003094325047443976,0.002505902608569547,0.001175352591083985,7.461433324363791e-05,3
T_sw_minus_0.25,0.02,0.25,T_sw,-1,-0.5,450000000.0,200000000.0,0.5555555555555556,False,0.007956450717594526,0.005691487695049739,0.004528433758424701,7.461433324363791e-05,3
T_sw_minus_0.25,0.05,0.25,T_sw,-1,-0.5,450000000.0,200000000.0,0.5555555555555556,False,0.014257844333205262,0.006735985241187594,0.015042225897370465,7.461433324363791e-05,3
T_sw_plus_0.25,0.0,0.25,T_sw,1,0.5,450000000.0,750000000.0,0.6666666666666666,False,0.0023105271973305457,0.0016802920310736,0.001257880619889967,0.00012948563119622852,3
T_sw_plus_0.25,0.02,0.25,T_sw,1,0.5,450000000.0,750000000.0,0.6666666666666666,False,0.004301717190199478,0.0027774994688266373,0.0030458457301217566,0.00012948563119622852,3
T_sw_plus_0.25,0.05,0.25,T_sw,1,0.5,450000000.0,750000000.0,0.6666666666666666,False,0.0209528981398298,0.008762902931175093,0.024377400704685498,0.00012948563119622852,3
tau_m_minus_0.25,0.0,0.25,tau_m,-1,-0.125,450000000.0,400000000.0,0.1111111111111111,True,0.00011646706408315149,9.391805036947681e-05,4.311501201715023e-05,9.915077050995621e-05,3
tau_m_minus_0.25,0.02,0.25,tau_m,-1,-0.125,450000000.0,375000000.0,0.16666666666666666,False,0.002988744101232362,0.0009686424254605055,0.004038276968480067,9.631915318229027e-05,3
tau_m_minus_0.25,0.05,0.25,tau_m,-1,-0.125,450000000.0,450000000.0,0.0,True,0.016115432739176393,0.008838355359150101,0.014552062791785962,0.000104598413331126,3
tau_m_plus_0.25,0.0,0.25,tau_m,1,0.125,450000000.0,500000000.0,0.1111111111111111,True,8.918579307850812e-05,6.842586262644892e-05,3.9330517508739025e-05,0.00010946716976896814,3
tau_m_plus_0.25,0.02,0.25,tau_m,1,0.125,450000000.0,500000000.0,0.1111111111111111,True,0.0018489377103708023,0.0007033934521017679,0.0022888991731426895,0.00010946716976896814,3
tau_m_plus_0.25,0.05,0.25,tau_m,1,0.125,450000000.0,500000000.0,0.1111111111111111,True,0.019098450146627276,0.005807326176178998,0.026580058597501177,0.00010946716976896814,3
sigma_on0_minus_0.25,0.0,0.25,sigma_on0,-1,-0.0375,450000000.0,475000000.0,0.05555555555555555,True,3.262349962614952e-05,1.620969271056498e-05,3.068335139813016e-05,0.00010721312165194623,3
sigma_on0_minus_0.25,0.02,0.25,sigma_on0,-1,-0.0375,450000000.0,475000000.0,0.05555555555555555,True,0.0018744296547362252,0.0008137976272029541,0.0021191197926335036,0.00010721312165194623,3
sigma_on0_minus_0.25,0.05,0.25,sigma_on0,-1,-0.0375,450000000.0,450000000.0,0.0,True,0.017743771329004898,0.007313851136847565,0.020857748416048046,0.000104598413331126,3
sigma_on0_plus_0.25,0.0,0.25,sigma_on0,1,0.0375,450000000.0,425000000.0,0.05555555555555555,True,4.321619780261923e-05,2.1295397058359748e-05,4.180338666873503e-05,0.00010191074098919695,3
sigma_on0_plus_0.25,0.02,0.25,sigma_on0,1,0.0375,450000000.0,450000000.0,0.0,True,0.0038767019130898344,0.0022651953125581705,0.003220921232796706,0.000104598413331126,3
sigma_on0_plus_0.25,0.05,0.25,sigma_on0,1,0.0375,450000000.0,450000000.0,0.0,True,0.015204254771033737,0.008155994983305647,0.014094427607189559,0.000104598413331126,3
eta_A_minus_0.25,0.0,0.25,eta_A,-1,-0.0375,450000000.0,500000000.0,0.1111111111111111,True,0.000794672720796779,0.0005422759202794275,0.0005026042576393237,0.00010946716976896814,3
eta_A_minus_0.25,0.02,0.25,eta_A,-1,-0.0375,450000000.0,475000000.0,0.05555555555555555,True,0.0038142173558805372,0.0022181897094586036,0.003189911030410828,0.00010721312165194623,3
eta_A_minus_0.25,0.05,0.25,eta_A,-1,-0.0375,450000000.0,475000000.0,0.05555555555555555,True,0.013181214111016614,0.0047256269301564615,0.016909030099287264,0.00010721312165194623,3
eta_A_plus_0.25,0.0,0.25,eta_A,1,0.0375,450000000.0,400000000.0,0.1111111111111111,True,0.0007611314274424359,0.0004930530845907832,0.0005341736702931063,9.915077050995621e-05,3
eta_A_plus_0.25,0.02,0.25,eta_A,1,0.0375,450000000.0,400000000.0,0.1111111111111111,True,0.00375237495988672,0.0025226766365121136,0.002457413631339015,9.915077050995621e-05,3
eta_A_plus_0.25,0.05,0.25,eta_A,1,0.0375,450000000.0,425000000.0,0.05555555555555555,True,0.018035222742603194,0.00869979742225523,0.018668812425876147,0.00010191074098919695,3
T_sw_minus_0.5,0.0,0.5,T_sw,-1,-1.0,450000000.0,150000000.0,0.6666666666666666,False,0.12560654420988646,0.07705780446469895,0.09709612319492919,6.781477229066338e-05,3
T_sw_minus_0.5,0.02,0.5,T_sw,-1,-1.0,450000000.0,150000000.0,0.6666666666666666,False,0.12495642136052704,0.0761837897874342,0.09754390685073985,6.781477229066338e-05,3
T_sw_minus_0.5,0.05,0.5,T_sw,-1,-1.0,450000000.0,150000000.0,0.6666666666666666,False,0.15016154813388452,0.08992197038188746,0.12047779920854837,6.781477229066338e-05,3
T_sw_plus_0.5,0.0,0.5,T_sw,1,1.0,450000000.0,1000000000.0,1.2222222222222223,False,0.010789130857114304,0.007982404880493302,0.005610571153857297,0.00014403996923541932,3
T_sw_plus_0.5,0.02,0.5,T_sw,1,1.0,450000000.0,1000000000.0,1.2222222222222223,False,0.012616960463760051,0.007252731739366865,0.010725576649401663,0.00014403996923541932,3
T_sw_plus_0.5,0.05,0.5,T_sw,1,1.0,450000000.0,1000000000.0,1.2222222222222223,False,0.01959599056747168,0.013973543994623092,0.011242012346312471,0.00014403996923541932,3
tau_m_minus_0.5,0.0,0.5,tau_m,-1,-0.25,450000000.0,325000000.0,0.2777777777777778,False,0.0008859739481180542,0.000581142353134379,0.0006078542870656325,9.04451450858906e-05,3
tau_m_minus_0.5,0.02,0.5,tau_m,-1,-0.25,450000000.0,325000000.0,0.2777777777777778,False,0.0032082107945416937,0.002428741198678805,0.0015571302888240594,9.04451450858906e-05,3
tau_m_minus_0.5,0.05,0.5,tau_m,-1,-0.25,450000000.0,325000000.0,0.2777777777777778,False,0.017668666381118553,0.010245546524691087,0.014844430809953214,9.04451450858906e-05,3
tau_m_plus_0.5,0.0,0.5,tau_m,1,0.25,450000000.0,550000000.0,0.2222222222222222,False,0.0003172376684020362,0.00024352934432263134,0.00014514053238967744,0.00011380578845661339,3
tau_m_plus_0.5,0.02,0.5,tau_m,1,0.25,450000000.0,550000000.0,0.2222222222222222,False,0.003984632931278718,0.0016748991235728426,0.004617191499642619,0.00011380578845661339,3
tau_m_plus_0.5,0.05,0.5,tau_m,1,0.25,450000000.0,500000000.0,0.1111111111111111,True,0.010933388233358573,0.003945766854034617,0.013973053415252535,0.00010946716976896814,3
sigma_on0_minus_0.5,0.0,0.5,sigma_on0,-1,-0.075,450000000.0,500000000.0,0.1111111111111111,True,0.00010626905160440426,5.504252695913696e-05,0.00010026370589515522,0.00010946716976896814,3
sigma_on0_minus_0.5,0.02,0.5,sigma_on0,-1,-0.075,450000000.0,500000000.0,0.1111111111111111,True,0.0027423866420097282,0.0009676695059195989,0.003547244928784879,0.00010946716976896814,3
sigma_on0_minus_0.5,0.05,0.5,sigma_on0,-1,-0.075,450000000.0,475000000.0,0.05555555555555555,True,0.011701067682379504,0.005853255575751269,0.01169347995082343,0.00010721312165194623,3
sigma_on0_plus_0.5,0.0,0.5,sigma_on0,1,0.075,450000000.0,425000000.0,0.05555555555555555,True,0.00012624693261254082,8.538943200782698e-05,7.967678638964375e-05,0.00010191074098919695,3
sigma_on0_plus_0.5,0.02,0.5,sigma_on0,1,0.075,450000000.0,425000000.0,0.05555555555555555,True,0.002109364528225675,0.0008452723432157309,0.0025261461552001045,0.00010191074098919695,3
sigma_on0_plus_0.5,0.05,0.5,sigma_on0,1,0.075,450000000.0,425000000.0,0.05555555555555555,True,0.01716841146928507,0.0072691466761530535,0.019796491371444253,0.00010191074098919695,3
eta_A_minus_0.5,0.0,0.5,eta_A,-1,-0.075,450000000.0,550000000.0,0.2222222222222222,False,0.003358098030750078,0.0023355430549740464,0.0020428338357829316,0.00011380578845661339,3
eta_A_minus_0.5,0.02,0.5,eta_A,-1,-0.075,450000000.0,550000000.0,0.2222222222222222,False,0.006004588873895961,0.002953217807500018,0.006100466017022754,0.00011380578845661339,3
eta_A_minus_0.5,0.05,0.5,eta_A,-1,-0.075,450000000.0,550000000.0,0.2222222222222222,False,0.025924484026170917,0.008163265279544175,0.03552016137748435,0.00011380578845661339,3
eta_A_plus_0.5,0.0,0.5,eta_A,1,0.075,450000000.0,375000000.0,0.16666666666666666,False,0.002683132963719939,0.0019060262620508557,0.00155228702027452,9.631915318229027e-05,3
eta_A_plus_0.5,0.02,0.5,eta_A,1,0.075,450000000.0,375000000.0,0.16666666666666666,False,0.0059007366856180955,0.0048729524593360074,0.0020536420695005304,9.631915318229027e-05,3
eta_A_plus_0.5,0.05,0.5,eta_A,1,0.075,450000000.0,375000000.0,0.16666666666666666,False,0.020980861504100754,0.007419992122670079,0.02711981237979771,9.631915318229027e-05,3
T_sw_minus_1,0.0,1.0,T_sw,-1,-2.0,450000000.0,150000000.0,0.6666666666666666,False,1.1794225954862791,0.7743375605419928,0.8101687135931268,6.781477229066338e-05,3
T_sw_minus_1,0.02,1.0,T_sw,-1,-2.0,450000000.0,150000000.0,0.6666666666666666,False,1.1777291039954365,0.7726969003049167,0.810063051085594,6.781477229066338e-05,3
T_sw_minus_1,0.05,1.0,T_sw,-1,-2.0,450000000.0,150000000.0,0.6666666666666666,False,1.1900122656226424,0.7857187986266705,0.808585577696498,6.781477229066338e-05,3
T_sw_plus_1,0.0,1.0,T_sw,1,2.0,450000000.0,1000000000.0,1.2222222222222223,False,0.12120439676120218,0.08237142046334764,0.07766307179632437,0.00014403996923541932,3
T_sw_plus_1,0.02,1.0,T_sw,1,2.0,450000000.0,1000000000.0,1.2222222222222223,False,0.11655749108546441,0.08072302990578623,0.07166604155997167,0.00014403996923541932,3
T_sw_plus_1,0.05,1.0,T_sw,1,2.0,450000000.0,1000000000.0,1.2222222222222223,False,0.11452696601244394,0.08005061816009966,0.06894981490530384,0.00014403996923541932,3
tau_m_minus_1,0.0,1.0,tau_m,-1,-0.5,450000000.0,200000000.0,0.5555555555555556,False,0.003140062885387814,0.0024324936087923464,0.001413646266526063,7.461433324363791e-05,3
