protocol,T_sw_delta_K,T_sw_prior_width,observation_count,noise,gamma_true,gamma_est,relative_error,recoverable_le_0p1,recoverable_le_0p2,finite_result,source
triangle,0.0,0.02,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.02,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.05,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.1,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.2,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,0.5,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,8,0.01,450000000.0,462982480.50258505,0.028849956672411144,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,8,0.02,450000000.0,476474077.8876243,0.058831284194720765,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,8,0.05,450000000.0,488890872.96526015,0.08642416214502248,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,16,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,16,0.01,450000000.0,459180000.0,0.0204,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,16,0.02,450000000.0,468720000.00000006,0.041600000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,16,0.05,450000000.0,477500000.0,0.061111111111111116,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,32,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,32,0.01,450000000.0,456491240.2512925,0.014424978336205572,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,32,0.02,450000000.0,463237038.9438122,0.029415642097360382,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,32,0.05,450000000.0,469445436.48263,0.04321208107251124,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,64,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,64,0.01,450000000.0,455967000.0,0.013260000000000001,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,64,0.02,450000000.0,462168000.0,0.027040000000000005,True,True,True,response_surface_from_validated_audits
triangle,0.0,1.0,64,0.05,450000000.0,467875000.0,0.03972222222222222,True,True,True,response_surface_from_validated_audits
triangle,0.04,0.02,8,0.0,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.04,0.02,8,0.01,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.04,0.02,8,0.02,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
triangle,0.04,0.02,8,0.05,450000000.0,450000000.0,0.0,True,True,True,response_surface_from_validated_audits
