anchor_region,anchor_source,gamma_sub,T_sw_offset_K,protocol,T_sw_prior_width,observation_count,noise,response_surface_predicted_error,simulator_backed_error,absolute_discrepancy,relative_discrepancy,predicted_recoverable_le_0p1,simulator_recoverable_le_0p1,classification_agreement,finite_result
objective_minimum,leave_one_out_profile_likelihood_source_grid,425000000.0,0.0,triangle,1.0,16,0.0,0.03953403007951002,9.638064034301868e-06,0.039524392015475716,4100.864226965957,True,True,True,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,450000000.0,0.0,triangle,1.0,16,0.0,0.035186929800862334,4.619112429020408e-05,0.03514073867657213,760.7682042072432,True,True,True,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,400000000.0,0.0,triangle,1.0,16,0.0,0.05591792473683519,0.00011695004940217285,0.055800974687433016,477.13511001215767,True,True,True,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,475000000.0,0.0,triangle,1.0,16,0.0,0.03366274124811237,0.0002043612254313582,0.033458380022681006,163.72176254109988,True,True,True,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,500000000.0,0.0,triangle,1.0,16,0.0,0.04300516198294573,0.0004644393944199073,0.04254072258852582,91.59585319341807,True,True,True,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,800000000.0,-0.5,triangle,1.0,16,0.0,0.21251937429686996,0.0006531335119059359,0.21186624078496402,324.38427507219524,False,True,False,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,350000000.0,0.0,triangle,1.0,16,0.0,0.10931528616070035,0.0008751172819435868,0.10844016887875677,123.91501244029507,False,True,False,True
objective_minimum,leave_one_out_profile_likelihood_source_grid,550000000.0,0.0,triangle,1.0,16,0.0,0.08261277637471744,0.001225421481460677,0.08138735489325676,66.41580560204046,True,True,True,True
ridge_valley,leave_one_out_profile_likelihood_source_grid,1000000000.0,-1.0,triangle,1.0,16,0.0,0.3461138216950791,0.0031240381622280383,0.34298978353285103,109.79052294554351,False,True,False,True
ridge_valley,leave_one_out_profile_likelihood_source_grid,800000000.0,-1.0,triangle,1.0,16,0.0,0.31747572207333113,0.012335979439263525,0.3051397426340676,24.735753179261533,False,True,False,True
ridge_valley,leave_one_out_profile_likelihood_source_grid,300000000.0,1.0,triangle,1.0,16,0.0,0.10131909450521075,0.012373257484013564,0.08894583702119718,7.188554601414911,False,True,False,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,650000000.0,0.5,triangle,1.0,16,0.0,0.09793539236626937,0.01322444133245993,0.08471095103380945,6.4056355126233555,True,True,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,425000000.0,2.0,triangle,1.0,16,0.0,0.0453753078042352,0.03647731406226032,0.008897993741974884,0.24393226230384132,True,True,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,300000000.0,2.0,triangle,1.0,16,0.0,0.09374236825109605,0.033063523573922886,0.06067884467717317,1.835220149525455,True,True,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,475000000.0,-2.0,triangle,1.0,16,0.0,0.7729553322485764,0.765052437723368,0.007902894525208426,0.010329873006778132,False,False,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,350000000.0,1.0,triangle,1.0,16,0.0,0.07091496698442987,0.014177959379665662,0.0567370076047642,4.001775296812999,True,True,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,500000000.0,1.0,triangle,1.0,16,0.0,0.036762103901369504,0.019279116480063644,0.01748298742130586,0.9068355097799661,True,True,True,True
random_control_zone,leave_one_out_profile_likelihood_source_grid,300000000.0,-1.0,triangle,1.0,16,0.0,0.36256794742980825,0.2127694120410444,0.14979853538876384,0.7040416850889585,False,False,True,True
recoverability_boundary,phase_diagram_or_confounding_phase_map_case,450000000.0,0.1,ltp_ltd,1.0,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
recoverability_boundary,phase_diagram_or_confounding_phase_map_case,450000000.0,0.2,ltp_ltd,0.5,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
recoverability_boundary,phase_diagram_or_confounding_phase_map_case,450000000.0,0.4,ltp_ltd,0.2,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
recoverability_boundary,phase_diagram_or_confounding_phase_map_case,450000000.0,1.0,ltp_ltd,0.1,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
recoverability_boundary,phase_diagram_or_confounding_phase_map_case,450000000.0,2.0,ltp_ltd,0.05,16,0.0,0.10272536687631027,0.1111111111111111,0.008385744234800832,0.07547169811320749,False,False,True,True
wide_T_sw_mismatch_failure_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,1.0,ltp_ltd,0.5,16,0.0,0.6163522012578616,0.6666666666666666,0.05031446540880502,0.07547169811320753,False,False,True,True
wide_T_sw_mismatch_failure_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,1.0,ltp_ltd,1.0,16,0.0,1.129979035639413,1.2222222222222223,0.09224318658280928,0.07547169811320759,False,False,True,True
wide_T_sw_mismatch_failure_zone,phase_diagram_or_confounding_phase_map_case,450000000.0,2.0,ltp_ltd,0.5,16,0.0,1.129979035639413,1.2222222222222223,0.09224318658280928,0.07547169811320759,False,False,True,True
