scope,protocol,observation_count,noise,delta_T_sw_K,seed,true_gamma_sub,gamma_hat,relative_error,point_success,set_contains_true,set_coverage,certificate_acceptance,conditional_accuracy_given_acceptance,abstention_refusal,set_size,set_members,remote_candidate_deleted_acceptance,remote_candidate_deletion_decision_changed
nominal_coverage,triangle,8,0.02,0.0,20261201,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261202,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261203,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261204,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261205,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261206,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261207,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261208,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261209,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261210,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261211,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261212,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261213,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261214,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261215,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261216,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
nominal_coverage,triangle,8,0.02,0.0,20261217,150000000.0,150000000.0,0.0,True,True,True,True,True,False,1,150000000,True,False
