protocol,scenario,noise,seed,observation_count,gamma_true,gamma_est,relative_error,recoverable_le_0p1,recoverable_le_0p2,failure_flag,finite_result,source
triangle,nominal_fixed_prior,0.0,2026,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2027,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2028,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2029,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2030,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2031,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2032,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2033,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2034,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.0,2035,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2026,32,450000000.0,456437094.77184385,0.014304655048541868,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2027,32,450000000.0,456616483.38043773,0.014703296400972713,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2028,32,450000000.0,456623385.38437176,0.014718634187492695,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2029,32,450000000.0,456377203.4648328,0.014171563255183985,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2030,32,450000000.0,456351905.0179597,0.014115344484354888,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2031,32,450000000.0,456638138.2332557,0.014751418296123699,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2032,32,450000000.0,456377139.0513998,0.014171420114221754,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2033,32,450000000.0,456457630.9484939,0.014350290996652975,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2034,32,450000000.0,456205023.8330892,0.013788941851309348,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.01,2035,32,450000000.0,456716629.9988241,0.014925844441831536,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2026,32,450000000.0,463417792.7602065,0.02981731724490343,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2027,32,450000000.0,463738232.20640045,0.03052940490311227,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2028,32,450000000.0,463059674.5166965,0.02902149892599232,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2029,32,450000000.0,463328318.8421049,0.029618486315788704,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2030,32,450000000.0,463128344.1977158,0.029174098217146265,True,True,False,True,seeded_response_surface_bootstrap
