case_id,rejection_index,attempted_outer_interval_s,at_outer_floor,accepted_bundle,path,root_status,root_failure_code,reduced_residual_inf,full_scaled_residual_inf,full_fixed_point_defect_inf,auxiliary_scaled_residual_inf,root_iterations,map_or_residual_evaluations,krylov_matvecs,backtracks,path_integrity_pass,current_relative_imbalance,power_relative_imbalance,embedded_e_max,attempt_wall_time_s
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,full_step,FAIL,ARMIJO_LINE_SEARCH_FAILURE,0.009519597344649619,0.009519597344649619,,1.5391728295939804e-16,5,134,99,23,,,,,0.4848904999671504
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,first_half_step,,,,,,,,,,,,,,,0.4848904999671504
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.4848904999671504
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,full_step,FAIL,LGMRES_NOT_CONVERGED,0.00010080120147750463,0.00010080120147750463,,2.5761143706850817e-16,6,531,500,18,,,,,3.1749395999358967
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,first_half_step,,,,,,,,,,,,,,,3.1749395999358967
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,second_half_step,,,,,,,,,,,,,,,3.1749395999358967
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,full_step,PASS,,1.4345144496849396e-12,1.4345144496849396e-12,1.2337072474721822e-09,2.420641913296024e-16,4,78,69,0,True,5.349707324971005e-16,5.349707324971005e-16,,0.49918739998247474
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,first_half_step,FAIL,FULL_CERTIFICATION_GATE_FAILURE,1.9571489436361346e-10,1.9571489436361346e-10,1.2886350253538126e-07,1.5428579358715518e-16,2,27,22,0,,,,,0.49918739998247474
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.49918739998247474
R0-A-QUIESCENT-9V-T1,3,1.249999999999988e-09,False,False,full_step,FAIL,FULL_CERTIFICATION_GATE_FAILURE,1.9571489436361346e-10,1.9571489436361346e-10,1.2886350253538126e-07,1.5428579358715518e-16,2,27,22,0,,,,,0.16974659997504205
