case_id,rejection_index,attempted_outer_interval_s,at_outer_floor,accepted_bundle,path,root_status,root_failure_code,reduced_residual_inf,full_scaled_residual_inf,full_fixed_point_defect_inf,auxiliary_scaled_residual_inf,root_iterations,map_or_residual_evaluations,krylov_matvecs,backtracks,path_integrity_pass,current_relative_imbalance,power_relative_imbalance,embedded_e_max,attempt_wall_time_s
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,full_step,FAIL,SAFEGUARDED_PICARD_NO_SUFFICIENT_DECREASE,0.010983655607742606,0.010983655607742606,0.5992308947359135,1.7620325223069762e-16,1,4,,,,,,,0.03579690004698932
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,first_half_step,,,,,,,,,,,,,,,0.03579690004698932
R0-A-QUIESCENT-9V-T1,0,9.999999999999904e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.03579690004698932
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,full_step,FAIL,SAFEGUARDED_PICARD_NO_SUFFICIENT_DECREASE,0.00026147211992252314,0.00026147211992252314,0.15356577300369162,1.6362560737158194e-16,2,5,,,,,,,0.040252899983897805
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,first_half_step,,,,,,,,,,,,,,,0.040252899983897805
R0-A-QUIESCENT-9V-T1,1,4.999999999999952e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.040252899983897805
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,full_step,FAIL,SAFEGUARDED_PICARD_NO_SUFFICIENT_DECREASE,8.93137195808208e-06,8.93137195808208e-06,0.008535028444947468,2.4405284976956793e-16,4,7,,,,,,,0.04773320001550019
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,first_half_step,,,,,,,,,,,,,,,0.04773320001550019
R0-A-QUIESCENT-9V-T1,2,2.499999999999976e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.04773320001550019
R0-A-QUIESCENT-9V-T1,3,1.249999999999988e-09,False,False,full_step,FAIL,SAFEGUARDED_PICARD_NO_SUFFICIENT_DECREASE,4.889018364389663e-09,4.889018364389663e-09,3.71331987980561e-06,1.709825938522961e-16,6,9,,,,,,,0.07086800003889948
R0-A-QUIESCENT-9V-T1,3,1.249999999999988e-09,False,False,first_half_step,,,,,,,,,,,,,,,0.07086800003889948
R0-A-QUIESCENT-9V-T1,3,1.249999999999988e-09,False,False,second_half_step,,,,,,,,,,,,,,,0.07086800003889948
R0-A-QUIESCENT-9V-T1,4,6.24999999999994e-10,False,True,full_step,PASS,,5.523851635864517e-12,5.523851635864517e-12,3.0827440600234013e-09,2.0388643287976299e-16,5,6,,,True,9.140737826430228e-16,7.312590261144181e-16,0.00152891665884769,0.11096550000365824
R0-A-QUIESCENT-9V-T1,4,6.24999999999994e-10,False,True,first_half_step,PASS,,1.641286717493038e-11,1.641286717493038e-11,7.393137324562815e-09,2.2802454470756904e-16,3,4,,,True,4.879361725440851e-16,3.0496010784005315e-16,0.00152891665884769,0.11096550000365824
R0-A-QUIESCENT-9V-T1,4,6.24999999999994e-10,False,True,second_half_step,PASS,,9.83655623931933e-12,9.83655623931933e-12,5.4828128703832135e-09,2.251555178778012e-16,3,4,,,True,8.5344176850293e-16,7.924816421812922e-16,0.00152891665884769,0.11096550000365824
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,full_step,PASS,,3.3526167866500147e-14,3.3526167866500147e-14,5.10702591327572e-15,1.2691348199264745e-16,2,3,,,True,2.5785883589227497e-16,2.5785883589227497e-16,0.17635990677171987,0.05896809999831021
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,first_half_step,PASS,,2.08334967613969e-14,2.08334967613969e-14,4.413136522884997e-15,9.87042823218647e-17,2,3,,,True,7.460608085056039e-16,5.329005775040028e-16,0.17635990677171987,0.05896809999831021
R0-B-CRITICAL-TRANSITION-T4,0,2.5e-09,False,False,second_half_step,PASS,,2.4783871186656878e-14,2.4783871186656878e-14,3.774758283725532e-15,1.4805773895611816e-16,2,3,,,True,1.0307297003789531e-15,6.342952002332017e-16,0.17635990677171987,0.05896809999831021
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,full_step,PASS,,2.08334967613969e-14,2.08334967613969e-14,4.413136522884997e-15,9.87042823218647e-17,2,3,,,True,7.460608085056039e-16,5.329005775040028e-16,0.1314659459337167,0.039978799992240965
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,first_half_step,PASS,,1.4652762162760637e-09,1.4652762162760637e-09,8.034788667732329e-10,1.3665947406513677e-16,0,1,,,True,1.912949550058554e-15,1.4028296700429389e-15,0.1314659459337167,0.039978799992240965
R0-B-CRITICAL-TRANSITION-T4,1,1.25e-09,False,False,second_half_step,PASS,,4.315136789112763e-09,4.315136789112763e-09,1.4886663013413681e-09,1.0249491593463132e-16,0,1,,,True,5.198463408432766e-16,3.11907804505966e-16,0.1314659459337167,0.039978799992240965
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,full_step,PASS,,1.4652762162760637e-09,1.4652762162760637e-09,8.034788667732329e-10,1.3665947406513677e-16,0,1,,,True,1.912949550058554e-15,1.4028296700429389e-15,0.06974742939952933,0.02947970002423972
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,first_half_step,PASS,,6.754527778839504e-11,6.754527778839504e-11,5.5992543934735295e-11,1.268920797577762e-16,0,1,,,True,3.5398430342675493e-16,2.8318744274140395e-16,0.06974742939952933,0.02947970002423972
R0-B-CRITICAL-TRANSITION-T4,2,6.25e-10,False,False,second_half_step,PASS,,2.232593782848509e-10,2.232593782848509e-10,1.4257739433531924e-10,8.987519723156029e-17,0,1,,,True,3.846266537679865e-16,6.410444229466443e-16,0.06974742939952933,0.02947970002423972
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,full_step,PASS,,6.754527778839504e-11,6.754527778839504e-11,5.5992543934735295e-11,1.268920797577762e-16,0,1,,,True,3.5398430342675493e-16,2.8318744274140395e-16,0.027814477361408407,0.029053499922156334
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,first_half_step,PASS,,2.680110175542273e-12,2.680110175542273e-12,2.8387292516640628e-12,1.440349827424966e-16,0,1,,,True,8.883226458964715e-16,5.181882101062748e-16,0.027814477361408407,0.029053499922156334
R0-B-CRITICAL-TRANSITION-T4,3,3.125e-10,False,False,second_half_step,PASS,,9.511877263964136e-12,9.511877263964136e-12,8.771983139865824e-12,9.602334148586271e-17,0,1,,,True,2.1407820491307522e-16,7.135940163769174e-17,0.027814477361408407,0.029053499922156334
R0-B-CRITICAL-TRANSITION-T4,4,1.5625e-10,False,True,full_step,PASS,,2.680110175542273e-12,2.680110175542273e-12,2.8387292516640628e-12,1.440349827424966e-16,0,1,,,True,8.883226458964715e-16,5.181882101062748e-16,0.009078076583440287,0.02896250004414469
