case_id,case_group,group_index,formal_status,evidence_type,audit_id,fixture_id,model_order,problem_id,protocol_id,region_id,response_type,spatial_level,time_divisor
P1-001,vertical_reference_and_reduction,1,planned_not_executed,preregistered_case_manifest_only,,,1,,,bare_vo2,step,,
P1-002,vertical_reference_and_reduction,2,planned_not_executed,preregistered_case_manifest_only,,,1,,,bare_vo2,impulse,,
P1-003,vertical_reference_and_reduction,3,planned_not_executed,preregistered_case_manifest_only,,,1,,,bare_vo2,frequency,,
P1-004,vertical_reference_and_reduction,4,planned_not_executed,preregistered_case_manifest_only,,,2,,,bare_vo2,step,,
P1-005,vertical_reference_and_reduction,5,planned_not_executed,preregistered_case_manifest_only,,,2,,,bare_vo2,impulse,,
P1-006,vertical_reference_and_reduction,6,planned_not_executed,preregistered_case_manifest_only,,,2,,,bare_vo2,frequency,,
P1-007,vertical_reference_and_reduction,7,planned_not_executed,preregistered_case_manifest_only,,,3,,,bare_vo2,step,,
P1-008,vertical_reference_and_reduction,8,planned_not_executed,preregistered_case_manifest_only,,,3,,,bare_vo2,impulse,,
P1-009,vertical_reference_and_reduction,9,planned_not_executed,preregistered_case_manifest_only,,,3,,,bare_vo2,frequency,,
P1-010,vertical_reference_and_reduction,10,planned_not_executed,preregistered_case_manifest_only,,,8,,,bare_vo2,step,,
P1-011,vertical_reference_and_reduction,11,planned_not_executed,preregistered_case_manifest_only,,,8,,,bare_vo2,impulse,,
P1-012,vertical_reference_and_reduction,12,planned_not_executed,preregistered_case_manifest_only,,,8,,,bare_vo2,frequency,,
P1-013,vertical_reference_and_reduction,13,planned_not_executed,preregistered_case_manifest_only,,,1,,,electrode_covered_vo2,step,,
P1-014,vertical_reference_and_reduction,14,planned_not_executed,preregistered_case_manifest_only,,,1,,,electrode_covered_vo2,impulse,,
P1-015,vertical_reference_and_reduction,15,planned_not_executed,preregistered_case_manifest_only,,,1,,,electrode_covered_vo2,frequency,,
P1-016,vertical_reference_and_reduction,16,planned_not_executed,preregistered_case_manifest_only,,,2,,,electrode_covered_vo2,step,,
P1-017,vertical_reference_and_reduction,17,planned_not_executed,preregistered_case_manifest_only,,,2,,,electrode_covered_vo2,impulse,,
P1-018,vertical_reference_and_reduction,18,planned_not_executed,preregistered_case_manifest_only,,,2,,,electrode_covered_vo2,frequency,,
P1-019,vertical_reference_and_reduction,19,planned_not_executed,preregistered_case_manifest_only,,,3,,,electrode_covered_vo2,step,,
P1-020,vertical_reference_and_reduction,20,planned_not_executed,preregistered_case_manifest_only,,,3,,,electrode_covered_vo2,impulse,,
P1-021,vertical_reference_and_reduction,21,planned_not_executed,preregistered_case_manifest_only,,,3,,,electrode_covered_vo2,frequency,,
P1-022,vertical_reference_and_reduction,22,planned_not_executed,preregistered_case_manifest_only,,,8,,,electrode_covered_vo2,step,,
P1-023,vertical_reference_and_reduction,23,planned_not_executed,preregistered_case_manifest_only,,,8,,,electrode_covered_vo2,impulse,,
P1-024,vertical_reference_and_reduction,24,planned_not_executed,preregistered_case_manifest_only,,,8,,,electrode_covered_vo2,frequency,,
P1-025,manufactured_solutions,1,planned_not_executed,preregistered_case_manifest_only,,,,electrical_linear_field,,,,1,
P1-026,manufactured_solutions,2,planned_not_executed,preregistered_case_manifest_only,,,,electrical_linear_field,,,,2,
P1-027,manufactured_solutions,3,planned_not_executed,preregistered_case_manifest_only,,,,electrical_linear_field,,,,4,
P1-028,manufactured_solutions,4,planned_not_executed,preregistered_case_manifest_only,,,,thermal_diffusion_with_source,,,,1,
P1-029,manufactured_solutions,5,planned_not_executed,preregistered_case_manifest_only,,,,thermal_diffusion_with_source,,,,2,
P1-030,manufactured_solutions,6,planned_not_executed,preregistered_case_manifest_only,,,,thermal_diffusion_with_source,,,,4,
P1-031,manufactured_solutions,7,planned_not_executed,preregistered_case_manifest_only,,,,k_state_step_response,,,,1,
P1-032,manufactured_solutions,8,planned_not_executed,preregistered_case_manifest_only,,,,k_state_step_response,,,,2,
P1-033,manufactured_solutions,9,planned_not_executed,preregistered_case_manifest_only,,,,k_state_step_response,,,,4,
P1-034,single_device_refinement,1,planned_not_executed,preregistered_case_manifest_only,,,,,zero_drive,,,1,4
P1-035,single_device_refinement,2,planned_not_executed,preregistered_case_manifest_only,,,,,zero_drive,,,2,4
P1-036,single_device_refinement,3,planned_not_executed,preregistered_case_manifest_only,,,,,zero_drive,,,4,1
