comparator_depth_m,depth_m,formal_case,frequency_state_space_relative_error,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,passed,physical_depth_m,region,step_DC_relative_error,step_initial_relative_error,voting
8e-07,4e-07,False,1.5068586970584801e-15,coarse,0.0,1.3803656913408355e-15,-42658094.792315125,4.44859652375713,2655477852.62402,3.814697265625e-06,0.6877373097763472,True,4e-07,bare_vo2,0.0,0.0,False
8e-07,4e-07,False,9.630727283672674e-15,fine,6.952377776974019e-16,1.3237783702134784e-14,-42798665.41918882,2.224298261878565,1330997804.7160041,7.62939453125e-06,0.6872893318185096,True,4e-07,bare_vo2,0.0,6.94423045926663e-16,False
8e-07,4e-07,False,5.784928470648185e-15,coarse,1.2514279998553236e-15,1.2549040920667783e-15,-10666325.131306749,4.44859652375713,1280161990.4217758,1.52587890625e-05,0.6882582081955599,True,8e-07,bare_vo2,0.0,1.2499614826679933e-15,False
8e-07,4e-07,False,1.25777100411196e-14,fine,6.94830172981144e-16,7.81691328085368e-15,-10700115.223011771,2.224298261878565,641522881.6416619,3.814697265625e-06,0.6879236517851576,True,8e-07,bare_vo2,0.0,6.94423045926663e-16,False
8e-07,4e-07,False,3.407345168818434e-15,coarse,3.422129603312609e-16,3.633060769750521e-15,-42658094.792315125,3.484733943609752,2655477852.62402,3.814697265625e-06,0.5231390304055772,True,4e-07,electrode_covered_vo2,0.0,3.4171960080749674e-16,False
8e-07,4e-07,False,9.359835503677796e-15,fine,6.8393220525042345e-16,4.13752117658659e-15,-42798665.41918882,1.742366971804876,1330997804.7160041,7.62939453125e-06,0.5231158354416605,True,4e-07,electrode_covered_vo2,0.0,6.834392016149935e-16,False
8e-07,4e-07,False,2.3828197984086352e-15,coarse,3.4196610262521187e-16,4.265083967596146e-15,-10666325.131306749,3.484733943609752,1280161990.4217758,1.52587890625e-05,0.5229647101115931,True,8e-07,electrode_covered_vo2,0.0,3.4171960080749674e-16,False
8e-07,4e-07,False,1.8540538755813133e-14,fine,1.3673712291137226e-15,9.54827221750493e-16,-10700115.223011771,1.742366971804876,641522881.6416619,7.62939453125e-06,0.5229480898814642,True,8e-07,electrode_covered_vo2,0.0,1.366878403229987e-15,False
1.6e-06,8e-07,False,1.0283463561440388e-14,coarse,6.952377776974263e-16,6.261709074878276e-16,-41747646.446748525,2.2731905119929587,2560323980.84346,7.62939453125e-06,0.6876525407748267,True,8e-07,bare_vo2,0.0,6.944230459266872e-16,False
1.6e-06,8e-07,False,3.4318572909826746e-14,fine,1.2506943113661028e-15,1.5087072976250503e-15,-41879899.75653816,1.1365952559964794,1283045763.283196,7.62939453125e-06,0.6872708839032444,True,8e-07,bare_vo2,0.0,1.2499614826680369e-15,False
1.6e-06,8e-07,False,5.629142184955184e-15,coarse,4.1689810378870105e-16,2.8746994419316443e-15,-10437405.293741127,2.2731905119929587,1259047468.5243175,1.9073486328125e-06,0.688524041573994,True,1.6e-06,bare_vo2,0.0,4.166538275560123e-16,False
1.6e-06,8e-07,False,1.0618522480350678e-14,fine,5.557012398389587e-16,8.992494142742805e-15,-10470094.66465362,1.1365952559964794,630884092.3938022,7.62939453125e-06,0.6882278627674401,True,1.6e-06,bare_vo2,0.0,5.555384367413497e-16,False
1.6e-06,8e-07,False,9.285108056390085e-15,coarse,6.839322052504476e-16,1.7223748321056381e-15,-41747646.446748525,1.7806659010611507,2560323980.84346,7.62939453125e-06,0.5231060766034583,True,8e-07,electrode_covered_vo2,0.0,6.834392016150173e-16,False
1.6e-06,8e-07,False,3.2800642849077846e-14,fine,2.2219782473098752e-15,1.269069943044774e-14,-41879899.75653816,0.8903329505305754,1283045763.283196,7.62939453125e-06,0.523099499344375,True,8e-07,electrode_covered_vo2,0.0,2.2211774052488063e-15,False
1.6e-06,8e-07,False,1.4162941657110617e-14,coarse,1.1964498254745493e-15,7.860400560720943e-16,-10437405.293741127,1.7806659010611507,1259047468.5243175,1.9073486328125e-06,0.5231026021178579,True,1.6e-06,electrode_covered_vo2,0.0,1.1960186028262803e-15,False
1.6e-06,8e-07,False,1.3422611968257993e-14,fine,8.544529823487541e-16,2.826440506667707e-15,-10470094.66465362,0.8903329505305754,630884092.3938022,7.62939453125e-06,0.5230986690055882,True,1.6e-06,electrode_covered_vo2,0.0,8.542990020187717e-16,False
3.2e-06,1.6e-06,False,1.8664085503054693e-14,coarse,6.948301729809746e-16,1.7783232831948655e-14,-41290772.43250944,1.149225809342512,2518094937.0494285,3.814697265625e-06,0.687642626404819,True,1.6e-06,bare_vo2,0.0,6.944230459264936e-16,False
