absolute_frequency_log_magnitude_error,axis,candidate_frequency_imag_W_m2K,candidate_frequency_magnitude_W_m2K,candidate_frequency_phase_rad,candidate_frequency_real_W_m2K,comparator_depth_m,comparison_id,coordinate,depth_m,formal_case,frequency_cumulative_rmse,frequency_log_magnitude_error,frequency_squared_rmse_contribution,impulse_error,reference_frequency_imag_W_m2K,reference_frequency_magnitude_W_m2K,reference_frequency_phase_rad,reference_frequency_real_W_m2K,region,step_error,voting
,time,,,,,8e-07,v6_warning_reproduction,1.0492287853077399e-10,4e-07,False,,,,-0.05391639637531942,,,,,bare_vo2,-0.001460534461888486,False
,time,,,,,8e-07,v6_warning_reproduction,1.1550760804787748e-10,4e-07,False,,,,-0.052952971032296105,,,,,bare_vo2,-0.0015940453446601317,False
,time,,,,,8e-07,v6_warning_reproduction,1.2716013612825984e-10,4e-07,False,,,,-0.05190861370822124,,,,,bare_vo2,-0.0017382629075665809,False
,time,,,,,8e-07,v6_warning_reproduction,1.3998818340567886e-10,4e-07,False,,,,-0.05077831103954491,,,,,bare_vo2,-0.0018937358179263591,False
,time,,,,,8e-07,v6_warning_reproduction,1.5411033748387823e-10,4e-07,False,,,,-0.04955711917527138,,,,,bare_vo2,-0.0020609723588129267,False
,time,,,,,8e-07,v6_warning_reproduction,1.6965714920786226e-10,4e-07,False,,,,-0.04824026442608068,,,,,bare_vo2,-0.00224042120768552,False
,time,,,,,8e-07,v6_warning_reproduction,1.8677233952816356e-10,4e-07,False,,,,-0.04682326562451998,,,,,bare_vo2,-0.0024324485633736206,False
,time,,,,,8e-07,v6_warning_reproduction,2.056141281148386e-10,4e-07,False,,,,-0.045302080565352905,,,,,bare_vo2,-0.0026373112962189463,False
,time,,,,,8e-07,v6_warning_reproduction,2.2635669600342643e-10,4e-07,False,,,,-0.04367327862020034,,,,,bare_vo2,-0.0028551258692159874,False
,time,,,,,8e-07,v6_warning_reproduction,2.4919179579416187e-10,4e-07,False,,,,-0.041934241106325855,,,,,bare_vo2,-0.003085832897857177,False
,time,,,,,8e-07,v6_warning_reproduction,2.743305242897671e-10,4e-07,False,,,,-0.04008339016269329,,,,,bare_vo2,-0.00332915739618295,False
,time,,,,,8e-07,v6_warning_reproduction,3.0200527395878916e-10,4e-07,False,,,,-0.03812044566432086,,,,,bare_vo2,-0.003584565010844744,False
,time,,,,,8e-07,v6_warning_reproduction,3.324718812646007e-10,4e-07,False,,,,-0.03604670799997214,,,,,bare_vo2,-0.0038512148888807246,False
,time,,,,,8e-07,v6_warning_reproduction,3.660119917200738e-10,4e-07,False,,,,-0.033865362260630937,,,,,bare_vo2,-0.004127910272554633,False
,time,,,,,8e-07,v6_warning_reproduction,4.0293566353143205e-10,4e-07,False,,,,-0.031581796461638105,,,,,bare_vo2,-0.004413048476965375,False
,time,,,,,8e-07,v6_warning_reproduction,4.435842339004181e-10,4e-07,False,,,,-0.029203922803106644,,,,,bare_vo2,-0.004704572587500919,False
,time,,,,,8e-07,v6_warning_reproduction,4.883334744820161e-10,4e-07,False,,,,-0.026742486667348474,,,,,bare_vo2,-0.004999928007807031,False
,time,,,,,8e-07,v6_warning_reproduction,5.375970651680405e-10,4e-07,False,,,,-0.024211343147547946,,,,,bare_vo2,-0.0052960278706234406,False
,time,,,,,8e-07,v6_warning_reproduction,5.918304183096377e-10,4e-07,False,,,,-0.02162767561006367,,,,,bare_vo2,-0.005589232245200124,False
,time,,,,,8e-07,v6_warning_reproduction,6.515348887313508e-10,4e-07,False,,,,-0.01901212548987059,,,,,bare_vo2,-0.005875346955051732,False
,time,,,,,8e-07,v6_warning_reproduction,7.172624084558004e-10,4e-07,False,,,,-0.016388797791495206,,,,,bare_vo2,-0.006149648537368494,False
,time,,,,,8e-07,v6_warning_reproduction,7.896205889842169e-10,4e-07,False,,,,-0.01378510344938207,,,,,bare_vo2,-0.0064069422631984506,False
