attempted,comparator_depth_m,comparison_role,formal_case,frequency_log_magnitude_rmse,frequency_required,grid_family,impulse_required,impulse_response_nrmse,pair_depth_pass,pair_foundation_pass,pair_id,pair_pass,passed,production_depth_m,raw_device_C_J_K,raw_device_G_W_K,raw_unnormalized,region,step_required,step_response_nrmse,temporary_ratio_r,voting
True,0.0001024,mesh_D,False,0.001437479394018423,True,inherited_raw,False,0.0009786199542816869,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,2.626822835085769e-06,0.0010708642349775152,False
True,0.0001024,mesh_2D,False,0.0014762528501781759,True,inherited_raw,False,0.0009912718888434452,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,2.6545170820804796e-06,0.0010708642349775152,False
True,0.0001024,depth,False,0.03094277601750607,True,inherited_raw,False,4.290209774319183e-06,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,9.390590710653108e-09,0.0010708642349775152,False
True,0.0001024,mesh_D,False,0.0011567675291319628,True,inherited_raw,False,0.00016387864229865077,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,electrode_covered_vo2,True,1.4672319805860798e-06,0.0010708642349775152,False
True,0.0001024,mesh_2D,False,0.0011994654343954092,True,inherited_raw,False,0.00016819385062748042,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,electrode_covered_vo2,True,1.4841552686325412e-06,0.0010708642349775152,False
True,0.0001024,depth,False,0.03094296211133424,True,inherited_raw,False,1.5280813561469847e-06,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,electrode_covered_vo2,True,5.774354090691092e-09,0.0010708642349775152,False
True,0.0001024,mesh_D,False,0.0009422608436620944,True,formal_window_pullback,False,0.0012431624971310847,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,8.999145607985889e-08,0.0010708642349775152,False
True,0.0001024,mesh_2D,False,0.0010205643609204024,True,formal_window_pullback,False,0.0012556079476014597,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,9.09907113264572e-08,0.0010708642349775152,False
True,0.0001024,depth,False,0.41181089527487524,True,formal_window_pullback,False,3.9139827239116684e-05,False,True,primary_51p2um_vs_102p4um,False,False,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,bare_vo2,True,2.830489972151566e-06,0.0010708642349775152,False
True,0.0001024,mesh_D,False,0.0009267951909993257,True,formal_window_pullback,False,0.001243162497131087,False,True,primary_51p2um_vs_102p4um,False,True,5.12e-05,7.682696999999938e-12,3.4179687499389644e-08,True,electrode_covered_vo2,True,5.53540837517464e-08,0.0010708642349775152,False
