absolute_frequency_log_magnitude_error,axis,candidate_frequency_imag_W_m2K,candidate_frequency_real_W_m2K,comparator_depth_m,comparison_role,effective_coordinate,formal_case,frequency_cumulative_rmse,frequency_log_magnitude_error,frequency_squared_rmse_contribution,grid_family,impulse_error,pair_id,production_depth_m,raw_coordinate,raw_unnormalized,reference_frequency_imag_W_m2K,reference_frequency_real_W_m2K,region,step_error,voting
,time,,,0.0001024,mesh_D,1.0492287853077399e-10,False,,,,inherited_raw,0.005092480768109659,primary_51p2um_vs_102p4um,5.12e-05,1.0492287853077399e-10,True,,,bare_vo2,-8.5489252352669e-06,False
,time,,,0.0001024,mesh_D,1.1550760804787748e-10,False,,,,inherited_raw,0.00456131662173007,primary_51p2um_vs_102p4um,5.12e-05,1.1550760804787748e-10,True,,,bare_vo2,-8.222821483095014e-06,False
,time,,,0.0001024,mesh_D,1.2716013612825984e-10,False,,,,inherited_raw,0.004068854906575341,primary_51p2um_vs_102p4um,5.12e-05,1.2716013612825984e-10,True,,,bare_vo2,-7.901938864992716e-06,False
,time,,,0.0001024,mesh_D,1.3998818340567886e-10,False,,,,inherited_raw,0.0036168737231336424,primary_51p2um_vs_102p4um,5.12e-05,1.3998818340567886e-10,True,,,bare_vo2,-7.587387700160455e-06,False
,time,,,0.0001024,mesh_D,1.5411033748387823e-10,False,,,,inherited_raw,0.0032054199191734888,primary_51p2um_vs_102p4um,5.12e-05,1.5411033748387823e-10,True,,,bare_vo2,-7.280043782014133e-06,False
,time,,,0.0001024,mesh_D,1.6965714920786226e-10,False,,,,inherited_raw,0.0028333610871459033,primary_51p2um_vs_102p4um,5.12e-05,1.6965714920786226e-10,True,,,bare_vo2,-6.980584023678755e-06,False
,time,,,0.0001024,mesh_D,1.8677233952816356e-10,False,,,,inherited_raw,0.00249879577726789,primary_51p2um_vs_102p4um,5.12e-05,1.8677233952816356e-10,True,,,bare_vo2,-6.689517043694501e-06,False
,time,,,0.0001024,mesh_D,2.056141281148386e-10,False,,,,inherited_raw,0.002199353511705855,primary_51p2um_vs_102p4um,5.12e-05,2.056141281148386e-10,True,,,bare_vo2,-6.407209409165291e-06,False
,time,,,0.0001024,mesh_D,2.2635669600342643e-10,False,,,,inherited_raw,0.0019324122464233645,primary_51p2um_vs_102p4um,5.12e-05,2.2635669600342643e-10,True,,,bare_vo2,-6.133908232271744e-06,False
,time,,,0.0001024,mesh_D,2.4919179579416187e-10,False,,,,inherited_raw,0.0016952544013202654,primary_51p2um_vs_102p4um,5.12e-05,2.4919179579416187e-10,True,,,bare_vo2,-5.869760566853737e-06,False
,time,,,0.0001024,mesh_D,2.743305242897671e-10,False,,,,inherited_raw,0.0014851756002240667,primary_51p2um_vs_102p4um,5.12e-05,2.743305242897671e-10,True,,,bare_vo2,-5.6148299833280525e-06,False
,time,,,0.0001024,mesh_D,3.0200527395878916e-10,False,,,,inherited_raw,0.0012995577865605836,primary_51p2um_vs_102p4um,5.12e-05,3.0200527395878916e-10,True,,,bare_vo2,-5.369110777058807e-06,False
,time,,,0.0001024,mesh_D,3.324718812646007e-10,False,,,,inherited_raw,0.0011359167932634712,primary_51p2um_vs_102p4um,5.12e-05,3.324718812646007e-10,True,,,bare_vo2,-5.132540161646871e-06,False
