evaluation_id,evaluation_group,evaluation_status,execution_unit_id,primary_evaluation_id,is_reused_evaluation,reuse_dependency_id,evaluation_stage,evaluation_stage_id,execution_unit_stage,execution_unit_stage_id,protocol_id,fixture_id,spatial_level,time_divisor,contact_overlap_m
P1V2-MMS-electrical_linear_field-L1,MMS,planned_not_executed,TRJ-P1V2-MMS-electrical_linear_field-L1,P1V2-MMS-electrical_linear_field-L1,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,1,,
P1V2-MMS-electrical_linear_field-L2,MMS,planned_not_executed,TRJ-P1V2-MMS-electrical_linear_field-L2,P1V2-MMS-electrical_linear_field-L2,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,2,,
P1V2-MMS-electrical_linear_field-L4,MMS,planned_not_executed,TRJ-P1V2-MMS-electrical_linear_field-L4,P1V2-MMS-electrical_linear_field-L4,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,4,,
P1V2-MMS-thermal_diffusion_with_source_and_sink-L1,MMS,planned_not_executed,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L1,P1V2-MMS-thermal_diffusion_with_source_and_sink-L1,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,1,,
P1V2-MMS-thermal_diffusion_with_source_and_sink-L2,MMS,planned_not_executed,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L2,P1V2-MMS-thermal_diffusion_with_source_and_sink-L2,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,2,,
P1V2-MMS-thermal_diffusion_with_source_and_sink-L4,MMS,planned_not_executed,TRJ-P1V2-MMS-thermal_diffusion_with_source_and_sink-L4,P1V2-MMS-thermal_diffusion_with_source_and_sink-L4,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,4,,
P1V2-MMS-S2_forced_uniform_temperature_response-L1,MMS,planned_not_executed,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L1,P1V2-MMS-S2_forced_uniform_temperature_response-L1,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,1,,
P1V2-MMS-S2_forced_uniform_temperature_response-L2,MMS,planned_not_executed,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L2,P1V2-MMS-S2_forced_uniform_temperature_response-L2,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,2,,
P1V2-MMS-S2_forced_uniform_temperature_response-L4,MMS,planned_not_executed,TRJ-P1V2-MMS-S2_forced_uniform_temperature_response-L4,P1V2-MMS-S2_forced_uniform_temperature_response-L4,false,,3,MMS_manufactured_foundations,3,MMS_manufactured_foundations,,,4,,
P1V2-REF-zero_drive-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-zero_drive-S1T4,P1V2-REF-zero_drive-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,zero_drive,,1,4,
P1V2-REF-zero_drive-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-zero_drive-S2T4,P1V2-REF-zero_drive-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,zero_drive,,2,4,
P1V2-REF-zero_drive-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-zero_drive-S4T1,P1V2-REF-zero_drive-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,zero_drive,,4,1,
