case_id,step_index,time_s,dt_s,device_voltage_V,terminal_current_A,maximum_temperature_K,domain_mean_s,domain_mean_b,nonlinear_method,thermal_relative_residual,circuit_relative_residual,combined_relative_residual,device_power_relative_residual,lateral_matrix_face_relative_mismatch,lateral_matrix_face_roundoff_ratio,lateral_global_residual_W
SMOKE-S2-ZERO,1,1e-08,1e-08,0.0,0.0,325.0,0.17001295306414727,1.0,analytic_zero_drive_equilibrium,0.0,0.0,0.0,0.0,1.0,0.0007272553219064375,0.0
SMOKE-S2-ZERO,2,2e-08,1e-08,0.0,0.0,325.0,0.17001295306414727,1.0,analytic_zero_drive_equilibrium,0.0,0.0,0.0,0.0,1.0,0.0007272553219064375,0.0
SMOKE-S2-ZERO,3,3.0000000000000004e-08,1.0000000000000004e-08,0.0,0.0,325.0,0.17001295306414727,1.0,analytic_zero_drive_equilibrium,0.0,0.0,0.0,0.0,1.0,0.0007272553219064375,0.0
SMOKE-S2-ZERO,4,4e-08,9.999999999999997e-09,0.0,0.0,325.0,0.17001295306414727,1.0,analytic_zero_drive_equilibrium,0.0,0.0,0.0,0.0,1.0,0.0007272553219064375,0.0
SMOKE-S2-9V,1,1e-08,1e-08,0.05125949604922053,2.465682615539995e-06,325.0000244665654,0.17001338956245446,1.0,damped_newton_krylov,7.80687334234197e-06,0.0,1.4701514766302494e-10,0.0,0.00024363506223835314,0.0015130728656745003,-2.5268200870360534e-30
SMOKE-S2-9V,2,2e-08,1e-08,0.10205851971794716,4.909280160293918e-06,325.0001204823811,0.17001514223470499,1.0,damped_newton_krylov,1.9375373367750068e-06,0.0,1.45467339492914e-10,1.056606405107503e-15,5.9425244552800544e-05,0.0017559299626575527,-1.0230539864584997e-29
SMOKE-S2-9V,3,3.0000000000000004e-08,1.0000000000000004e-08,0.15240119499849467,7.331108848858723e-06,325.0003319623416,0.17001907457753884,1.0,damped_newton_krylov,8.527069430607749e-07,1.3071143287646784e-16,1.4357219613351295e-10,1.895318806935337e-16,2.004203691517883e-05,0.0015700634294128866,3.7594152514438844e-29
SMOKE-S2-9V,4,4e-08,9.999999999999997e-09,0.20229159698410798,9.731538126594509e-06,325.0006998139457,0.17002599507408891,1.0,damped_newton_krylov,4.737543690417468e-07,6.57263382883561e-17,1.4134541067782437e-10,4.3026990644706574e-16,1.1297913911141572e-05,0.0017953024555873943,-9.811457508686334e-30
SMOKE-S2-12P5V,1,1e-08,1e-08,0.07119374379577205,3.4245696449963574e-06,325.00004719645443,0.17001379507829725,1.0,damped_newton_krylov,7.75051431052614e-06,0.0,1.459542627518028e-10,9.77113470379169e-16,0.0001271763178463097,0.0015237594568859728,-3.666970614113297e-30
SMOKE-S2-12P5V,2,2e-08,1e-08,0.14174793622112902,6.818548480550335e-06,325.0002324149846,0.17001717607608338,1.0,damped_newton_krylov,1.9230147200372094e-06,1.3475486082847494e-16,1.443793898968421e-10,9.85925612105735e-16,3.244855327787431e-05,0.0018497492036421044,-5.287833255309595e-30
SMOKE-S2-12P5V,3,3.0000000000000004e-08,1.0000000000000004e-08,0.2116682890188653,1.0182527014591366e-05,325.0006403799275,0.17002476207287906,1.0,damped_newton_krylov,8.459746131594318e-07,6.776080659710519e-17,1.4244473482452713e-10,2.0632328159730707e-15,1.1022155804666002e-05,0.0016655867364017978,-3.549874073494553e-30
SMOKE-S2-12P5V,4,4e-08,9.999999999999997e-09,0.2809604308553017,1.3517240800428027e-05,325.00135003520455,0.17003811355448126,1.0,damped_newton_krylov,4.6778090499326e-07,3.407253343263998e-16,1.395754074236164e-10,8.363698342186415e-16,5.310506681894802e-06,0.0016278711101199042,-1.567861049126761e-29
