plan_index,sample_id,family,state,grid,interval_class,candidate_paths,failure_class,maximum_accepted_intervals,component_contracts,plan_sha256,execution_status
0,EQ-ELECTRICAL-L1-equilibrium,electrical,equilibrium,L1,,,,,electrical_observation_v1|structural_guards_v1,1626c3a7b27e1524b69e33a547a2467b633d43a3c0eef0ed901010dac58cd540,static_contract_only_not_executed
1,EQ-ELECTRICAL-L1-legal_critical,electrical,legal_critical,L1,,,,,electrical_observation_v1|structural_guards_v1,963729e5da88557ce36037999dbe1368c4e06b8eb20edcc835cb615b9d632e6c,static_contract_only_not_executed
2,EQ-ELECTRICAL-L1-high_conductive,electrical,high_conductive,L1,,,,,electrical_observation_v1|structural_guards_v1,15de8bbb9b84edc2c92ae7b2b280d8185d00d4d4ee75f00d22de5e7013b0547e,static_contract_only_not_executed
3,EQ-ELECTRICAL-L2-equilibrium,electrical,equilibrium,L2,,,,,electrical_observation_v1|structural_guards_v1,d4e9880f2f189754929fdba8e8b645e4a02390cf9e1af95ea857257bbc6a7fb6,static_contract_only_not_executed
4,EQ-ELECTRICAL-L2-legal_critical,electrical,legal_critical,L2,,,,,electrical_observation_v1|structural_guards_v1,c12478a24384fcf834afdd3f1f4677fb7d5e7c746831f01a190580b61b21dad4,static_contract_only_not_executed
5,EQ-ELECTRICAL-L2-high_conductive,electrical,high_conductive,L2,,,,,electrical_observation_v1|structural_guards_v1,248ab1ffaa299ba7dea1d35a69057c8844fa4180209e9ee4be515cd9eb59bb1d,static_contract_only_not_executed
6,EQ-ELECTRICAL-L4-equilibrium,electrical,equilibrium,L4,,,,,electrical_observation_v1|structural_guards_v1,364cb8ce4bd61268bd5bcf920631cf2588ec9e5934a9b0a6850c49f3236a9994,static_contract_only_not_executed
7,EQ-ELECTRICAL-L4-legal_critical,electrical,legal_critical,L4,,,,,electrical_observation_v1|structural_guards_v1,74467f7d5d226a9a18b69659b7ef48ca3eb36c5d1df5ca1bab819e1587d38269,static_contract_only_not_executed
8,EQ-ELECTRICAL-L4-high_conductive,electrical,high_conductive,L4,,,,,electrical_observation_v1|structural_guards_v1,721d46e4a91e998e18842876de7af0aa6cbbf27321c8e8858645cb82b46d0040,static_contract_only_not_executed
9,EQ-INTERVAL-L1-equilibrium-base,interval,equilibrium,L1,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,4e25789433ef7cfdd31c63373508d5723842017e75bf2337f2748b652c404968,static_contract_only_not_executed
10,EQ-INTERVAL-L1-equilibrium-floor,interval,equilibrium,L1,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,5ac1d78533d18751f25a7b20d1f83389b705d3245dc9c57555a66730ad5a98b3,static_contract_only_not_executed
11,EQ-INTERVAL-L1-legal_critical-base,interval,legal_critical,L1,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,795f223a10abea7b12b0ee11e24a9c324e85d4a40daa0a777599efa1babceed9,static_contract_only_not_executed
12,EQ-INTERVAL-L1-legal_critical-floor,interval,legal_critical,L1,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,e510bb6fb515cc14b725cf697f0065d0352717e501e007147985d3621abd156a,static_contract_only_not_executed
13,EQ-INTERVAL-L1-high_conductive-base,interval,high_conductive,L1,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,c6cc6370e579472afe192d8772ac4423f5b0f1df79c5c417d7e8999f49a0da4a,static_contract_only_not_executed
14,EQ-INTERVAL-L1-high_conductive-floor,interval,high_conductive,L1,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,8c980e0e9215d4784f5e2e3d5aaa935cb92e30e47b2eb99397846515fa3a82d8,static_contract_only_not_executed
15,EQ-INTERVAL-L2-equilibrium-base,interval,equilibrium,L2,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,cc55d866a51b66071e90f2f85af8e0ea3f3b9cebbc9ba48e863cf038f24ca18c,static_contract_only_not_executed
16,EQ-INTERVAL-L2-equilibrium-floor,interval,equilibrium,L2,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,b09ae2a08fc0f7f9b90b215d0b17a0af0533d9226276ddb12052af67258b5175,static_contract_only_not_executed
17,EQ-INTERVAL-L2-legal_critical-base,interval,legal_critical,L2,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,7579c833ef2ef487fe4425e54018e2f22cea5398e6c19e48f3ee572499779177,static_contract_only_not_executed
18,EQ-INTERVAL-L2-legal_critical-floor,interval,legal_critical,L2,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,991d7f6e7e0e2148cb0f2f69a18accea16da50850f036d2443fd3f53126728ef,static_contract_only_not_executed
19,EQ-INTERVAL-L2-high_conductive-base,interval,high_conductive,L2,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,5d02899b278066660a6c54e3261019cae6129ba67d92b92cacd2bea28651aa00,static_contract_only_not_executed
20,EQ-INTERVAL-L2-high_conductive-floor,interval,high_conductive,L2,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,389a87287af65f75859121e6d29afc197c6c0ef4412bd8e253b882bd9083dbbe,static_contract_only_not_executed
21,EQ-INTERVAL-L4-equilibrium-base,interval,equilibrium,L4,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,dc0f3889169a25c0e4dfb2a134662b0e0a24fd2729c0e6e3e430278f9bbc1fae,static_contract_only_not_executed
22,EQ-INTERVAL-L4-equilibrium-floor,interval,equilibrium,L4,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,58cfcae20f892c3ebcfdb76449ed8455fddc0c8a13bf3e8fd31fa886dfa24ddc,static_contract_only_not_executed
23,EQ-INTERVAL-L4-legal_critical-base,interval,legal_critical,L4,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,ae4466551074ecbf1069b2f797ea8023c116a97101d6ac25c113040d12fa6aed,static_contract_only_not_executed
24,EQ-INTERVAL-L4-legal_critical-floor,interval,legal_critical,L4,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,371b9efe899fb01fb6b91ce8ce9f7c9381d0c5ca54b0540df298bd2af966251b,static_contract_only_not_executed
25,EQ-INTERVAL-L4-high_conductive-base,interval,high_conductive,L4,base,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,c6fd7f04fe3feb9eec41d6c3b97a06c08233f34e232625e11272cf2f592e959e,static_contract_only_not_executed
26,EQ-INTERVAL-L4-high_conductive-floor,interval,high_conductive,L4,floor,full_step|first_half_step|second_half_step,,,step_bundle_v1|aggregate_ledger_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,fb068aa35d0e9351aa0d24f867cd41de0c585fb0dd2a7c7bc201ce8572f80052,static_contract_only_not_executed
27,EQ-PROGRESSION-L1-equilibrium,progression,equilibrium,L1,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,45e92bd7942ab6b1991693afb188a5fdea6c74e4794e1e0220226f0354249f43,static_contract_only_not_executed
28,EQ-PROGRESSION-L1-legal_critical,progression,legal_critical,L1,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,340448f504058a048cf1e3e2198e6a3ff39cc2d4790f55f420e80a9202738588,static_contract_only_not_executed
29,EQ-PROGRESSION-L1-high_conductive,progression,high_conductive,L1,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,fe84bb70f3692ad9b82803bdbfe36576688a6f50ef0dbe774f8a73a1534c5fdf,static_contract_only_not_executed
30,EQ-PROGRESSION-L2-equilibrium,progression,equilibrium,L2,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,82a1e8c7db08f0bd98b7c1f199387b0182c6a6220ba7b49c8fe0fcd1ddbcdac1,static_contract_only_not_executed
31,EQ-PROGRESSION-L2-legal_critical,progression,legal_critical,L2,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,6cfc638956764d4e5112c1746f963a9b5400384cd4ba0acf3214018d5b549d1b,static_contract_only_not_executed
32,EQ-PROGRESSION-L2-high_conductive,progression,high_conductive,L2,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,68c3bd6168d795e23fa42d9a73c897d7521eeff0ee527e1329e61234d151fbdc,static_contract_only_not_executed
33,EQ-PROGRESSION-L4-equilibrium,progression,equilibrium,L4,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,60862ffa3768aa1d0d86d4006fcb58969980873a0c4b63321be4e98300a6680c,static_contract_only_not_executed
