control_id,expected_accept,observed_accept,passed,failure_reasons,execution_type
baseline_valid_pair,True,True,True,,synthetic_comparator_only
finite_temperature_field_perturbation,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
internal_x_face_flux_sign_flip,False,False,True,full_step.lateral.x_face_flux_W:physical_bound_failed,synthetic_comparator_only
terminal_current_tamper,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
Joule_power_tamper,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
global_net_outflow_leak,False,False,True,full_step.lateral.net_cell_outflow_W:physical_bound_failed,synthetic_comparator_only
ledger_tamper,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
accepted_rejected_sequence_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
event_count_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
event_direction_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
event_chronology_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
reversal_count_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
reversal_direction_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
reversal_order_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
nonlinear_method_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
converged_disposition_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
fallback_disposition_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
expected_failure_type_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
expected_failure_location_change,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
failure_changed_to_success,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
success_changed_to_failure,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
required_numeric_field_missing,False,False,True,numeric_field_sets_differ|A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
unregistered_numeric_field_extra,False,False,True,numeric_field_sets_differ|A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
required_topology_field_missing,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
unregistered_topology_field_extra,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
required_telemetry_field_missing,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
unregistered_telemetry_field_extra,False,False,True,A_or_B_or_structural_v1_gate_failed,synthetic_comparator_only
validation_error_injected,False,False,True,validation_errors_nonempty,synthetic_comparator_only
