field,category,voting,strict_v1_passed,strict_v1_maximum_absolute_difference,strict_v1_denominator,strict_v1_maximum_normalized_difference
aggregate_ledgers.circuit.accounted_power_W,primary_strict,True,True,1.734723475976807e-18,0.012967012042907719,1.3377973817226541e-16
aggregate_ledgers.circuit.input_power_W,primary_strict,True,True,0.0,0.012967012042907719,0.0
aggregate_ledgers.circuit.relative_residual,primary_strict,True,True,6.688986908613601e-17,1.0,6.688986908613601e-17
aggregate_ledgers.circuit.signed_residual_W,primary_strict,True,True,1.734723475976807e-18,0.012967012042907719,1.3377973817226541e-16
aggregate_ledgers.circuit.terms.capacitor_backward_euler_dissipation_W,primary_strict,True,True,1.5585406229479126e-18,0.012967012042907719,1.201927335141447e-16
aggregate_ledgers.circuit.terms.capacitor_physical_energy_rate_W,primary_strict,True,True,3.1712913545201005e-18,0.012967012042907719,2.445660838461727e-16
aggregate_ledgers.circuit.terms.load_resistor_power_W,primary_strict,True,True,1.734723475976807e-18,0.012967012042907719,1.3377973817226541e-16
aggregate_ledgers.circuit.terms.terminal_device_power_W,primary_strict,True,True,1.9354702844760763e-19,0.012967012042907719,1.4926108482598948e-17
aggregate_ledgers.combined.accounted_power_W,primary_strict,True,True,6.938893903907228e-18,0.012967012042907719,5.351189526890617e-16
aggregate_ledgers.combined.input_power_W,primary_strict,True,True,0.0,0.012967012042907719,0.0
aggregate_ledgers.combined.relative_residual,primary_strict,True,True,2.276293396471049e-16,1.0,2.276293396471049e-16
aggregate_ledgers.combined.signed_residual_W,primary_strict,True,True,6.938893903907228e-18,0.012967012042907719,5.351189526890617e-16
aggregate_ledgers.combined.terms.capacitor_backward_euler_dissipation_W,primary_strict,True,True,1.5585406229479126e-18,0.012967012042907719,1.201927335141447e-16
aggregate_ledgers.combined.terms.capacitor_physical_energy_rate_W,primary_strict,True,True,3.1712913545201005e-18,0.012967012042907719,2.445660838461727e-16
aggregate_ledgers.combined.terms.explicit_plane_storage_rate_W,primary_strict,True,True,8.258571235729428e-21,0.012967012042907719,6.368908433494081e-19
aggregate_ledgers.combined.terms.lateral_boundary_outflow_W,primary_strict,True,True,0.0,0.012967012042907719,0.0
aggregate_ledgers.combined.terms.load_resistor_power_W,primary_strict,True,True,1.734723475976807e-18,0.012967012042907719,1.3377973817226541e-16
aggregate_ledgers.combined.terms.s2_closure_storage_rate_W,primary_strict,True,True,6.071532165918825e-18,0.012967012042907719,4.682290836029289e-16
aggregate_ledgers.combined.terms.vertical_sink_power_W,primary_strict,True,True,0.0,0.012967012042907719,0.0
aggregate_ledgers.device_power.accounted_power_W,primary_strict,True,True,1.8973538018496328e-19,2.64743505491085e-06,7.166762403973399e-14
aggregate_ledgers.device_power.input_power_W,primary_strict,True,True,1.9354702844760763e-19,2.64743505491085e-06,7.310737541553221e-14
aggregate_ledgers.device_power.relative_residual,primary_strict,True,True,7.198756878991084e-16,1.0,7.198756878991084e-16
aggregate_ledgers.device_power.signed_residual_W,primary_strict,True,True,3.8116482626443515e-21,2.64743505491085e-06,1.4397513757982274e-15
aggregate_ledgers.device_power.terms.field_joule_power_W,primary_strict,True,True,1.8973538018496328e-19,2.64743505491085e-06,7.166762403973399e-14
aggregate_ledgers.storage.closure_storage_rate_W,primary_strict,True,True,6.071532165918825e-18,0.0022738113358654454,2.6702004999935106e-15
aggregate_ledgers.storage.effective_storage_rate_W,primary_strict,True,True,5.204170427930421e-18,0.0022746389557391235,2.2879105340211554e-15
aggregate_ledgers.storage.explicit_plane_storage_rate_W,primary_strict,True,True,8.258571235729428e-21,8.276198736786878e-07,9.978700969348287e-15
aggregate_ledgers.storage.lateral_boundary_outflow_W,primary_strict,True,True,0.0,1e-30,0.0
aggregate_ledgers.storage.vertical_sink_power_W,primary_strict,True,True,0.0,0.002277286390794446,0.0
aggregate_ledgers.thermal.accounted_power_W,primary_strict,True,True,6.071532165918825e-18,0.002277286390794446,2.6661258726447364e-15
aggregate_ledgers.thermal.input_power_W,primary_strict,True,True,1.8973538018496328e-19,0.002277286390794446,8.331643352014801e-17
aggregate_ledgers.thermal.relative_residual,primary_strict,True,True,1.2914047195625289e-15,1.0,1.2914047195625289e-15
aggregate_ledgers.thermal.signed_residual_W,primary_strict,True,True,5.8817967857338616e-18,0.002277286390794446,2.5828094391245884e-15
aggregate_ledgers.thermal.terms.explicit_plane_storage_rate_W,primary_strict,True,True,8.258571235729428e-21,0.002277286390794446,3.626496548310014e-18
aggregate_ledgers.thermal.terms.lateral_boundary_outflow_W,primary_strict,True,True,0.0,0.002277286390794446,0.0
aggregate_ledgers.thermal.terms.s2_closure_storage_rate_W,primary_strict,True,True,6.071532165918825e-18,0.002277286390794446,2.6661258726447364e-15
aggregate_ledgers.thermal.terms.vertical_sink_power_W,primary_strict,True,True,0.0,0.002277286390794446,0.0
diagnostics.half_interval_s,primary_strict,True,True,0.0,5e-09,0.0
diagnostics.legacy_branch_increment,primary_strict,True,True,2.220446049250313e-16,1.9444057667128092,1.1419663977875227e-16
diagnostics.legacy_conductive_increment,primary_strict,True,True,8.881784197001252e-16,1.0,8.881784197001252e-16
diagnostics.outer_interval_s,primary_strict,True,True,0.0,1e-08,0.0
embedded_error.e_T,primary_strict,True,True,7.90589382154705e-15,1.0,7.90589382154705e-15
embedded_error.e_V,primary_strict,True,True,2.5978839305468293e-16,1.0,2.5978839305468293e-16
embedded_error.e_b,primary_strict,True,True,4.440892098500626e-16,1.0,4.440892098500626e-16
embedded_error.e_max,primary_strict,True,True,4.440892098500626e-16,1.0,4.440892098500626e-16
embedded_error.e_s,primary_strict,True,True,4.107825191113079e-15,1.0,4.107825191113079e-15
first_half_step.electrical.cell_joule_power_W,primary_strict,True,True,7.361907451721946e-23,3.6863329015648017e-09,1.997081557283367e-14
first_half_step.electrical.ground_current_A,primary_strict,True,True,1.0164395367051604e-20,2.6399624547231107e-05,3.850204516684191e-16
first_half_step.electrical.joule_power_W,primary_strict,True,True,3.1763735522036263e-22,9.215817327371093e-07,3.4466542026280805e-16
first_half_step.electrical.potential_V,primary_strict,True,True,7.28583859910259e-17,12.5,5.828670879282072e-18
first_half_step.electrical.relative_current_imbalance,primary_strict,True,True,2.5668030111227904e-16,1.0,2.5668030111227904e-16
first_half_step.electrical.relative_power_imbalance,primary_strict,True,True,2.8722118355233985e-16,1.0,2.8722118355233985e-16
first_half_step.electrical.source_current_A,primary_strict,True,True,2.371692252312041e-20,2.6399624547231134e-05,8.98381053892977e-16
first_half_step.electrical.terminal_device_power_W,primary_strict,True,True,8.470329472543003e-22,9.2158173273711e-07,9.191077873674874e-16
first_half_step.lateral.boundary_face_flux_W,no_flux_boundary,True,True,0.0,1e-30,0.0
first_half_step.lateral.boundary_outflow_W,no_flux_boundary,True,True,0.0,1e-30,0.0
first_half_step.lateral.face_to_cell_global_residual_W,cancellation_roundoff_diagnostics,True,False,2.3426013441443167e-26,2.3299795696607805e-26,1.0054171180931744
first_half_step.lateral.internal_pair_cancellation_W,cancellation_roundoff_diagnostics,True,False,2.3426013441443167e-26,2.3299795696607805e-26,1.0054171180931744
first_half_step.lateral.matrix_face_relative_mismatch,lateral_hard_gate_diagnostics,True,False,2.4494465148487483e-10,1.0,2.4494465148487483e-10
first_half_step.lateral.matrix_face_roundoff_ratio,lateral_hard_gate_diagnostics,True,False,1.541216072042679e-05,1.0,1.541216072042679e-05
first_half_step.lateral.net_cell_outflow_W,physical_lateral_flux,True,False,4.280332274460409e-18,4.4178183131824046e-11,9.688792003257018e-08
first_half_step.lateral.x_face_flux_W,physical_lateral_flux,True,False,3.0487399278067536e-18,4.503413874541191e-11,6.76984175281327e-08
first_half_step.lateral.y_face_flux_W,physical_lateral_flux,True,False,1.1432774726927165e-18,6.4785723452587264e-18,0.17647058823529413
first_half_step.ledgers.circuit.accounted_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.input_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.relative_residual,primary_strict,True,True,0.0,1.0,0.0
first_half_step.ledgers.circuit.signed_residual_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.terms.capacitor_backward_euler_dissipation_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.terms.capacitor_physical_energy_rate_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.terms.load_resistor_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.circuit.terms.terminal_device_power_W,primary_strict,True,True,8.470329472543003e-22,0.012984469900592703,6.523431096833885e-20
first_half_step.ledgers.combined.accounted_power_W,primary_strict,True,True,2.42861286636753e-17,0.012984469900592703,1.870398164084212e-15
first_half_step.ledgers.combined.input_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.combined.relative_residual,primary_strict,True,True,7.944851999659773e-16,1.0,7.944851999659773e-16
first_half_step.ledgers.combined.signed_residual_W,primary_strict,True,True,2.42861286636753e-17,0.012984469900592703,1.870398164084212e-15
first_half_step.ledgers.combined.terms.capacitor_backward_euler_dissipation_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.combined.terms.capacitor_physical_energy_rate_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.combined.terms.explicit_plane_storage_rate_W,primary_strict,True,True,7.940933880509066e-21,0.012984469900592703,6.115716653281768e-19
first_half_step.ledgers.combined.terms.lateral_boundary_outflow_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.combined.terms.load_resistor_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.combined.terms.s2_closure_storage_rate_W,primary_strict,True,True,2.47198095326695e-17,0.012984469900592703,1.903798131300001e-15
first_half_step.ledgers.combined.terms.vertical_sink_power_W,primary_strict,True,True,0.0,0.012984469900592703,0.0
first_half_step.ledgers.device_power.accounted_power_W,primary_strict,True,True,3.1763735522036263e-22,9.2158173273711e-07,3.446654202628078e-16
first_half_step.ledgers.device_power.input_power_W,primary_strict,True,True,8.470329472543003e-22,9.2158173273711e-07,9.191077873674874e-16
first_half_step.ledgers.device_power.relative_residual,primary_strict,True,True,2.8722118355233985e-16,1.0,2.8722118355233985e-16
first_half_step.ledgers.device_power.signed_residual_W,primary_strict,True,True,5.293955920339377e-22,9.2158173273711e-07,5.744423671046797e-16
first_half_step.ledgers.device_power.terms.field_joule_power_W,primary_strict,True,True,3.1763735522036263e-22,9.2158173273711e-07,3.446654202628078e-16
first_half_step.ledgers.storage.closure_storage_rate_W,primary_strict,True,True,2.47198095326695e-17,0.002298885346307815,1.0752954501350578e-14
first_half_step.ledgers.storage.effective_storage_rate_W,primary_strict,True,True,2.5153490401663703e-17,0.002299722092357786,1.0937621761016841e-14
first_half_step.ledgers.storage.explicit_plane_storage_rate_W,primary_strict,True,True,7.940933880509066e-21,8.367460499711471e-07,9.49025559282041e-15
first_half_step.ledgers.storage.lateral_boundary_outflow_W,primary_strict,True,True,0.0,1e-30,0.0
first_half_step.ledgers.storage.vertical_sink_power_W,primary_strict,True,True,0.0,0.0023006436740905054,0.0
first_half_step.ledgers.thermal.accounted_power_W,primary_strict,True,True,2.47198095326695e-17,0.0023006436740905054,1.074473627144446e-14
first_half_step.ledgers.thermal.input_power_W,primary_strict,True,True,3.1763735522036263e-22,0.0023006436740905054,1.3806455940898001e-19
first_half_step.ledgers.thermal.relative_residual,primary_strict,True,True,2.338560518029188e-15,1.0,2.338560518029188e-15
first_half_step.ledgers.thermal.signed_residual_W,primary_strict,True,True,2.472012717002472e-17,0.0023006436740905054,1.0744874336003869e-14
first_half_step.ledgers.thermal.terms.explicit_plane_storage_rate_W,primary_strict,True,True,7.940933880509066e-21,0.0023006436740905054,3.4516139852245003e-18
first_half_step.ledgers.thermal.terms.lateral_boundary_outflow_W,primary_strict,True,True,0.0,0.0023006436740905054,0.0
first_half_step.ledgers.thermal.terms.s2_closure_storage_rate_W,primary_strict,True,True,2.47198095326695e-17,0.0023006436740905054,1.074473627144446e-14
first_half_step.ledgers.thermal.terms.vertical_sink_power_W,primary_strict,True,True,0.0,0.0023006436740905054,0.0
first_half_step.nonlinear.scaled_residual_inf,primary_strict,True,True,2.3611596018599336e-15,1.0,2.3611596018599336e-15
first_half_step.nonlinear.scaled_update_inf,primary_strict,True,True,6.938893903907228e-18,1.0,6.938893903907228e-18
first_half_step.state.branch_memory,primary_strict,True,True,4.440892098500626e-16,1.0,4.440892098500626e-16
first_half_step.state.conductive_state,primary_strict,True,True,7.993605777301127e-15,1.0,7.993605777301127e-15
first_half_step.state.device_voltage_V,primary_strict,True,True,0.0,12.5,0.0
first_half_step.state.temperature_K,primary_strict,True,True,1.1368683772161603e-13,336.1681913814997,3.381843988701441e-16
first_half_step.state.time_s,primary_strict,True,True,0.0,5e-09,0.0
full_step.electrical.cell_joule_power_W,primary_strict,True,True,3.374896899216353e-22,1.5342004904297385e-08,2.1997756618308895e-14
full_step.electrical.ground_current_A,primary_strict,True,True,6.098637220230962e-20,5.679329906000162e-05,1.0738304203437462e-15
full_step.electrical.joule_power_W,primary_strict,True,True,2.541098841762901e-21,3.835488528185066e-06,6.625228632779501e-16
full_step.electrical.potential_V,primary_strict,True,True,2.2898349882893854e-16,12.5,1.8318679906315084e-17
full_step.electrical.relative_current_imbalance,primary_strict,True,True,5.965724557465271e-16,1.0,5.965724557465271e-16
full_step.electrical.relative_power_imbalance,primary_strict,True,True,5.521023860649593e-16,1.0,5.521023860649593e-16
full_step.electrical.source_current_A,primary_strict,True,True,1.2874900798265365e-19,5.67932990600016e-05,2.2669753318367984e-15
full_step.electrical.terminal_device_power_W,primary_strict,True,True,6.776263578034403e-21,3.8354885281850655e-06,1.7667276354078676e-15
full_step.lateral.boundary_face_flux_W,no_flux_boundary,True,True,0.0,1e-30,0.0
full_step.lateral.boundary_outflow_W,no_flux_boundary,True,True,0.0,1e-30,0.0
full_step.lateral.face_to_cell_global_residual_W,cancellation_roundoff_diagnostics,True,False,8.683780844672898e-26,5.884271264224571e-26,1.4757614757614759
full_step.lateral.internal_pair_cancellation_W,cancellation_roundoff_diagnostics,True,False,8.683780844672898e-26,5.884271264224571e-26,1.4757614757614759
full_step.lateral.matrix_face_relative_mismatch,lateral_hard_gate_diagnostics,True,False,1.1311612270151766e-09,1.0,1.1311612270151766e-09
full_step.lateral.matrix_face_roundoff_ratio,lateral_hard_gate_diagnostics,True,False,0.00012623669909199702,1.0,0.00012623669909199702
full_step.lateral.net_cell_outflow_W,physical_lateral_flux,True,False,6.566887233644068e-18,7.916986723039378e-11,8.29468011425817e-08
full_step.lateral.x_face_flux_W,physical_lateral_flux,True,False,4.573109892517924e-18,8.212355713958465e-11,5.568572589646904e-08
full_step.lateral.y_face_flux_W,physical_lateral_flux,True,False,1.5243699635902886e-18,4.954202381668438e-18,0.3076923076923077
full_step.ledgers.circuit.accounted_power_W,primary_strict,True,True,0.0,0.012950485235647166,0.0
