field,category,maximum_absolute_difference,analytic_bound,state_propagation_bound,roundoff_bound,audit_ratio,passed,evidence
full_step.lateral.x_face_flux_W,physical_lateral_flux,4.573109892517924e-18,1.3717278970184507e-16,9.146219781541732e-18,1.2802656992030334e-16,0.033338316603882645,True,frozen_v1_detail_plus_static_operator_bound
full_step.lateral.y_face_flux_W,physical_lateral_flux,1.5243699635902886e-18,3.429319742546127e-17,2.286554945385433e-18,3.2006642480075835e-17,0.04445108878819528,True,frozen_v1_detail_plus_static_operator_bound
full_step.lateral.net_cell_outflow_W,physical_lateral_flux,6.566887233644068e-18,4.1316345176604077e-16,1.424921893075728e-17,3.9891423283528347e-16,0.015894162965224366,True,frozen_v1_detail_plus_static_operator_bound
full_step.lateral.internal_pair_cancellation_W,cancellation_roundoff_diagnostics,8.683780844672898e-26,5.251707064364586e-22,0.0,5.251707064364586e-22,0.00016535158450852334,True,frozen_v1_detail_plus_pairwise_roundoff_bound
full_step.lateral.face_to_cell_global_residual_W,cancellation_roundoff_diagnostics,8.683780844672898e-26,5.251707064364586e-22,0.0,5.251707064364586e-22,0.00016535158450852334,True,frozen_v1_detail_plus_pairwise_roundoff_bound
first_half_step.lateral.x_face_flux_W,physical_lateral_flux,3.0487399278067536e-18,1.3420865326846864e-16,6.097479854361154e-18,1.2811117341410747e-16,0.02271641845409258,True,frozen_v1_detail_plus_static_operator_bound
first_half_step.lateral.y_face_flux_W,physical_lateral_flux,1.1432774726927165e-18,3.355216331711716e-17,1.5243699635902886e-18,3.202779335352687e-17,0.03407462767414033,True,frozen_v1_detail_plus_static_operator_bound
first_half_step.lateral.net_cell_outflow_W,physical_lateral_flux,4.280332274460409e-18,4.0867732566648e-16,9.49947928717152e-18,3.9917784637930846e-16,0.01047362309000126,True,frozen_v1_detail_plus_static_operator_bound
first_half_step.lateral.internal_pair_cancellation_W,cancellation_roundoff_diagnostics,2.3426013441443167e-26,2.8798816551258835e-22,0.0,2.8798816551258835e-22,8.134366702099494e-05,True,frozen_v1_detail_plus_pairwise_roundoff_bound
first_half_step.lateral.face_to_cell_global_residual_W,cancellation_roundoff_diagnostics,2.3426013441443167e-26,2.8798816551258835e-22,0.0,2.8798816551258835e-22,8.134366702099494e-05,True,frozen_v1_detail_plus_pairwise_roundoff_bound
second_half_step.lateral.x_face_flux_W,physical_lateral_flux,2.1341179489800514e-17,1.646096387775985e-16,3.658487912616693e-17,1.2802475965143157e-16,0.12964720443032043,True,frozen_v1_detail_plus_static_operator_bound
second_half_step.lateral.y_face_flux_W,physical_lateral_flux,5.33529487256601e-18,4.115240969439962e-17,9.146219781541732e-18,3.200618991285789e-17,0.12964720443313635,True,frozen_v1_detail_plus_static_operator_bound
second_half_step.lateral.net_cell_outflow_W,physical_lateral_flux,2.735516039011755e-17,4.559054679946495e-16,5.699687572302912e-17,3.9890859227162034e-16,0.06000182562065387,True,frozen_v1_detail_plus_static_operator_bound
second_half_step.lateral.internal_pair_cancellation_W,cancellation_roundoff_diagnostics,2.963592648734297e-26,5.48016365060493e-22,0.0,5.48016365060493e-22,5.407854286262345e-05,True,frozen_v1_detail_plus_pairwise_roundoff_bound
second_half_step.lateral.face_to_cell_global_residual_W,cancellation_roundoff_diagnostics,2.963592648734297e-26,5.48016365060493e-22,0.0,5.48016365060493e-22,5.407854286262345e-05,True,frozen_v1_detail_plus_pairwise_roundoff_bound
full_step.lateral.original_controller_hard_gate,lateral_hard_gate_diagnostics,0.0,0.0,0.0,0.0,0.0,True,both_observations_reached_aggregate_and_embedded_error_after_all_three_path_integrity_gates
first_half_step.lateral.original_controller_hard_gate,lateral_hard_gate_diagnostics,0.0,0.0,0.0,0.0,0.0,True,both_observations_reached_aggregate_and_embedded_error_after_all_three_path_integrity_gates
second_half_step.lateral.original_controller_hard_gate,lateral_hard_gate_diagnostics,0.0,0.0,0.0,0.0,0.0,True,both_observations_reached_aggregate_and_embedded_error_after_all_three_path_integrity_gates
