family,profile,field_pattern,producer_balance_name,normalized_scale_group_id,required_when,source_constructor,source_extractor
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.accounted_power_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.input_power_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.signed_residual_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.terms.capacitor_backward_euler_dissipation_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.terms.capacitor_physical_energy_rate_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.terms.load_resistor_power_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.circuit.terms.terminal_device_power_W,s2_circuit_two_half_aggregate,aggregate_ledgers.circuit:circuit,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.accounted_power_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.input_power_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.signed_residual_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.terms.capacitor_backward_euler_dissipation_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.terms.capacitor_physical_energy_rate_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
failure,failure_at_first_half_step|failure_at_full_step|failure_at_second_half_step,aggregate_ledgers.combined.terms.explicit_plane_storage_rate_W,s2_combined_electrothermal_two_half_aggregate,aggregate_ledgers.combined:combined,always_in_family,pinnpcm.physics.geophase_s2_ledgers.build_s2_two_half_interval_ledgers,pinnpcm.solvers.geophase_phase1_v2_performance_equivalence._attempt_observation
