source,path_or_url,file_type,matched_keywords,status,reason,accepted_points,curve_type
local,data\literature\literature_curve_ingestion_registry.csv,csv,,not_curve_relevant,No curve keyword match,0,
local,data\literature\literature_curve_registry.csv,csv,,not_curve_relevant,No curve keyword match,0,
local,data\literature\literature_parameter_sanity_table.csv,csv,,not_curve_relevant,No curve keyword match,0,
local,data\literature\manual_digitization_queue.csv,csv,,not_curve_relevant,No curve keyword match,0,
local,data\literature\README.md,md,,not_curve_relevant,No accepted numeric curve table,0,
local,docs\literature\literature_curve_fit_notes.md,md,,not_curve_relevant,No accepted numeric curve table,0,
local,docs\literature\literature_curve_provenance_notes.md,md,,not_curve_relevant,No accepted numeric curve table,0,
local,docs\literature\literature_parameter_sanity_notes.md,md,memristor,text_candidate_not_digitized,No accepted numeric curve table,0,
local,docs\literature\manual_digitization_protocol.md,md,,not_curve_relevant,No accepted numeric curve table,0,
local,references\papers\PAPER_REGISTRY.md,md,memristor,text_candidate_not_digitized,No accepted numeric curve table,0,
local,references\project_sources\README.md,md,,not_curve_relevant,No accepted numeric curve table,0,
google_drive,https://drive.google.com/file/d/1_P82_I6Qc2ON3nWeuyZLudwwJcpgw77k/view?usp=drivesdk,application/pdf,,candidate_not_digitized,Drive source is PDF metadata only; no numerical table fetched or accepted,0,
google_drive,https://drive.google.com/file/d/16673zPpCLoveFGGJc497rH0GYHt2bZcx/view?usp=drivesdk,application/pdf,memristor,candidate_not_digitized,Drive source is PDF metadata only; no numerical table fetched or accepted,0,
google_drive,https://drive.google.com/file/d/1aLvFvBwmSwVzKoOXOqv73MySwD0rHYa3/view?usp=drivesdk,application/pdf,memristor,candidate_not_digitized,Drive source is PDF metadata only; no numerical table fetched or accepted,0,
google_drive,https://drive.google.com/file/d/1c1x4ekUzRM6iHktfdulDCZ35JeXsB-Aw/view?usp=drivesdk,application/pdf,,candidate_not_digitized,Drive source is PDF metadata only; no numerical table fetched or accepted,0,
