metric,v3r_post_adam,m33,delta,no_worse
port_full_trace_nrmse95,0.09554748319724289,0.11678282862595804,0.02123534542871515,False
cv_residual_rms.r_c,0.022650079801678658,0.030096927657723427,0.007446847856044769,False
cv_residual_rms.r_T,56586.484375,1048.3697509765625,-55538.11462402344,True
cv_residual_rms.r_m,4.07621955871582,3.6000444889068604,-0.47617506980895996,True
discrete_electrical_rms,2.682407941601017e-11,2.687322239736112e-11,4.914298135094697e-14,True
field_score_only_nrmse95.c_v,0.3804764754467812,0.6527665280616204,0.2722900526148392,False
field_score_only_nrmse95.T,1.7527380971632291,1.7164177029992431,-0.036320394163986025,True
field_score_only_nrmse95.m,0.4276496303934893,0.428069278657258,0.00041964826376872377,False
field_score_only_nrmse95.phi,0.006615897106539468,0.022194031001101663,0.015578133894562196,False
field_score_only_nrmse95.sigma,0.24762120912795985,0.2674511089366529,0.01982989980869307,False
interface_state_rms.c_v,0.01814647950232029,0.012223961763083935,-0.005922517739236355,True
interface_state_rms.T,0.00022904867364559323,0.00861955713480711,0.008390508461161517,False
interface_state_rms.m,0.012501165270805359,0.009866776876151562,-0.002634388394653797,True
interface_state_rms.phi,0.0014602823732854705,0.0017436798776420681,0.0002833975043565976,False
interface_flux_rms.current,0.0955474831972429,0.11678282862595805,0.02123534542871515,False
interface_flux_rms.heat,33211.93410443767,267.658220467639,-32944.27588397003,True
interface_flux_rms.defect,23.8718026357057,9.6336473309871,-14.238155304718598,True
terminal_current_conservation_normalized_error,3.6088292095975133e-16,3.558251680203746e-16,-5.057752939376727e-18,True
global_energy_ledger.gate_value,0.9999502024009691,0.99995479266132,4.590260350934017e-06,False
defect_mass_ledger.gate_value,1.0,1.0,0.0,True
