autograd,clip_effective_ratio,constraint_rms,cosine,dtype,finite,finite_difference,flat_index,gradient_cosine,gradient_norm,gradient_norm_ratio_32_to_64,group_a,group_b,module,nonzero,parameter,pass,relative_error,residual_relative_difference,row_type,squared_loss,step
,1.0,0.5427811741828918,,float32,True,,,,2.309108018875122,,constitutive,,,,,,,,group,0.2946114242076874,
,1.1064752062098008e-07,638.420654296875,,float32,True,,,,903770816.0,,conservation,,,,,,,,group,407580.90625,
,1.0,2.4190921783447266,,float32,True,,,,2.0568230152130127,,phase_current,,,,,,,,group,5.852006912231445,
,1.0,1.1515016495877717e-08,,float32,True,,,,5.286690793019324e-18,,ic_bc,,,,,,,,group,1.3259560958926204e-16,
,1.0,0.010567828081548214,,float32,True,,,,0.03584706783294678,,interface,,,,,,,,group,0.00011167899356223643,
,1.0,0.013881717808544636,,float32,True,,,,4.884900772594847e-05,,ledgers,,,,,,,,group,0.00019270209304522723,
,,,-0.08518651872873306,float32,,,,,,,constitutive,conservation,,,,,,,pair_cosine,,
,,,-0.16290155053138733,float32,,,,,,,constitutive,phase_current,,,,,,,pair_cosine,,
,,,-0.16403280198574066,float32,,,,,,,constitutive,ic_bc,,,,,,,pair_cosine,,
,,,0.03055008314549923,float32,,,,,,,constitutive,interface,,,,,,,pair_cosine,,
,,,0.004497610032558441,float32,,,,,,,constitutive,ledgers,,,,,,,pair_cosine,,
,,,0.27078619599342346,float32,,,,,,,conservation,phase_current,,,,,,,pair_cosine,,
,,,0.13613343238830566,float32,,,,,,,conservation,ic_bc,,,,,,,pair_cosine,,
,,,-0.08728638291358948,float32,,,,,,,conservation,interface,,,,,,,pair_cosine,,
,,,0.06030626595020294,float32,,,,,,,conservation,ledgers,,,,,,,pair_cosine,,
,,,0.35663843154907227,float32,,,,,,,phase_current,ic_bc,,,,,,,pair_cosine,,
,,,-0.09927482903003693,float32,,,,,,,phase_current,interface,,,,,,,pair_cosine,,
