voltage_V,regime,candidate,reference,reference_event_semantics,candidate_event_semantics,current_absolute_rmse_A,current_absolute_max_error_A,voltage_absolute_rmse_V,voltage_absolute_max_error_V,current_absolute_rmse_noise_fraction,current_max_error_noise_fraction,voltage_absolute_rmse_noise_fraction,voltage_max_error_noise_fraction,full_horizon_current_nrmse95,full_horizon_voltage_nrmse95,steady_current_error_A,steady_voltage_error_V,steady_current_error_noise_fraction,steady_voltage_error_noise_fraction,reference_activity_class,candidate_activity_class,activity_class_match,reference_activity_peak_count,candidate_activity_peak_count,charge_relative_error,energy_relative_error,reference_reversal_event_count,candidate_reversal_event_count,reversal_event_count_exact,reversal_event_type_sequence_exact,paired_reversal_event_count,maximum_event_time_error_s,median_event_time_error_s,phase_drift_s_per_event,short_raw_current_nrmse95,short_raw_voltage_nrmse95,dt_s,solver_family,normalized_primary_score,paired_cycle_count,reference_period_s,candidate_period_s,period_relative_error,frequency_relative_error,cycle_shape_current_nrmse95,cycle_shape_voltage_nrmse95,cycle_shape_combined_nrmse95,cycle_peak_relative_error,cycle_duty_cycle_absolute_error,cycle_charge_relative_error,cycle_energy_relative_error,cycle_ledger_count,electrical_cycle_ledger_relative_residual,thermal_cycle_ledger_relative_residual,cycle_ledger_relative_residual
9.0,static,Radau,DOP853,continuous_extremum_root_located_hysteresis_reference,continuous_extremum_root_located_hysteresis_reference,2.0613280597125296e-16,1.032367821871688e-14,1.2470608306929178e-11,4.5360604161714946e-10,3.016345444937589e-11,1.5106658847098208e-09,4.562066477600434e-10,1.6594065546496175e-08,3.016345444937589e-11,4.562066477600434e-10,0.0,0.0,0.0,0.0,quiescent,quiescent,True,0,0,5.3068566688521666e-15,1.730261914911723e-14,0,0,True,True,0,,,,8.254219567050808e-12,1.794596805204131e-11,,independent_reference_parity,,,,,,,,,,,,,,,,,
9.0,static,Euler_dt_2.5e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,8.976777030545257e-09,2.479676116385463e-07,0.0004309145237435954,0.012855471415668002,0.001313573566261049,0.03628514987382898,0.015763951966877996,0.47028592155029547,0.001313573566261049,0.015763951966877996,4.87890977618477e-17,2.460254222569347e-13,7.139318368231375e-12,9.00023722894264e-12,quiescent,quiescent,True,0,0,2.2759011348941527e-06,1.099699338754538e-06,0,0,True,True,0,,,,0.0003594589938269344,0.0006201123545429667,2.5e-09,source_compatible_explicit_euler,0.09405718431005909,,,,,,,,,,,,,,,,
9.0,static,Euler_dt_1.25e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,4.4920423782147775e-09,1.2430672029725043e-07,0.00021566336522205185,0.006444476933417332,0.0006573214536207479,0.018189827076629066,0.007889515769486108,0.2357553974915285,0.0006573214536207479,0.007889515769486108,9.985502008591496e-17,5.497824417943775e-13,1.4611804926980215e-11,2.0112443482727416e-11,quiescent,quiescent,True,0,0,1.1378317551610384e-06,5.500412056944431e-07,0,0,True,True,0,,,,0.0001798758093251821,0.0003103527725978487,1.25e-09,source_compatible_explicit_euler,0.0471510794983057,,,,,,,,,,,,,,,,
9.0,static,Euler_dt_6.25e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,2.2451591512791722e-09,6.212136184691967e-08,0.00010778380510183861,0.003220579563947331,0.00032853458464371333,0.009090231220468984,0.003943006403385299,0.11781701185310577,0.00032853458464371333,0.003943006403385299,2.0198686473404948e-16,1.1590728377086634e-12,2.955677804447789e-11,4.240183965259981e-11,quiescent,quiescent,True,0,0,5.686831866466921e-07,2.7506901189879423e-07,0,0,True,True,0,,,,8.990338589830406e-05,0.00015510748763499941,6.25e-10,source_compatible_explicit_euler,0.023563402370621152,,,,,,,,,,,,,,,,
9.0,static,Euler_dt_3.125e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,1.1223644794975671e-09,3.1053596530462455e-08,5.38799551957775e-05,0.001609922501654702,0.00016423581726066272,0.004544078949599756,0.001971066136979791,0.05889506987604286,0.00016423581726066272,0.001971066136979791,4.073889663114283e-16,2.3803181647963356e-12,5.961330837473198e-11,8.707810748579884e-11,quiescent,quiescent,True,0,0,2.8428485350981307e-07,1.3754769908835695e-07,0,0,True,True,0,,,,4.4943079808539666e-05,7.753655084274635e-05,3.125e-10,source_compatible_explicit_euler,0.011779013975208572,,,,,,,,,,,,,,,,
11.0,oscillatory,Radau,DOP853,continuous_extremum_root_located_hysteresis_reference,continuous_extremum_root_located_hysteresis_reference,6.395541119356075e-09,1.7785442909873037e-07,2.8495105783989716e-06,2.6824484958609673e-05,0.0011043157470357178,0.030710059253524196,6.508253305095158e-05,0.000612668520035594,2.9169607962231956e-06,5.188587275838076e-07,9.298184222355718e-11,8.466698475650958e-06,1.6055140704998408e-05,0.00019337853579178474,sustained_spiking,sustained_spiking,True,98,98,9.291698876556516e-11,5.541083142799893e-10,196,196,True,True,196,9.46629168281643e-13,4.832765318572158e-13,-4.4008753307763416e-15,1.0126964820285677e-07,1.587724191061625e-08,,independent_reference_parity,,97,3.6051769264527672e-06,3.605176917587761e-06,2.4589656344840092e-09,2.458965740061592e-09,1.322376326817057e-07,8.392057308506413e-09,9.50839600697459e-08,2.8531597325558285e-08,0.0,5.286790849602168e-08,8.069693252306758e-08,97,2.962040256765517e-08,1.1612659467237018e-07,1.1612659467237018e-07
11.0,oscillatory,Euler_dt_2.5e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0008257543136324417,0.004265764666714949,1.2708395629019407,5.253769485734743,142.58269546061317,736.5680255490537,29.02584692333152,119.99556302385395,0.37662066668418837,0.23140331661479444,2.0514559547580376e-06,0.005551845272476541,0.3542241497491283,0.12680358380797443,sustained_spiking,sustained_spiking,True,98,98,9.224592076002709e-06,0.0027781662807129315,196,196,True,True,196,5.42144240867808e-07,2.9735702966188487e-07,2.4101807598151492e-09,0.06204875042238448,0.010633172008809214,2.5e-09,source_compatible_explicit_euler,21.68576963471232,97,3.6051769264527672e-06,3.6099999999981308e-06,0.001337818821033309,0.0013360314530099474,0.08823979625376004,0.024885619403312017,0.06923354319862562,0.018415097771671173,0.0,0.0002897209340519493,0.001553219814585592,97,0.00042431474906605334,1.2272755577390981e-06,0.00042431474906605334
11.0,oscillatory,Euler_dt_1.25e-09s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.000292799853025483,0.0038107629456032716,0.17343948392558908,1.425899848573839,50.55764358189913,658.0030447014957,3.9613402492681233,32.56740814568061,0.13354392950900765,0.03158106891218688,2.797853149746183e-07,0.0030850826523556307,0.04831042805443295,0.07046297536458557,sustained_spiking,sustained_spiking,True,98,98,7.627878008285456e-05,0.0011538873799221796,196,196,True,True,196,7.482116634729497e-08,4.918308253549987e-08,2.461484460888754e-10,0.016928329661222364,0.0026168874934729223,1.25e-09,source_compatible_explicit_euler,2.992846653891799,97,3.6051769264527672e-06,3.605000000017676e-06,4.9075659447654456e-05,4.907806798616261e-05,0.0770420747466506,0.019692235642106457,0.059837123015287354,0.03529616199344743,0.0078125,0.0005580185231217523,0.0008921415513851065,97,0.00021221265856814355,9.123095325147052e-07,0.00021221265856814355
11.0,oscillatory,Euler_dt_6.25e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0002605888121179494,0.0037459797342364737,0.14822515037655806,1.2875363665262185,44.995774923914105,646.8169512778479,3.3854474243730674,29.407200227284815,0.11885270295298525,0.02698986748928337,2.237576560880296e-07,0.0015066331638555752,0.03863615267674058,0.03441134889114318,sustained_spiking,sustained_spiking,True,98,98,3.315532548077307e-05,0.0005945624295496238,196,196,True,True,196,6.65192393744336e-08,3.869549169369796e-08,2.2310558732905166e-10,0.011749952539105879,0.0018244853620789558,6.25e-10,source_compatible_explicit_euler,2.660769574977344,97,3.6051769264527672e-06,3.605624999978587e-06,0.00012428614044762964,0.00012427069532247394,0.0737641629267982,0.017313397408319914,0.05682893327125471,0.03963089006181172,0.0078125,0.0019368184261220828,0.0030197611081230007,97,0.000106002098795652,7.377813680875008e-09,0.000106002098795652
11.0,oscillatory,Euler_dt_3.125e-10s,DOP853,continuous_extremum_root_located_hysteresis_reference,source_compatible_threshold_sampled_explicit_euler,0.0003414398889001775,0.003955982276004344,0.22137147412789746,1.856233569241362,58.95630079485056,683.0780133934386,5.056102051588705,42.39618674737971,0.15572830376687477,0.04030885944416753,6.613268844308726e-08,0.0006157345407027393,0.011419107137076985,0.014063314556429646,sustained_spiking,sustained_spiking,True,98,98,3.5304442671089664e-05,0.0002207625528257923,196,196,True,True,196,6.749877128233014e-08,2.8074557862725635e-08,-3.62023139313834e-10,0.004166350143692441,0.0006489757003345497,3.125e-10,source_compatible_explicit_euler,2.6999508512932056,97,3.6051769264527672e-06,3.6046874999785925e-06,0.00013575657565753095,0.00013577500800779983,0.07158082835561798,0.015514402571743241,0.054760900620455556,0.0389034419920018,0.0078125,0.003301022620778901,0.0048641914820997225,97,5.2994777446112724e-05,1.0345314248128607e-07,5.2994777446112724e-05
