method,run_role,voltage_V,coordinate,sign,relative_step,event_window_contract_id,window_start_s,window_end_s,lower_boundary,upper_boundary,full_horizon_event_count,post_transient_event_count,expected_m36_post_transient_event_count,full_horizon_signature_sha256,post_transient_signature_sha256,reference_post_transient_event_count,post_transient_event_count_difference,common_prefix_length,finite_state,activity_class,activity_class_exact,event_topology_compatible,cross_solver_post_transient_signature_exact,full_horizon_is_gate,post_transient_is_gate
DOP853,nominal,9.0,,,,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,0,0,0,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,0,0,0,True,quiescent,True,True,True,False,True
DOP853,nominal,11.0,,,,m37r_post_transient_reversal_signature_v1,3.920223500000001e-05,0.000391999355,inclusive,inclusive,216,196,196,9F07BFE2B95BDFD76F1A3E952E6A6920E3ECB0F624AD3EF0BF52021E5053AA8E,983754009A207F7892C6DE0EE18272DDB9E637D65FDCCCA6CB9EB76921192A64,196,0,196,True,sustained_spiking,True,True,True,False,True
DOP853,nominal,15.0,,,,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,381,344,344,9559A8062B38A2C0115BC195E6034E7E6125CCC0D6BFE74B5A9CF6E29D0D980B,16A0421BD06E02F3AF90E0C735260D601B8BFF10CFBB86BF47E5997E4A342B02,344,0,344,True,sustained_spiking,True,True,True,False,True
DOP853,nominal,17.0,,,,m37r_post_transient_reversal_signature_v1,3.920112000000001e-05,0.00039199824,inclusive,inclusive,4,0,0,69054AD0B93AAF1ADF33B7240EFE7C1567C0E2B1A3ECB8D6DEDB9289442EF60D,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,0,0,0,True,quiescent,True,True,True,False,True
Radau,nominal,9.0,,,,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,0,0,0,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,0,0,0,True,quiescent,True,True,True,False,True
Radau,nominal,11.0,,,,m37r_post_transient_reversal_signature_v1,3.920223500000001e-05,0.000391999355,inclusive,inclusive,216,196,196,9F07BFE2B95BDFD76F1A3E952E6A6920E3ECB0F624AD3EF0BF52021E5053AA8E,983754009A207F7892C6DE0EE18272DDB9E637D65FDCCCA6CB9EB76921192A64,196,0,196,True,sustained_spiking,True,True,True,False,True
Radau,nominal,15.0,,,,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,381,344,344,9559A8062B38A2C0115BC195E6034E7E6125CCC0D6BFE74B5A9CF6E29D0D980B,16A0421BD06E02F3AF90E0C735260D601B8BFF10CFBB86BF47E5997E4A342B02,344,0,344,True,sustained_spiking,True,True,True,False,True
Radau,nominal,17.0,,,,m37r_post_transient_reversal_signature_v1,3.920112000000001e-05,0.00039199824,inclusive,inclusive,4,0,0,69054AD0B93AAF1ADF33B7240EFE7C1567C0E2B1A3ECB8D6DEDB9289442EF60D,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,0,0,0,True,quiescent,True,True,True,False,True
DOP853,perturbation,9.0,log_C_th,-1,0.01,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,0,0,,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,0,0,0,True,quiescent,True,True,,False,True
DOP853,perturbation,11.0,log_C_th,-1,0.01,m37r_post_transient_reversal_signature_v1,3.920223500000001e-05,0.000391999355,inclusive,inclusive,216,196,,9F07BFE2B95BDFD76F1A3E952E6A6920E3ECB0F624AD3EF0BF52021E5053AA8E,983754009A207F7892C6DE0EE18272DDB9E637D65FDCCCA6CB9EB76921192A64,196,0,196,True,sustained_spiking,True,True,,False,True
DOP853,perturbation,15.0,log_C_th,-1,0.01,m37r_post_transient_reversal_signature_v1,3.920144e-05,0.00039199856,inclusive,inclusive,379,343,,64AD3D3606C9732DE0A64034EFB21C054E36F2DCCCAF48FED9407B1CE434CF15,B9697A2779E353C1197F02D964A07B598297671CD00AD478FD0011F11FBE554D,344,-1,0,True,sustained_spiking,True,False,,False,True
