case_id,geometry,mode,mesh,domain,canonical_case_sha256,finite,cell_count,grid_shape,grid_edge_sha256,source_area_integral_relative_error,source_power_integral_relative_error,source_smearing,clip_count,Theta,Rs_K_W,normalized_power_imbalance,time,steps_per_output,maximum_normalized_sensible_energy_imbalance,Zth_K_W,boundary_outflow_W,cumulative_outward_heat_J
square_steady_M1D3,rho1,steady,M1,D3,A76C87A5464BB96E589D26FC5A931FFF4C6A2F05E9E387EF6BF0CDF32EBAB98B,True,19683,"[27,27,27]",7e5a6d143d70745755b2f6e8d0b6b8251d6d2d4515db6cfa60e8b7d78a21cbbd,1.262177448353619e-16,0.0,False,0,0.49298210630730965,62990.94293680984,5.893063814710331e-13,,,,,,
square_steady_M2D3,rho1,steady,M2,D3,4BD8D7731F4AD35D9CCC5B0D73D89FADE320E389692355D8B1E05868A7E2D684,True,39304,"[34,34,34]",f687155022e89a334f7cd555353527f757b09cb3969e9104b49468bf231475b0,1.262177448353619e-16,0.0,False,0,0.4808371823662417,61439.121478878835,3.802691495025101e-11,,,,,,
square_steady_M3D3,rho1,steady,M3,D3,DC6026AEAF7097D175C3F79DA8DDE36B2C185F378F517742395C2D5B814DAC3B,True,85184,"[44,44,44]",c7eeec3b5270a9a9ff2a1421a49f993e28e4cd93edd64693ffe3c7f3e7a214d2,0.0,1.1102230246251565e-16,False,0,0.4767840975122532,60921.23729304495,9.175860071763964e-11,,,,,,
square_steady_M3D1,rho1,steady,M3,D1,0BE12A57F299512012353642E59FA40414B1641186529B83554FF4F4E50369A3,True,64000,"[40,40,40]",8008fb654285c1b831d04d1fdf7bfe74207c65c264d051b17e37f3674d7a2d0a,1.262177448353619e-16,0.0,False,0,0.4754258601098477,60747.688083824294,2.7210900199747812e-11,,,,,,
square_steady_M3D2,rho1,steady,M3,D2,C2E9FE9564310B7CF06D2DAD5FA4E1F77DDF999309ACE57884B8166883096627,True,79507,"[43,43,43]",7185068991f3828d6deef2981d6bcd13c43ea2be4e26732d6dc7d5841a8e513a,1.262177448353619e-16,0.0,False,0,0.4764359382279531,60876.75113151965,1.1740830530015955e-11,,,,,,
rho5_steady_M2D3,rho5,steady,M2,D3,64C11E97DA94E92265757A1B886E97318E506F11AC0D2DE85B03588B7B9B86C6,True,41400,"[30,46,30]",bc0f2d1fb04c1b49ac4133500c881449dead14023015826ed6fdbc5c3b8b3628,1.262177448353619e-16,2.220446049250313e-16,False,0,0.41626698602113554,53188.64443041222,2.811462174179269e-11,,,,,,
rho5_steady_M3D3,rho5,steady,M3,D3,AB420725BE70DA84D6DDF2586D613206E333A25ED8BC74F0802492DE486CC485,True,94461,"[37,69,37]",1f1dcb13b81517d90ab5ab43a3ff980c05d9b0f3324e45e08d28b2e209840e3c,1.262177448353619e-16,0.0,False,0,0.41203287142674483,52647.629112836126,2.0658585953015063e-11,,,,,,
rho5_steady_M3D2,rho5,steady,M3,D2,2FD9C2282973E301CCFCB419BF385A49690EF2714E632A3AD5D2B33AFCE70A4E,True,82075,"[35,67,35]",4ef0473b536f188da1c1f8a17110ff165cefae314d728d5aa88f63a76a9171e7,1.262177448353619e-16,0.0,False,0,0.4116965779760537,52604.659111914225,3.237210499662524e-11,,,,,,
rho5_transient_M2D3_base,rho5,transient_3d,M2,D3,2FB59E778028DABC9DEFCA30387F21275204BB7CFE32FD8B8130D9EC2B67FB2A,True,41400,"[30,46,30]",bc0f2d1fb04c1b49ac4133500c881449dead14023015826ed6fdbc5c3b8b3628,1.262177448353619e-16,2.220446049250313e-16,False,0,,,,base,128,2.6411872363370326e-10,"[27917.558146787742,35511.2623121582,42375.5419909933,46710.897497279686,49620.056560183446,51154.568164259894,52111.23755683865,52602.583962737976,52940.45946594831]","[4.6911710888674996e-17,-7.589325806306495e-15,9.323513823282412e-15,1.0549860493657848e-14,8.252313059512783e-15,-1.1335474192642512e-16,1.3206696548270828e-13,1.0775296965572653e-08,0.0002503844433555036]","[6.35824714461122e-22,1.769938323209567e-22,-1.277646063498502e-22,3.113680760525874e-22,6.107122564559425e-22,1.3538202545456643e-21,5.239393502080233e-21,1.4075130664453327e-15,1.9930718240877415e-10]"
rho5_transient_M3D3_base,rho5,transient_3d,M3,D3,743A7FCEB7013DB40679F6B54AD04A38BC569CF756B72E5C552C572127A3EFE5,True,94461,"[37,69,37]",1f1dcb13b81517d90ab5ab43a3ff980c05d9b0f3324e45e08d28b2e209840e3c,1.262177448353619e-16,0.0,False,0,,,,base,128,2.377384805890054e-10,"[27411.48383812082,34984.30279265696,41839.03173086742,46171.35963231343,49079.62736129652,50613.97025944561,51570.604077677905,52061.95451165646,52401.1040508596]","[2.1444829760728772e-15,-9.93961717228476e-17,6.67141989870544e-17,7.426965633824705e-15,-1.2443455632836037e-15,-5.297955444343212e-15,1.4164750350338847e-14,2.72660912084479e-09,0.00016618326055759967]","[5.387948750859618e-22,4.528789344494645e-23,3.205978695722923e-22,2.2721057523640075e-22,9.761118841147474e-22,9.885493184517333e-22,-2.2737803204419034e-22,3.359622627148024e-16,1.217383947652493e-10]"
