case_id,canonical_case_sha256,mode,kind,source_id,mesh,domain,time_profile,active_cell_count,finite,positive,source_audit,time_s,vo2_mean_Zth_K_W,source_mean_Zth_K_W,source_surface_face_Zth_K_W,vo2_tmax_rise_K,normalized_power_imbalance,maximum_normalized_sensible_energy_imbalance
homogeneous_steady_M3D3,1825392F9745A879038F7AB912006123BA788CA5986D72FF6E232D7AA4AB2711,homogeneous,steady,S_surface_anchor,M3,D3,,53504,True,True,"{""source_id"":""S_surface_anchor"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_cell_count"":225,""surface_source_area_m2"":1.25e-14}",,,50405.63679019379,52786.58917114616,,3.4218013486705598e-12,
homogeneous_transient_M3D3,91ACB19783CF47B90EF57F9F339695CA06A1D0E8A6B5E719F1891E40719AC811,homogeneous,transient,S_surface_anchor,M3,D3,base,53504,True,True,"{""source_id"":""S_surface_anchor"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_cell_count"":225,""surface_source_area_m2"":1.25e-14}","[4.285714285714286e-10,1.2857142857142856e-09,4.285714285714286e-09,1.2857142857142857e-08,4.285714285714286e-08,1.2857142857142858e-07,4.285714285714286e-07,1.2857142857142856e-06,5.22e-06]","[null,null,null,null,null,null,null,null,null]","[24200.56335784254,32169.364667299687,39138.97303776961,43627.81876447171,46649.07130293177,48266.74443643915,49267.70066156528,49787.093695500764,50139.48313007097]","[26581.515738794915,34550.31704825206,41519.925418721985,46008.77114542408,49030.02368388413,50647.696817391516,51648.653042517646,52168.046076453116,52520.43551102335]","[null,null,null,null,null,null,null,null,null]",,1.8269752588827986e-12
layered1d_steady,FF6CB6806A1E3C5EA17FDFFD06BCD4D417FC7B30E63338D42E8B649AA772B0A0,layered1d,steady,S_layered_top_isoflux,,,,256,True,True,"{""source_id"":""S_layered_top_isoflux"",""integrated_model_power_W"":1e-06,""expected_model_power_W"":1e-06,""full_power_W"":1e-06,""symmetry_fraction"":1.0,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":0.0,""surface_source_area_m2"":4.9999999999999995e-14,""source_flux_W_m2"":20000000.0}",,18087360.47246021,18353543.329748355,18353582.761925012,18.321735472479737,8.202921171094821e-11,
layered1d_transient,02617DFF999A52010953580B35F40521B4C41FBF383E5346E4A594FD56A610EE,layered1d,transient,S_layered_top_isoflux,,,reference,256,True,True,"{""source_id"":""S_layered_top_isoflux"",""integrated_model_power_W"":1e-06,""expected_model_power_W"":1e-06,""full_power_W"":1e-06,""symmetry_fraction"":1.0,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":0.0,""surface_source_area_m2"":4.9999999999999995e-14,""source_flux_W_m2"":20000000.0}","[1e-10,3e-10,1e-09,3e-09,1e-08,3e-08,1e-07,3e-07,1e-06]","[744.838554270859,4337.462959826045,24020.73406190585,88300.65639259177,249303.96162677987,473599.71069313685,821607.8238834626,1343191.8187022125,2339481.261350008]","[14865.49101407628,36639.259204434195,95140.87110027543,212815.55773157885,445087.2087193137,712766.9122524044,1076073.0254418377,1602960.4305697621,2602201.600606574]","[14904.92319073243,36678.69138109035,95180.30327693159,212854.989908235,445126.6408959699,712806.3444290604,1076112.4576184938,1602999.8627464182,2602241.0327832308]","[0.006337862777599996,0.02402735437223328,0.07755289385940178,0.19067104864568432,0.41793215948456486,0.682691692684395,1.0450060720783958,1.5715571070418204,2.5706119546760577]",,3.465838298983169e-11
S_bulk_steady_M2D2,1FDA02C73EC236325E8D627524E4A6382D7E89B253621EBC01ED79FFD003533F,heterogeneous_3d,steady,S_bulk,M2,D2,,30592,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5000000000000004e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":2.1175823681357508e-16,""source_geometry_integration_relative_error"":1.8807909613156603e-16,""source_cell_count"":400,""vo2_source_support_volume_m3"":1.2499999999999996e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.4999999999999993e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":1.8807909613156603e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}",,224770.0480323367,224770.0480323366,,0.30478661848979666,2.2700482986415245e-12,
S_bulk_transient_M2D2_base,25DE5932573E58D740D030577DEF82E982B1803B398F338683876F0C9538E57A,heterogeneous_3d,transient,S_bulk,M2,D2,base,30592,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5000000000000004e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":2.1175823681357508e-16,""source_geometry_integration_relative_error"":1.8807909613156603e-16,""source_cell_count"":400,""vo2_source_support_volume_m3"":1.2499999999999996e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.4999999999999993e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":1.8807909613156603e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}","[4.285714285714286e-10,1.2857142857142856e-09,4.285714285714286e-09,1.2857142857142857e-08,4.285714285714286e-08,1.2857142857142858e-07,4.285714285714286e-07,1.2857142857142856e-06,5.22e-06]","[23355.962546666207,58480.83932820156,130918.88409605566,198452.90042729277,220102.4751114971,222583.8761058419,223661.84608410727,224192.59680167344,224547.24044413402]","[23355.962546666196,58480.83932820153,130918.8840960556,198452.9004272927,220102.475111497,222583.87610584183,223661.84608410718,224192.59680167332,224547.2404441339]",,"[0.027041196690741634,0.07328855862400503,0.17507974659164904,0.27049659632811734,0.29983053702636303,0.3025815230419405,0.30367562875124254,0.30420865328515845,0.30456374582003065]",,4.5095075874778096e-13
S_bulk_steady_M3D2,842FC0D17D5A2F2DFF028C08AF09556A8CF0DEF4DA3ED883BBFE4F98BDE4479E,heterogeneous_3d,steady,S_bulk,M3,D2,,49410,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":3.7615819226313205e-16,""source_cell_count"":1440,""vo2_source_support_volume_m3"":1.2499999999999997e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.5000000000000007e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":3.7615819226313205e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}",,221551.23830900632,221551.2383090063,,0.30440970268768575,2.546181039446427e-12,
S_bulk_transient_M3D2_base,DE88DD7B3E326429164AACA52152F010A2C3A21DB34FE96712EE670B67D0B661,heterogeneous_3d,transient,S_bulk,M3,D2,base,49410,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":3.7615819226313205e-16,""source_cell_count"":1440,""vo2_source_support_volume_m3"":1.2499999999999997e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.5000000000000007e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":3.7615819226313205e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}","[4.285714285714286e-10,1.2857142857142856e-09,4.285714285714286e-09,1.2857142857142857e-08,4.285714285714286e-08,1.2857142857142858e-07,4.285714285714286e-07,1.2857142857142856e-06,5.22e-06]","[22938.060961494368,57492.73961387792,129124.82829489076,195732.90413754573,216910.14909824484,219366.2735068551,220443.04546371414,220973.63485579492,221328.2479279916]","[22938.060961494368,57492.73961387792,129124.82829489076,195732.90413754573,216910.14909824487,219366.27350685507,220443.04546371417,220973.63485579492,221328.24792799162]",,"[0.027003452104655736,0.07304351317434289,0.17516138991786598,0.27048846393941994,0.2994772461614281,0.3022052558756132,0.30329863342445246,0.3038315687116261,0.3041866451158454]",,1.8534374619379364e-12
S_bulk_transient_M3D3_base,B7FDCC5EA9DEB9302B9175E1508921F00B612D15AA97603CB32C2EF7EC1C2D62,heterogeneous_3d,transient,S_bulk,M3,D3,base,56400,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":3.7615819226313205e-16,""source_cell_count"":1440,""vo2_source_support_volume_m3"":1.2499999999999997e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.5000000000000007e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":3.7615819226313205e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}","[4.285714285714286e-10,1.2857142857142856e-09,4.285714285714286e-09,1.2857142857142857e-08,4.285714285714286e-08,1.2857142857142858e-07,4.285714285714286e-07,1.2857142857142856e-06,5.22e-06]","[22938.06096149433,57492.739613877995,129124.8282948904,195732.90413755205,216910.1490982415,219366.27350681875,220443.0454637055,220973.63485602508,221328.25860920222]","[22938.06096149433,57492.739613877995,129124.8282948904,195732.90413755202,216910.14909824147,219366.27350681878,220443.04546370546,220973.63485602505,221328.25860920222]",,"[0.0270034521046557,0.07304351317434293,0.17516138991786553,0.2704884639394296,0.29947724616142296,0.3022052558755604,0.3032986334244395,0.3038315687118525,0.304186655786391]",,1.7728128549687734e-12
S_bulk_transient_M3D2_fine,2E02DDF84CDBE91ABBEED71B2C1D7E33A108899E0E409838067295716BCEA135,heterogeneous_3d,transient,S_bulk,M3,D2,fine,49410,True,True,"{""source_id"":""S_bulk"",""integrated_model_power_W"":2.5e-07,""expected_model_power_W"":2.5e-07,""full_power_W"":1e-06,""symmetry_fraction"":0.25,""source_power_integration_relative_error"":0.0,""source_geometry_integration_relative_error"":3.7615819226313205e-16,""source_cell_count"":1440,""vo2_source_support_volume_m3"":1.2499999999999997e-21,""bulk_support_volume_m3"":1.2499999999999997e-21,""expected_bulk_support_volume_m3"":1.2499999999999997e-21,""contact_support_volume_m3"":2.5000000000000007e-22,""expected_contact_support_volume_m3"":2.5e-22,""bulk_support_volume_relative_error"":0.0,""contact_support_volume_relative_error"":3.7615819226313205e-16,""contact_support_fraction_of_half_x"":0.2,""contact_support_face_aligned"":true}","[4.285714285714286e-10,1.2857142857142856e-09,4.285714285714286e-09,1.2857142857142857e-08,4.285714285714286e-08,1.2857142857142858e-07,4.285714285714286e-07,1.2857142857142856e-06,5.22e-06]","[23174.433030307635,58063.30050216742,131283.10884736874,198543.09970247466,217305.10079988523,219429.39383647728,220474.63629314146,220990.25970569812,221337.97330831355]","[23174.43303030763,58063.30050216742,131283.10884736874,198543.0997024747,217305.10079988523,219429.39383647733,220474.63629314146,220990.25970569812,221337.97330831355]",,"[0.027195245302157146,0.07368820972242118,0.1782716639184116,0.2745276171057027,0.2999921613535915,0.3022712492458195,0.3033305876992075,0.3038482550099104,0.3041963795266723]",,3.8388145398104384e-13
