structure,geometry,transition_width,pulse,seed,finite_result,interface_bc_residual,current_continuity_error,energy_balance_error,max_delta_T,max_m,conductance_ratio,mean_abs_power
pcm_only,uniform_crossbar,0.2,short_pulse,2026,True,0.0,0.0,1.3028756597474435e-05,0.019669596708922654,0.07000000002131064,16.077038094328746,2.694482067426562e-10
pcm_only,uniform_crossbar,0.2,short_pulse,2027,True,0.0,0.0,1.3028761382037417e-05,0.01998192601286064,0.070000000021314,16.077038094183667,2.7017806991995826e-10
pcm_only,uniform_crossbar,0.2,ltp_ltd,2026,True,0.0,0.0,6.612169537581764e-06,0.06913364569868463,0.07000000002126103,16.07703801342628,9.519033675273833e-10
pcm_only,uniform_crossbar,0.2,ltp_ltd,2027,True,0.0,0.0,6.612358313240397e-06,0.06994626540989657,0.07000000002126336,16.077038013022165,9.544349935990065e-10
pcm_only,uniform_crossbar,0.1,short_pulse,2026,True,0.0,0.0,1.3028757951241909e-05,0.01966959674194868,0.07,16.077038657746094,2.6944820719401386e-10
pcm_only,uniform_crossbar,0.1,short_pulse,2027,True,0.0,0.0,1.3028761436714937e-05,0.019981926046511944,0.07,16.07703865774609,2.701780703725727e-10
pcm_only,uniform_crossbar,0.1,ltp_ltd,2026,True,0.0,0.0,6.61216959381418e-06,0.06913364674983313,0.07,16.077038657746094,9.51903381985153e-10
pcm_only,uniform_crossbar,0.1,ltp_ltd,2027,True,0.0,0.0,6.61235827699153e-06,0.06994626647735913,0.07,16.077038657746087,9.544350080999769e-10
pcm_only,uniform_crossbar,0.05,short_pulse,2026,True,0.0,0.0,1.3028757951241909e-05,0.01966959674194868,0.07,16.077038657746094,2.6944820719401386e-10
pcm_only,uniform_crossbar,0.05,short_pulse,2027,True,0.0,0.0,1.3028761436714937e-05,0.019981926046511944,0.07,16.07703865774609,2.701780703725727e-10
pcm_only,uniform_crossbar,0.05,ltp_ltd,2026,True,0.0,0.0,6.61216959381418e-06,0.06913364674983313,0.07,16.077038657746094,9.51903381985153e-10
pcm_only,uniform_crossbar,0.05,ltp_ltd,2027,True,0.0,0.0,6.61235827699153e-06,0.06994626647735913,0.07,16.077038657746087,9.544350080999769e-10
pcm_only,localized_filament,0.2,short_pulse,2026,True,0.0,0.0,1.302884361741763e-05,0.04720219603603937,0.07000000002155381,16.077038074014574,2.8022237987023604e-10
pcm_only,localized_filament,0.2,short_pulse,2027,True,0.0,0.0,1.3028853003168082e-05,0.04742634268842494,0.07000000002155542,16.07703807381916,2.811779489233762e-10
pcm_only,localized_filament,0.2,ltp_ltd,2026,True,0.0,0.0,6.614954868248443e-06,0.15138902581259117,0.07000000002142921,16.07703794409017,9.892498604825547e-10
pcm_only,localized_filament,0.2,ltp_ltd,2027,True,0.0,0.0,6.615202390996674e-06,0.15197189063150063,0.07000000002143032,16.077037943426962,9.925595461862583e-10
pcm_only,localized_filament,0.1,short_pulse,2026,True,0.0,0.0,1.3028843940786327e-05,0.04720219611516541,0.07,16.07703865774609,2.802223803468666e-10
pcm_only,localized_filament,0.1,short_pulse,2027,True,0.0,0.0,1.3028851611272129e-05,0.047426342767835195,0.07,16.07703865774609,2.811779494016891e-10
pcm_only,localized_filament,0.1,ltp_ltd,2026,True,0.0,0.0,6.614955568875114e-06,0.1513890280606347,0.07,16.07703865774609,9.89249876656838e-10
pcm_only,localized_filament,0.1,ltp_ltd,2027,True,0.0,0.0,6.615202080114732e-06,0.15197189288778645,0.07,16.077038657746087,9.925595624229973e-10
pcm_only,localized_filament,0.05,short_pulse,2026,True,0.0,0.0,1.3028843940786327e-05,0.04720219611516541,0.07,16.07703865774609,2.802223803468666e-10
pcm_only,localized_filament,0.05,short_pulse,2027,True,0.0,0.0,1.3028851611272129e-05,0.047426342767835195,0.07,16.07703865774609,2.811779494016891e-10
pcm_only,localized_filament,0.05,ltp_ltd,2026,True,0.0,0.0,6.614955568875114e-06,0.1513890280606347,0.07,16.07703865774609,9.89249876656838e-10
pcm_only,localized_filament,0.05,ltp_ltd,2027,True,0.0,0.0,6.615202080114732e-06,0.15197189288778645,0.07,16.077038657746087,9.925595624229973e-10
pcm_only,edge_hotspot,0.2,short_pulse,2026,True,0.0,0.0,1.3029461306313065e-05,0.06448580502427603,0.07000000002168927,16.07703805565938,3.5630510489268024e-10
pcm_only,edge_hotspot,0.2,short_pulse,2027,True,0.0,0.0,1.3029466750561634e-05,0.06541448958995488,0.07000000002169918,16.077038055200745,3.5706751243651805e-10
pcm_only,edge_hotspot,0.2,ltp_ltd,2026,True,0.0,0.0,6.634568384986394e-06,0.21376366873943198,0.07000000002152265,16.077037884308975,1.2514504782430865e-09
pcm_only,edge_hotspot,0.2,ltp_ltd,2027,True,0.0,0.0,6.634764559117301e-06,0.21608022771874857,0.07000000002152948,16.07703788238179,1.254064503787471e-09
pcm_only,edge_hotspot,0.1,short_pulse,2026,True,0.0,0.0,1.302946095740768e-05,0.06448580512937951,0.07,16.077038657746087,3.5630510550358693e-10
pcm_only,edge_hotspot,0.1,short_pulse,2027,True,0.0,0.0,1.3029467301776922e-05,0.06541448969659314,0.07,16.077038657746087,3.570675130489265e-10
pcm_only,edge_hotspot,0.1,ltp_ltd,2026,True,0.0,0.0,6.634568405380181e-06,0.21376367142312347,0.07,16.077038657746087,1.2514504996171552e-09
pcm_only,edge_hotspot,0.1,ltp_ltd,2027,True,0.0,0.0,6.634764531376607e-06,0.21608023041892466,0.07,16.077038657746087,1.254064525242154e-09
pcm_only,edge_hotspot,0.05,short_pulse,2026,True,0.0,0.0,1.302946095740768e-05,0.06448580512937951,0.07,16.077038657746087,3.5630510550358693e-10
pcm_only,edge_hotspot,0.05,short_pulse,2027,True,0.0,0.0,1.3029467301776922e-05,0.06541448969659314,0.07,16.077038657746087,3.570675130489265e-10
pcm_only,edge_hotspot,0.05,ltp_ltd,2026,True,0.0,0.0,6.634568405380181e-06,0.21376367142312347,0.07,16.077038657746087,1.2514504996171552e-09
pcm_only,edge_hotspot,0.05,ltp_ltd,2027,True,0.0,0.0,6.634764531376607e-06,0.21608023041892466,0.07,16.077038657746087,1.254064525242154e-09
pcm_plus_electrodes,uniform_crossbar,0.2,short_pulse,2026,True,0.0,0.0,28789.396224978776,180.0,0.5145364079237,8.117491921864104,1.1013287924180237e-10
pcm_plus_electrodes,uniform_crossbar,0.2,short_pulse,2027,True,0.0,0.0,28711.438029936853,180.0,0.5145364079237,8.117538458634856,1.1043190506717843e-10
pcm_plus_electrodes,uniform_crossbar,0.2,ltp_ltd,2026,True,0.0,0.0,30737.101337186872,180.0,0.5145364079237522,8.117491921729219,1.0315436194275416e-10
pcm_plus_electrodes,uniform_crossbar,0.2,ltp_ltd,2027,True,0.0,0.0,30653.84754945558,180.0,0.514536407923752,8.117538458500755,1.0343451311097916e-10
pcm_plus_electrodes,uniform_crossbar,0.1,short_pulse,2026,True,0.0,0.0,28789.396220370607,180.0,0.5145364079228087,8.117491924299403,1.1013287925943017e-10
pcm_plus_electrodes,uniform_crossbar,0.1,short_pulse,2027,True,0.0,0.0,28711.438025341857,180.0,0.5145364079228087,8.117538461069563,1.1043190508485141e-10
pcm_plus_electrodes,uniform_crossbar,0.1,ltp_ltd,2026,True,0.0,0.0,30737.101333295734,180.0,0.5145364079228087,8.117491924299403,1.0315436195581249e-10
pcm_plus_electrodes,uniform_crossbar,0.1,ltp_ltd,2027,True,0.0,0.0,30653.847545576322,180.0,0.5145364079228087,8.117538461069564,1.0343451312406842e-10
pcm_plus_electrodes,uniform_crossbar,0.05,short_pulse,2026,True,0.0,0.0,28789.396220370607,180.0,0.5145364079228087,8.117491924299403,1.1013287925943017e-10
pcm_plus_electrodes,uniform_crossbar,0.05,short_pulse,2027,True,0.0,0.0,28711.438025341857,180.0,0.5145364079228087,8.117538461069563,1.1043190508485141e-10
pcm_plus_electrodes,uniform_crossbar,0.05,ltp_ltd,2026,True,0.0,0.0,30737.101333295734,180.0,0.5145364079228087,8.117491924299403,1.0315436195581249e-10
pcm_plus_electrodes,uniform_crossbar,0.05,ltp_ltd,2027,True,0.0,0.0,30653.847545576322,180.0,0.5145364079228087,8.117538461069564,1.0343451312406842e-10
pcm_plus_electrodes,localized_filament,0.2,short_pulse,2026,True,0.0,0.0,27673.713803616647,180.0,0.5145364079237862,8.111621530366511,1.145727920898991e-10
pcm_plus_electrodes,localized_filament,0.2,short_pulse,2027,True,0.0,0.0,27579.460841243817,180.0,0.5145364079237853,8.111713355030856,1.1496433105380395e-10
pcm_plus_electrodes,localized_filament,0.2,ltp_ltd,2026,True,0.0,0.0,29542.04873994876,180.0,0.5145364079238917,8.111621530248836,1.0732708254587302e-10
pcm_plus_electrodes,localized_filament,0.2,ltp_ltd,2027,True,0.0,0.0,29441.422356181673,180.0,0.5145364079238904,8.111713354913626,1.0769389802274546e-10
pcm_plus_electrodes,localized_filament,0.1,short_pulse,2026,True,0.0,0.0,27673.713799126792,180.0,0.5145364079228087,8.111621532850513,1.1457279210848701e-10
pcm_plus_electrodes,localized_filament,0.1,short_pulse,2027,True,0.0,0.0,27579.460836770362,180.0,0.5145364079228087,8.111713357513883,1.1496433107245076e-10
pcm_plus_electrodes,localized_filament,0.1,ltp_ltd,2026,True,0.0,0.0,29542.04873617655,180.0,0.5145364079228087,8.111621532850513,1.0732708255957711e-10
pcm_plus_electrodes,localized_filament,0.1,ltp_ltd,2027,True,0.0,0.0,29441.42235242367,180.0,0.5145364079228087,8.111713357513885,1.0769389803649142e-10
pcm_plus_electrodes,localized_filament,0.05,short_pulse,2026,True,0.0,0.0,27673.713799126792,180.0,0.5145364079228087,8.111621532850513,1.1457279210848701e-10
pcm_plus_electrodes,localized_filament,0.05,short_pulse,2027,True,0.0,0.0,27579.460836770362,180.0,0.5145364079228087,8.111713357513883,1.1496433107245076e-10
pcm_plus_electrodes,localized_filament,0.05,ltp_ltd,2026,True,0.0,0.0,29542.04873617655,180.0,0.5145364079228087,8.111621532850513,1.0732708255957711e-10
pcm_plus_electrodes,localized_filament,0.05,ltp_ltd,2027,True,0.0,0.0,29441.42235242367,180.0,0.5145364079228087,8.111713357513885,1.0769389803649142e-10
pcm_plus_electrodes,edge_hotspot,0.2,short_pulse,2026,True,0.0,0.0,21750.771181199732,180.0,0.5145364079237026,8.117852437918812,1.457706227394373e-10
pcm_plus_electrodes,edge_hotspot,0.2,short_pulse,2027,True,0.0,0.0,21704.133136885466,180.0,0.5145364079237024,8.117834603415723,1.460838415858809e-10
pcm_plus_electrodes,edge_hotspot,0.2,ltp_ltd,2026,True,0.0,0.0,23218.124679980025,180.0,0.5145364079237578,8.117852437840408,1.3655851693251505e-10
pcm_plus_electrodes,edge_hotspot,0.2,ltp_ltd,2027,True,0.0,0.0,23168.294795143825,180.0,0.5145364079237572,8.117834603337668,1.368522114636743e-10
pcm_plus_electrodes,edge_hotspot,0.1,short_pulse,2026,True,0.0,0.0,21750.771177726172,180.0,0.5145364079228087,8.11785244034219,1.4577062276271555e-10
pcm_plus_electrodes,edge_hotspot,0.1,short_pulse,2027,True,0.0,0.0,21704.133133419404,180.0,0.5145364079228087,8.117834605838976,1.4608384160920884e-10
pcm_plus_electrodes,edge_hotspot,0.1,ltp_ltd,2026,True,0.0,0.0,23218.124677090764,180.0,0.5145364079228087,8.117852440342189,1.3655851694950766e-10
pcm_plus_electrodes,edge_hotspot,0.1,ltp_ltd,2027,True,0.0,0.0,23168.294792261087,180.0,0.5145364079228087,8.117834605838974,1.368522114807015e-10
pcm_plus_electrodes,edge_hotspot,0.05,short_pulse,2026,True,0.0,0.0,21750.771177726172,180.0,0.5145364079228087,8.11785244034219,1.4577062276271555e-10
pcm_plus_electrodes,edge_hotspot,0.05,short_pulse,2027,True,0.0,0.0,21704.133133419404,180.0,0.5145364079228087,8.117834605838976,1.4608384160920884e-10
pcm_plus_electrodes,edge_hotspot,0.05,ltp_ltd,2026,True,0.0,0.0,23218.124677090764,180.0,0.5145364079228087,8.117852440342189,1.3655851694950766e-10
pcm_plus_electrodes,edge_hotspot,0.05,ltp_ltd,2027,True,0.0,0.0,23168.294792261087,180.0,0.5145364079228087,8.117834605838974,1.368522114807015e-10
pcm_plus_electrodes_substrate,uniform_crossbar,0.2,short_pulse,2026,True,0.0,0.0,35111111168.67801,180.0,0.5079128773199403,1.000000000002096,8.307692293834705e-17
