material_family,structure,geometry,pulse,seed,finite_result,activated,max_delta_T,delta_m,conductance_ratio,hysteresis_area,Vth,Vhold,Vth_gt_Vhold,energy_balance_error,current_convergence_error,used_coupled_yz_lateral_conduction,used_snse_low_k_high_sigma_prior,used_material_family_specific_kernel,used_independent_interface_map
vo2,pcm_plus_electrodes,uniform_crossbar,activation_triangle,2026,True,True,8.4727860513986,0.7546407362576834,1.0985239547422392,4.6031385880863735e-06,0.0,0.0,True,4.605840918248921e-13,0.0,True,True,True,True
vo2,pcm_plus_electrodes,uniform_crossbar,minor_loop,2026,True,True,13.697742739891623,0.8331785587422095,1.0629572337145046,0.0001968188220712395,0.3915740378967478,0.016184253532988965,True,4.882402350941396e-13,1.3393908714781586e-16,True,True,True,True
vo2,pcm_plus_electrodes,uniform_crossbar,rc_oscillator,2026,True,True,10.487334285229224,0.8064747327861783,1.0629052090411197,1.889986360396529e-05,0.3426272831596543,0.3074013796872701,True,4.277507114609272e-13,0.0,True,True,True,True
vo2,pcm_plus_electrodes,localized_filament,activation_triangle,2026,True,True,8.4834905977404,0.7550228904162442,1.1341094543602595,6.352267365393482e-06,0.0,0.0,True,4.618660757704751e-13,0.0,True,True,True,True
vo2,pcm_plus_electrodes,localized_filament,minor_loop,2026,True,True,15.001600748290514,0.8354024024753198,1.0856163116907778,0.0002044218595910614,0.3997224138094431,0.016200985397479897,True,4.918865197158572e-13,1.342871885877314e-16,True,True,True,True
vo2,pcm_plus_electrodes,localized_filament,rc_oscillator,2026,True,True,11.485600572909846,0.8097676915108449,1.0855414918442492,2.4656758303009715e-05,0.3497571120832627,0.3076344029917575,True,4.2364876105419675e-13,0.0,True,True,True,True
vo2,pcm_plus_electrodes,edge_hotspot,activation_triangle,2026,True,True,8.48884206885026,0.7551472719417722,1.1508760391889092,7.1184681556056695e-06,0.0,0.0,True,4.637419463929301e-13,0.0,True,True,True,True
vo2,pcm_plus_electrodes,edge_hotspot,minor_loop,2026,True,True,15.279470172526999,0.8395454418207282,1.0962187461089865,0.00020797199330220545,0.40352570912052727,0.016208518249900616,True,4.88808124773204e-13,1.3413969988425818e-16,True,True,True,True
vo2,pcm_plus_electrodes,edge_hotspot,rc_oscillator,2026,True,True,11.698344350840898,0.8119857011717184,1.0961335873219036,2.7252486244567925e-05,0.35308499548046135,0.3077377489790735,True,4.2302446127698004e-13,0.0,True,True,True,True
vo2,full_stack_with_SnSe_barrier,uniform_crossbar,activation_triangle,2026,True,True,10.298071322562919,0.9157803901227506,1.0684499090916144,6.922365583056806e-06,0.0,0.0,True,1.2165610278844602e-13,0.0,True,True,True,True
vo2,full_stack_with_SnSe_barrier,uniform_crossbar,minor_loop,2026,True,False,8.37498766281459,0.7831174679503179,1.0386918003072374,0.00028889770210596336,0.6042928014148677,0.025525239989800788,True,1.745419405895089e-13,1.3777228766158364e-16,True,True,True,True
vo2,full_stack_with_SnSe_barrier,uniform_crossbar,rc_oscillator,2026,True,False,9.288928782569826,0.9338002112818435,1.038846917789132,2.000212513100538e-05,0.5287562012380093,0.48512628066451374,True,9.837185116113751e-14,1.115539348497912e-16,True,True,True,True
vo2,full_stack_with_SnSe_barrier,localized_filament,activation_triangle,2026,True,True,10.321824471402067,0.9161158834508021,1.0931625355140218,9.54862271678966e-06,0.0,0.0,True,1.185408154088167e-13,0.0,True,True,True,True
vo2,full_stack_with_SnSe_barrier,localized_filament,minor_loop,2026,True,True,8.390594110109589,0.783858669570448,1.0528825218801794,0.00029590535234610884,0.6121316831459218,0.025534373552236967,True,1.732959243668952e-13,1.3785511499010273e-16,True,True,True,True
vo2,full_stack_with_SnSe_barrier,localized_filament,rc_oscillator,2026,True,True,9.308928478050234,0.9427723819030092,1.0529280380677897,2.5452669050510245e-05,0.5356152227526816,0.4853364231270996,True,1.0055508953678969e-13,1.1163515371170318e-16,True,True,True,True
vo2,full_stack_with_SnSe_barrier,edge_hotspot,activation_triangle,2026,True,True,10.327353486740378,0.9163799090016308,1.1047203655361297,1.06984928301538e-05,0.0,0.0,True,1.1621875108303155e-13,0.0,True,True,True,True
vo2,full_stack_with_SnSe_barrier,edge_hotspot,minor_loop,2026,True,True,8.401285140223592,0.7854622818324786,1.059342578159025,0.00029909481940995294,0.6156987816630198,0.025538614230936698,True,1.8538461620992264e-13,1.378312077145673e-16,True,True,True,True
vo2,full_stack_with_SnSe_barrier,edge_hotspot,rc_oscillator,2026,True,True,9.319880396897645,0.9459444286329459,1.05934825246866,2.7934484366889554e-05,0.5387364339551424,0.4854313779165524,True,1.0156756781344958e-13,1.116121149760721e-16,True,True,True,True
nbo2,pcm_plus_electrodes,uniform_crossbar,activation_triangle,2026,True,True,38.23444898491596,0.6986188699235681,12.107215920921412,3.079080577412769e-06,0.45298055729806386,0.17202023290516053,True,1.2191150732881656e-13,0.0,True,True,True,True
nbo2,pcm_plus_electrodes,uniform_crossbar,minor_loop,2026,True,True,36.53117778618832,0.41690851859932293,3.147205790767099,1.470820393522402e-05,0.4611379156326568,0.16750921714444625,True,1.3939122462180844e-13,0.0,True,True,True,True
nbo2,pcm_plus_electrodes,uniform_crossbar,rc_oscillator,2026,True,True,54.63253599592662,0.9631207009067716,3.916289262993096,1.2129984718901298e-05,0.4747880915610043,0.31188779545714657,True,6.137439692545093e-14,0.0,True,True,True,True
nbo2,pcm_plus_electrodes,localized_filament,activation_triangle,2026,True,True,104.3137600240442,0.9491823148173192,16.111553290624993,3.8134234793595303e-06,0.45375092022516395,0.18652490533396288,True,9.459879625757477e-14,0.0,True,True,True,True
nbo2,pcm_plus_electrodes,localized_filament,minor_loop,2026,True,True,107.12271872230963,0.903259671869686,3.755595976432887,1.655621994995691e-05,0.44486045757906884,0.135893276470166,True,1.0724596625340894e-13,1.6531434490548063e-16,True,True,True,True
nbo2,pcm_plus_electrodes,localized_filament,rc_oscillator,2026,True,True,136.52151738363227,0.9768431628929136,4.864096849312645,1.3313363793522517e-05,0.4614988805864592,0.2819633509681024,True,4.9047931162373275e-14,1.5146645778889952e-16,True,True,True,True
nbo2,pcm_plus_electrodes,edge_hotspot,activation_triangle,2026,True,True,153.36010038490798,0.9599177496394738,17.383577574359578,4.1454030645643715e-06,0.4945605956721914,0.16685160312126293,True,1.0627230042863093e-13,0.0,True,True,True,True
nbo2,pcm_plus_electrodes,edge_hotspot,minor_loop,2026,True,True,153.1752731624117,0.9675102785336182,3.710385932903659,1.667889979573262e-05,0.4934843334996082,0.1481494397943013,True,1.2151679453105243e-13,1.2218527276260276e-16,True,True,True,True
nbo2,pcm_plus_electrodes,edge_hotspot,rc_oscillator,2026,True,True,211.35873800246793,0.9768712483671004,5.007534659870356,1.3593826729082206e-05,0.5102720404142719,0.30263965253920644,True,5.189356323094477e-14,1.64732504410729e-16,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,uniform_crossbar,activation_triangle,2026,True,False,22.27948632622423,0.02943582776293246,9.808271391910257,1.379844443449665e-06,0.3910875109974547,0.25548170688083094,True,6.278887400965177e-14,0.0,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,uniform_crossbar,minor_loop,2026,True,False,18.612738435345534,-0.003945268377691501,2.977716309068279,1.3263040010902823e-05,0.477216165048781,0.477216165048781,True,7.402941374076739e-14,0.0,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,uniform_crossbar,rc_oscillator,2026,True,True,38.848551345679596,0.8900978402321496,3.299850093330332,1.1012543998919024e-05,0.4903842030960982,0.34272466116368827,True,2.9746600874915784e-14,1.1687603268337206e-16,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,localized_filament,activation_triangle,2026,True,True,53.65203288099826,0.8873720568307538,11.827151394241064,2.9106873037592445e-06,0.4370913560828959,0.17722685761903456,True,4.663955788567264e-14,0.0,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,localized_filament,minor_loop,2026,True,True,53.51506232922634,0.689128829847822,2.94715500933022,1.4645310329471463e-05,0.481877406082335,0.17649219088352341,True,5.817840720642116e-14,0.0,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,localized_filament,rc_oscillator,2026,True,True,78.83563288901183,0.9753864632459386,3.6992609887790486,1.2232793896932629e-05,0.4955353466638246,0.3222976567177321,True,2.256331920073343e-14,1.1745108404217539e-16,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,edge_hotspot,activation_triangle,2026,True,True,72.05595677115679,0.9409486957330727,12.632315972539988,2.9382141082285803e-06,0.4708360683679569,0.19345671893045363,True,5.404459121996174e-14,0.0,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,edge_hotspot,minor_loop,2026,True,True,68.77703598893191,0.8596857586422949,2.9458124190593193,1.4613885418235663e-05,0.5255804493911266,0.32424404294656534,True,6.599885684727893e-14,1.3685187317717127e-16,True,True,True,True
nbo2,full_stack_with_SnSe_barrier,edge_hotspot,rc_oscillator,2026,True,True,114.31588875834655,0.9756630086412839,3.6034606912549245,1.1969858256937836e-05,0.5402686495117596,0.3579656521228044,True,2.594097092762622e-14,1.2727790038371605e-16,True,True,True,True
generic,pcm_plus_electrodes,uniform_crossbar,activation_triangle,2026,True,True,16.50530556617315,0.42852925360031174,2.8391467127848498,7.148086865168697e-06,0.09978092897901594,0.0,True,2.304607608641738e-13,0.0,True,True,True,True
generic,pcm_plus_electrodes,uniform_crossbar,minor_loop,2026,True,True,12.944212008368652,0.23162368844430295,2.628300020166901,1.8171373978960253e-05,0.10168881335328744,0.011787391916010477,True,3.2526356851341515e-13,1.2476291673626806e-16,True,True,True,True
generic,pcm_plus_electrodes,uniform_crossbar,rc_oscillator,2026,True,True,13.323073313863574,0.2842165492062419,2.707787054017085,1.3538458481661356e-05,0.10722264652725928,0.053069793651168894,True,2.2453509113138866e-13,0.0,True,True,True,True
generic,pcm_plus_electrodes,localized_filament,activation_triangle,2026,True,True,17.219727257175578,0.4922811012388446,3.059441296617418,8.817195371905576e-06,0.11179993969853336,0.0,True,2.303885188295959e-13,0.0,True,True,True,True
generic,pcm_plus_electrodes,localized_filament,minor_loop,2026,True,True,22.70712814159532,0.4034467262230844,2.710084105135574,2.0106263497937127e-05,0.11156865440980979,0.012856095127235512,True,3.226865175238797e-13,0.0,True,True,True,True
generic,pcm_plus_electrodes,localized_filament,rc_oscillator,2026,True,True,20.689759319098073,0.4015680697032006,2.8526953761331226,1.5426142361666314e-05,0.11540568906392316,0.056457508839374934,True,2.2561441419165163e-13,0.0,True,True,True,True
generic,pcm_plus_electrodes,edge_hotspot,activation_triangle,2026,True,True,18.51444127910753,0.5554209290974739,3.3605501237045097,1.0392267756547564e-05,0.12136239455276003,0.0,True,2.277744562013102e-13,0.0,True,True,True,True
