M_true,M_estimated,relative_error_M,noise_level,seed,finite_result,success_le_0p1,objective_value
0.5,0.5089437387967174,0.017887477593434786,0.0,2026,True,True,2.5541691520778812e-06
0.5,0.508820600552204,0.017641201104408033,0.0,2027,True,True,2.5506283832988183e-06
0.5,0.5088448521446357,0.017689704289271413,0.0,2028,True,True,2.532822185856472e-06
0.5,0.5126205858655483,0.025241171731096523,0.01,2026,True,True,0.03563773455906294
0.5,0.5117923560306642,0.023584712061328394,0.01,2027,True,True,0.03759622560339555
0.5,0.4949093807495334,0.01018123850093322,0.01,2028,True,True,0.03683650272635413
0.5,0.4965755638202191,0.006848872359561775,0.03,2026,True,True,0.3207228601159768
0.5,0.49096929255104227,0.018061414897915462,0.03,2027,True,True,0.33834054778426464
0.5,0.44261239383528805,0.11477521232942389,0.03,2028,True,False,0.331469077212363
1.0,1.043091313126897,0.04309131312689707,0.0,2026,True,True,5.842107970350804e-06
1.0,1.0433111024268769,0.04331110242687686,0.0,2027,True,True,5.809598557999236e-06
1.0,1.0426682077985492,0.042668207798549185,0.0,2028,True,True,5.3362682862204916e-06
1.0,1.0333006836291885,0.03330068362918848,0.01,2026,True,True,0.03519424369701722
1.0,1.0340656794591505,0.03406567945915051,0.01,2027,True,True,0.03713416672779421
1.0,1.0120864232823503,0.012086423282350323,0.01,2028,True,True,0.03637454759330615
1.0,0.9294958291645926,0.07050417083540739,0.03,2026,True,True,0.31660922966673344
1.0,0.9257454558409708,0.07425454415902921,0.03,2027,True,True,0.3340550803364228
1.0,0.8634557247016884,0.1365442752983116,0.03,2028,True,False,0.32718024161126674
2.0,2.1791567125886595,0.08957835629432975,0.0,2026,True,True,6.383971157094451e-05
2.0,2.182348920149218,0.09117446007460894,0.0,2027,True,True,6.35305992636136e-05
2.0,2.1769979444724967,0.08849897223624836,0.0,2028,True,True,5.860308585088026e-05
2.0,2.1124739268033426,0.05623696340167128,0.01,2026,True,True,0.03466408575998245
2.0,2.1210971815519333,0.06054859077596664,0.01,2027,True,True,0.036600730908947214
2.0,2.0919385423461025,0.045969271173051274,0.01,2028,True,True,0.03580585253591919
2.0,1.7005549075282733,0.14972254623586334,0.03,2026,True,False,0.310631402769456
2.0,1.7039479025481437,0.14802604872592817,0.03,2027,True,False,0.32795060412659005
2.0,1.6227997306301711,0.18860013468491443,0.03,2028,True,False,0.3208753521842421
