call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0019866227850793105,0.07481376943385959,752405.1312075072,328.07298472551804,328.07361208008183,328.0696388345117,328.07026618907526,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.0019046999950660393,0.001720600004773587,0.0,0.0,3.55724122833129e-05,3.5545189350727446e-05,4.216750857528021,4.219980333201691,0.0032294756736694907,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.003899900009855628,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0019866227850793105,0.07481376943385959,752405.1312075072,328.07298472551804,328.07361208008183,328.0696388345117,328.07026618907526,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.0016491999995196238,0.0031153000018093735,0.0,0.0,3.55724122833129e-05,3.5545189350727446e-05,4.216750857528021,4.219980333201691,0.0032294756736694907,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.00500560000364203,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009933113925396553,0.07481376943385959,752405.1385017808,328.0723050914073,328.0726187686893,328.0706321459042,328.070945823186,2,sparse_direct,not_applicable,1.1616451848058975e-16,7.744301232039318e-17,0.0019060000049648806,0.0017331999988527969,0.0,0.0,3.5565602435374124e-05,3.5551990970314826e-05,4.217558250912898,4.2191729887996114,0.0016147378867135131,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.00390029999834951,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003973245570158621,0.07481376943385959,752405.1046509697,328.0743439937394,328.0755987028669,328.0676522117266,328.0689069208539,2,sparse_direct,not_applicable,1.9360753080098294e-16,9.680376540049147e-17,0.0016713000077288598,0.0029538999951910228,0.015625,0.0,3.5586040216180424e-05,3.553159433127467e-05,4.21513602212469,4.221594972673968,0.006458950549277809,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.004865099996095523,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0019866227850793105,0.037406884716929795,376202.5656037536,328.0696388345117,328.07026618907526,328.07298472551804,328.07361208008183,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.7424677772088464e-16,0.002563899994129315,0.002646800014190376,0.0,0.0,3.5545189350727446e-05,3.55724122833129e-05,4.219980333201691,4.216750857528021,0.0032294756736694907,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.005515999990166165,0.0,,
6,fixed_probe_b,central_difference,1.0,0.0019866227850793105,0.14912599030805507,2965302.563020181,328.06977921068386,328.0736120800817,328.0696388345116,328.07347170390966,2,sparse_direct,not_applicable,1.3552527156068805e-16,9.680376540049147e-17,0.0026339000032749027,0.00167420000070706,0.0,0.0,3.5559367102333927e-05,3.5558224969874565e-05,4.218297799517213,4.218433291512221,0.00013549199500761944,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00458329998946283,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0019866227850793105,0.20031435886806426,3103936.6992730917,328.07099296836174,328.0736120800817,328.0696388345116,328.0722579462318,2,sparse_direct,not_applicable,1.3552527156068805e-16,1.1616451848058975e-16,0.0016376999992644414,0.0016386000061174855,0.015625,0.0,3.556430534143967e-05,3.5553287800434644e-05,4.217712072818681,4.219019091622975,0.0013070188042938469,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.0035017000045627356,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.003973245570158621,0.07481376943385959,752405.1046509697,328.0743439937394,328.0755987028669,328.0676522117266,328.0689069208539,2,sparse_direct,not_applicable,1.9360753080098294e-16,9.680376540049147e-17,0.0017782000068109483,0.0016714000084903091,0.0,0.0,3.5586040216180424e-05,3.553159433127467e-05,4.21513602212469,4.221594972673968,0.006458950549277809,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0037090999976499006,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0019866227850793105,0.07481376943385959,752405.1312075072,328.07298472551804,328.07361208008183,328.0696388345117,328.07026618907526,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.00163790000078734,0.0016418000013800338,0.015625,0.0,3.55724122833129e-05,3.5545189350727446e-05,4.216750857528021,4.219980333201691,0.0032294756736694907,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0035041999944951385,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0009933113925396553,0.07481376943385959,752405.1385017808,328.0723050914073,328.0726187686893,328.0706321459042,328.070945823186,2,sparse_direct,not_applicable,1.1616451848058975e-16,7.744301232039318e-17,0.0037900000024819747,0.0021087999921292067,0.0,0.0,3.5565602435374124e-05,3.5551990970314826e-05,4.217558250912898,4.2191729887996114,0.0016147378867135131,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006204499994055368,0.0,,
