call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0019866227850793105,0.07481376943385959,752405.1312075072,328.07298472551804,328.07361208008183,328.0696388345117,328.07026618907526,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.0033510000066598877,0.0029808999970555305,0.0,0.0,3.55724122833129e-05,3.5545189350727446e-05,4.216750857528021,4.219980333201691,0.0032294756736694907,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006668799993349239,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0009933113925396553,0.07481376943385959,752405.1385017808,328.0723050914073,328.0726187686893,328.0706321459042,328.070945823186,2,sparse_direct,not_applicable,1.1616451848058975e-16,7.744301232039318e-17,0.001755999997840263,0.0016523999947821721,0.0,0.015625,3.5565602435374124e-05,3.5551990970314826e-05,4.217558250912898,4.2191729887996114,0.0016147378867135131,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0036598000006051734,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.07481376943385959,752405.1312075072,328.07298472551804,328.07361208008183,328.0696388345117,328.07026618907526,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.0017264000052819028,0.0016575000045122579,0.0,0.0,3.55724122833129e-05,3.5545189350727446e-05,4.216750857528021,4.219980333201691,0.0032294756736694907,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.003622100004577078,0.0,,
4,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.11178085665428186,28285991.605994657,328.06965411577636,328.07361208008183,328.0696388345117,328.07359679881705,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.3552527156068805e-16,0.0016235999937634915,0.0015864000015426427,0.0,0.0,3.555885535372909e-05,3.5558735588699755e-05,4.218358507545979,4.218372715357985,1.4207812006006293e-05,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.0034346000029472634,0.0,,
5,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.14134317179332462,4595598.118481446,328.0696388345114,328.0735773844169,328.06967353017626,328.07361208008155,2,sparse_direct,not_applicable,2.5168979004127783e-16,1.5488602464078636e-16,0.0033878999965963885,0.0017369999986840412,0.0,0.0,3.555866569928882e-05,3.555892726904592e-05,4.218381006433546,4.218349976225946,3.1030207599869186e-05,0.0,0.0,0.0,True,0.005379399997764267,0.0,,
6,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.20667956041271277,13103210.271337703,328.0696388345116,328.0735779335373,328.0696729810562,328.0736120800817,2,sparse_direct,not_applicable,2.1296828388108122e-16,1.7424677772088464e-16,0.001662199996644631,0.001619400005438365,0.0,0.015625,3.555866557731394e-05,3.555892561057641e-05,4.21838102090362,4.218350172969933,3.084793368746119e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0035147000016877428,0.015625,,
7,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.3463198436248084,43479285.79630073,328.06963883451164,328.07360077520514,328.0696501393884,328.0736120800818,2,sparse_direct,not_applicable,9.680376540049147e-17,1.1616451848058975e-16,0.0015959000011207536,0.0015970999957062304,0.0,0.0,3.55587536676148e-05,3.5558837306562166e-05,4.218370570637091,4.2183606484883125,9.922148778152007e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.0034134999878006056,0.0,,
8,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.28058271456299205,90049315.73054112,328.06963883451164,328.0736016552199,328.06964925937365,328.0736120800818,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.7424677772088464e-16,0.0015916999982437119,0.0015877999976510182,0.0,0.0,3.555875785938439e-05,3.555883300675054e-05,4.218370073363323,4.218361158576935,8.914786387315132e-06,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.0034014999982900918,0.0,,
9,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.35451479982543194,65765026.33485544,328.0696388345116,328.0735985671139,328.0696523474795,328.0736120800817,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.5488602464078636e-16,0.003616399990278296,0.0019196000066585839,0.0,0.0,3.555874702029257e-05,3.5558843835888284e-05,4.218371359215734,4.2183598739116,1.148530413352944e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.005805199994938448,0.0,,
10,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.28307437357323895,80902569.86672619,328.06963883451147,328.07358974201236,328.0696611725813,328.0736120800816,2,sparse_direct,not_applicable,1.3552527156068805e-16,1.1616451848058975e-16,0.0017230000084964558,0.0016481000056955963,0.015625,0.0,3.555871559837815e-05,3.55588752344724e-05,4.218375086833608,4.21835614908829,1.89377453176931e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.00360700000601355,0.015625,,
11,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.32035069792231347,73151202.95694041,328.06963883451147,328.0735905993674,328.06966031522626,328.0736120800816,2,sparse_direct,not_applicable,1.9360753080098294e-16,9.680376540049147e-17,0.001635399996303022,0.0016032999992603436,0.0,0.0,3.5558718728542164e-05,3.555887211244123e-05,4.218374715498353,4.218356519455476,1.819604287689458e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.0034648000000743195,0.0,,
12,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.32301106045973993,72736385.18538825,328.0696388345115,328.07359282264355,328.0696580919503,328.07361208008166,2,sparse_direct,not_applicable,7.744301232039318e-17,1.3552527156068805e-16,0.001600000003236346,0.0016036000015446916,0.0,0.0,3.555872622493968e-05,3.5558864660692113e-05,4.218373826191645,4.218357403458235,1.6422733409626744e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0034248000010848045,0.0,,
13,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.3133215530561053,76494595.43345383,328.0696388345115,328.07359619917395,328.0696547154198,328.07361208008166,2,sparse_direct,not_applicable,1.3552527156068805e-16,1.7424677772088464e-16,0.0029325999930733815,0.002082099992549047,0.0,0.0,3.555873792484957e-05,3.5558852877961e-05,4.218372438217928,4.218358801247168,1.3636970759733913e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.005427199997939169,0.0,,
14,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.3482746891372881,70996163.18531558,328.0696388345117,328.0735978280752,328.06965308651866,328.07361208008183,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.0017248999938601628,0.0016376999992644414,0.015625,0.0,3.555874290849518e-05,3.555884790930465e-05,4.218371847002616,4.218359390680642,1.245632197388602e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0036026000016136095,0.015625,,
15,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.32246616879827344,77719148.66237268,328.0696388345117,328.07359795036666,328.0696529642272,328.07361208008183,2,sparse_direct,not_applicable,1.5488602464078636e-16,7.744301232039318e-17,0.0016392999968957156,0.0016410999960498884,0.0,0.0,3.55587428897284e-05,3.5558847961157705e-05,4.218371849228939,4.218359384529295,1.246469964399921e-05,0.0,0.0,0.0,True,0.0035070000012638047,0.0,,
16,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.3446525727463195,70717287.46422656,328.0696388345117,328.0735954288966,328.0696554856971,328.07361208008183,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.3552527156068805e-16,0.0016085999959614128,0.0016092000005301088,0.0,0.0,3.555873245403012e-05,3.5558858404033944e-05,4.218373087227395,4.2183581456873585,1.4941540036339518e-05,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.0034402000019326806,0.0,,
17,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.2899869497851344,76272234.04733975,328.0696388345117,328.0735947514151,328.06965616317865,328.07361208008183,2,sparse_direct,not_applicable,1.7424677772088464e-16,2.1296828388108122e-16,0.0027033999940613285,0.0020120000117458403,0.0,0.0,3.555872937194806e-05,3.555886145156024e-05,4.218373452858345,4.218357784158422,1.5668699923310214e-05,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005345500001567416,0.0,,
18,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.3062247270518266,68720567.22694437,328.06963883451175,328.0735952870251,328.06965562756875,328.0736120800819,2,sparse_direct,not_applicable,1.3552527156068805e-16,2.5168979004127783e-16,0.0016892999992705882,0.0015943999896990135,0.015625,0.0,3.555873046968212e-05,3.5558860417411575e-05,4.21837332263288,4.218357906839774,1.5415793106043907e-05,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.0035164000000804663,0.015625,,
19,arpack_matvec,central_difference,1.0,0.0019866227850793105,0.2314356764358529,69939795.23510672,328.06963883451175,328.07359662852673,328.06965428606725,328.0736120800819,2,sparse_direct,not_applicable,1.7424677772088464e-16,1.1616451848058975e-16,0.0016155000048456714,0.0015931000089040026,0.0,0.0,3.555873497146342e-05,3.555885598581655e-05,4.2183727885814255,4.21835843256124,1.4356020185068985e-05,0.0,0.0,0.0,True,0.0034355999960098416,0.0,,
