call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0019900526720677664,0.07481376943385959,822081.6445592087,328.6393998849665,328.64002832265237,328.63604821730826,328.63667665499423,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.0648414194054061e-16,0.0017271999968215823,0.0016248000029008836,0.0,0.015625,4.088205572201801e-05,4.084609811409106e-05,4.280606660044973,4.284374960643515,0.0037683005985416074,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.0036010000039823353,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0019900526720677664,0.07481376943385959,822081.6445592087,328.6393998849665,328.64002832265237,328.63604821730826,328.63667665499423,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.0648414194054061e-16,0.00323210000351537,0.0023811999999452382,0.0,0.0,4.088205572201801e-05,4.084609811409106e-05,4.280606660044973,4.284374960643515,0.0037683005985416074,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.005958199995802715,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009950263360338832,0.07481376943385959,822081.65552746,328.63871907747347,328.63903329631637,328.63704324364426,328.6373574624873,2,sparse_direct,not_applicable,1.2342480088562662e-16,1.9360753080098294e-16,0.0018927999917650595,0.001727099996060133,0.0,0.0,4.087306072175673e-05,4.085508191946664e-05,4.281548700042605,4.283432850409143,0.0018841503665374404,3.872150616019659e-17,1.9360753080098294e-16,2.323290369611795e-16,True,0.00387590000173077,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003980105344135533,0.07481376943385959,822081.6025798708,328.64076149995265,328.6420183753244,328.6340581646362,328.6353150400081,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.0016691999917384237,0.0016278999974019825,0.0,0.0,4.090005692914473e-05,4.08281416865188e-05,4.278722650757431,4.286259250878026,0.007536600120594983,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.003526200001942925,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0019900526720677664,0.037406884716929795,411040.8222796043,328.63604821730826,328.63667665499423,328.6393998849665,328.64002832265237,2,sparse_direct,not_applicable,1.0648414194054061e-16,1.9360753080098294e-16,0.0016808999935165048,0.0021409000037238,0.0,0.0,4.084609811409106e-05,4.088205572201801e-05,4.284374960643515,4.280606660044973,0.0037683005985416074,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.004056500009028241,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.0019900526720677664,0.14912599030805507,2965360.7563160905,328.63618883583865,328.6400283226524,328.6360482173083,328.639887704122,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.5488602464078636e-16,0.0037912000116193667,0.0017334000003756955,0.0,0.0,4.0864824603901445e-05,4.086331600997366e-05,4.282411626533506,4.282569724818394,0.0001580982848885526,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.005833100003656,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0019900526720677664,0.20031435886806426,3166337.0360091957,328.63740468905866,328.6400283226524,328.6360482173083,328.63867185090197,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0016653999919071794,0.0016371000092476606,0.0,0.0,4.087134739472829e-05,4.085679479586891e-05,4.28172818257937,4.283253272175293,0.0015250895959235677,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.0035340000031283125,0.0,,
8,requalification_step_2h,central_difference,2.0,0.003980105344135533,0.07481376943385959,822081.6025798708,328.64076149995265,328.6420183753244,328.6340581646362,328.6353150400081,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.0017323999927612022,0.001906499994220212,0.0,0.0,4.090005692914473e-05,4.08281416865188e-05,4.278722650757431,4.286259250878026,0.007536600120594983,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.004037800012156367,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0019900526720677664,0.07481376943385959,822081.6445592087,328.6393998849665,328.64002832265237,328.63604821730826,328.63667665499423,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.0648414194054061e-16,0.002593700002762489,0.0017067000007955357,0.0,0.0,4.088205572201801e-05,4.084609811409106e-05,4.280606660044973,4.284374960643515,0.0037683005985416074,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.00454409999656491,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0009950263360338832,0.07481376943385959,822081.65552746,328.63871907747347,328.63903329631637,328.63704324364426,328.6373574624873,2,sparse_direct,not_applicable,1.2342480088562662e-16,1.9360753080098294e-16,0.001644000003580004,0.001597599999513477,0.0,0.0,4.087306072175673e-05,4.085508191946664e-05,4.281548700042605,4.283432850409143,0.0018841503665374404,3.872150616019659e-17,1.9360753080098294e-16,2.323290369611795e-16,True,0.0034663000114960596,0.0,,
11,requalification_step_0.25h,central_difference,0.25,0.0004975131680169416,0.07481376943385959,822081.6578562887,328.6383786737269,328.6385357831483,328.6375407568123,328.63769786623385,2,sparse_direct,not_applicable,1.5488602464078636e-16,8.470329472543003e-17,0.0016382999892812222,0.0016102000081446022,0.0,0.015625,4.086856462171899e-05,4.085957522078306e-05,4.282019728850444,4.282961804042127,0.0009420751916833225,3.872150616019659e-17,1.5488602464078636e-16,1.1616451848058975e-16,True,0.0034712000051513314,0.015625,,
