call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0019900526720677664,0.07481376943385959,822081.6445592087,328.6393998849665,328.64002832265237,328.63604821730826,328.63667665499423,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.0648414194054061e-16,0.005083700001705438,0.001745599991409108,0.0,0.0,4.088205572201801e-05,4.084609811409106e-05,4.280606660044973,4.284374960643515,0.0037683005985416074,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.007107299999915995,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0009950263360338832,0.07481376943385959,822081.65552746,328.63871907747347,328.63903329631637,328.63704324364426,328.6373574624873,2,sparse_direct,not_applicable,1.2342480088562662e-16,1.9360753080098294e-16,0.0016563999961363152,0.001644000003580004,0.015625,0.0,4.087306072175673e-05,4.085508191946664e-05,4.281548700042605,4.283432850409143,0.0018841503665374404,3.872150616019659e-17,1.9360753080098294e-16,2.323290369611795e-16,True,0.0035315000131959096,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.07481376943385959,822081.6445592087,328.6393998849665,328.64002832265237,328.63604821730826,328.63667665499423,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.0648414194054061e-16,0.0022376999986590818,0.0028114999877288938,0.0,0.0,4.088205572201801e-05,4.084609811409106e-05,4.280606660044973,4.284374960643515,0.0037683005985416074,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.005406800002674572,0.0,,
4,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.11448688815543666,28207472.06980447,328.6360602486722,328.64002832265237,328.63604821730826,328.6400162912884,2,sparse_direct,not_applicable,1.2100470675061434e-16,2.323290369611795e-16,0.004815099993720651,0.0018875000096159056,0.0,0.015625,4.086413047823734e-05,4.086400814671499e-05,4.282484368367957,4.282497188520848,1.282015289127969e-05,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00709840000490658,0.015625,,
5,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.13600426998155904,5083333.294365403,328.6360482173083,328.63998066077306,328.6360958791877,328.6400283226524,2,sparse_direct,not_applicable,1.3068508329066348e-16,1.5488602464078636e-16,0.0016673000063747168,0.001632300001801923,0.0,0.0,4.086382830166497e-05,4.0864314365571064e-05,4.282516036141179,4.282465097406375,5.093873480443989e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.0035322000039741397,0.0,,
6,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.19628384262814644,12140597.481104705,328.6360482173083,328.6399903291609,328.6360862107997,328.6400283226524,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.002975499999593012,0.0027067999908467755,0.0,0.0,4.086388559239794e-05,4.086425371114312e-05,4.282510032099245,4.2824714538290936,3.857827015174564e-05,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.005987600001390092,0.0,,
7,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.34576950909335624,43943051.843574494,328.6360482173083,328.64001714479997,328.63605939516077,328.6400283226524,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.004759999996167608,0.001717599996482022,0.015625,0.0,4.0864017045411456e-05,4.086412225609149e-05,4.282496255948739,4.282485230033622,1.1025915116924523e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006789799997932278,0.015625,,
8,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.28177308979622445,91001708.6889635,328.6360482173083,328.6400173347148,328.63605920524594,328.6400283226524,2,sparse_direct,not_applicable,1.6698649531584777e-16,8.228320059041775e-17,0.0016462999919895083,0.0022659999958705157,0.0,0.0,4.086401874561842e-05,4.086412033951517e-05,4.28249607776925,4.282485430887322,1.0646881928089158e-05,3.872150616019659e-17,1.1616451848058975e-16,1.5488602464078636e-16,True,0.004150699998717755,0.0,,
9,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.3520475366579019,64708902.76616246,328.6360482173083,328.6400133838255,328.63606315613515,328.6400283226524,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.1616451848058975e-16,0.0017475000058766454,0.0016247000021394342,0.0,0.0,4.086400088389124e-05,4.086413824178303e-05,4.282497949655872,4.282483554763058,1.439489281462869e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.00366480000957381,0.0,,
10,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.2799511359175728,81081727.05959564,328.6360482173083,328.6400041501039,328.63607238985685,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0016670000040903687,0.002688499997020699,0.0,0.0,4.0863958415567116e-05,4.086418062870349e-05,4.2825024002895855,4.282479112699446,2.3287590139808856e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.004592400000547059,0.0,,
11,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.3163830652906744,73142364.54149702,328.6360482173083,328.64000550881735,328.6360710311433,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.0018527000065660104,0.0016720000130590051,0.015625,0.0,4.0863964712369076e-05,4.086417438239215e-05,4.282501740391074,4.282479767299673,2.197309140061776e-05,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.0038060000078985468,0.015625,,
12,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.32358111451603316,72879350.94368556,328.6360482173083,328.64000948923956,328.63606705072107,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.001654799998505041,0.0021123000042280182,0.0,0.0,4.086398225183886e-05,4.086415691097175e-05,4.282499902273354,4.282481598268669,1.830400468527671e-05,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.003997699997853488,0.0,,
13,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.3160700599637197,76897710.11730373,328.6360482173083,328.6400131945478,328.6360633454128,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.3068508329066348e-16,0.0016677999956300482,0.0016152999887708575,0.0,0.0,4.08639987093921e-05,4.0864140321603086e-05,4.282498177540769,4.282483336801904,1.4840738865373737e-05,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.003515099990181625,0.0,,
14,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.34873589375853137,71636327.56038238,328.6360482173083,328.6400158109971,328.6360607289636,328.6400283226524,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.1616451848058975e-16,0.0016097000043373555,0.0024314000038430095,0.0,0.0,4.086400948267446e-05,4.08641295871546e-05,4.282497048513964,4.2824844617517615,1.2586762202282387e-05,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.004282299996702932,0.0,,
15,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.32375204950163,77537999.669633,328.6360482173083,328.64001649644996,328.6360600435108,328.6400283226524,2,sparse_direct,not_applicable,1.3552527156068805e-16,1.1616451848058975e-16,0.0018903999880421907,0.0016685000009601936,0.015625,0.0,4.086401194699697e-05,4.0864127171815817e-05,4.282496790256065,4.28248471487477,1.2075381294884835e-05,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.0038182999996934086,0.015625,,
16,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.33724827466667534,69880107.11761233,328.6360482173083,328.6400164491796,328.63606009078103,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.001606499994522892,0.0020881000091321766,0.0,0.0,4.086400989385157e-05,4.0864129283169965e-05,4.282497005423118,4.282484493608783,1.251181433481463e-05,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.003921700001228601,0.0,,
17,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.27926984710252434,75666831.5379932,328.6360482173083,328.6400177255849,328.6360588143757,328.6400283226524,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0016491999995196238,0.0015930999943520874,0.0,0.0,4.086401530229787e-05,4.0864123810697914e-05,4.2824964386248014,4.282485067113719,1.1371511082103325e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.003476300000329502,0.0,,
18,arpack_matvec,central_difference,1.0,0.0019900526720677664,0.2901510542808581,67257457.14830765,328.6360482173083,328.64002263811363,328.6360539018471,328.6400283226524,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.8876734253095837e-16,0.001647700002649799,0.001604000004590489,0.0,0.0,4.0864038129344436e-05,4.086410114850703e-05,4.282494046380909,4.282487442070988,6.604309920277274e-06,3.872150616019659e-17,1.5488602464078636e-16,1.1616451848058975e-16,True,0.0034746999881463125,0.0,,
