call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0019916115427092624,0.07481376943385959,857750.8794132735,328.8968334289677,328.8974623589286,328.8934791358431,328.894108065804,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.001816300005884841,0.0016757999983383343,0.0,0.0,4.383067421133048e-05,4.3789771306712236e-05,4.2778260515903765,4.281821859418101,0.003995807827724462,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.0037647999997716397,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0019916115427092624,0.07481376943385959,857750.8794132735,328.8968334289677,328.8974623589286,328.8934791358431,328.894108065804,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0015994999994290993,0.0015965999918989837,0.0,0.0,4.383067421133048e-05,4.3789771306712236e-05,4.2778260515903765,4.281821859418101,0.003995807827724462,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.003423499991185963,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009958057713546312,0.07481376943385959,857750.8917626325,328.8961520881768,328.8964665531572,328.8944749416145,328.8947894065949,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.002465000012307428,0.002806299991789274,0.0,0.015625,4.382044204842736e-05,4.3799990598037956e-05,4.2788249327286065,4.280822836715385,0.0019979039867781268,3.872150616019659e-17,1.1616451848058975e-16,7.744301232039318e-17,True,0.005526799999643117,0.015625,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003983223085418525,0.07481376943385959,857750.8301797262,328.8981961105496,328.89945397047126,328.89148752430043,328.8927453842221,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.0017298000020673499,0.0016390000091632828,0.0,0.0,4.385115142215958e-05,4.3769345582205566e-05,4.275828431388678,4.2838200458776825,0.007991614489004206,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.0036111000081291422,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0019916115427092624,0.037406884716929795,428875.43970663677,328.8934791358431,328.894108065804,328.8968334289677,328.8974623589286,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.001635399996303022,0.001608099992154166,0.0,0.0,4.3789771306712236e-05,4.383067421133048e-05,4.281821859418101,4.2778260515903765,0.003995807827724462,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.0034688000014284626,0.0,,
6,fixed_probe_b,central_difference,1.0,0.0019916115427092624,0.14912599030805507,2965390.5475676507,328.89361986452445,328.8974623589286,328.8934791358431,328.89732163024723,2,sparse_direct,not_applicable,1.6940658945086007e-16,2.323290369611795e-16,0.001596399990376085,0.0020154000085312873,0.0,0.0,4.38110731354546e-05,4.380935706264429e-05,4.279739951137229,4.279907594441257,0.0001676433040280756,1.1616451848058975e-16,7.744301232039318e-17,3.872150616019659e-17,True,0.0038406000094255432,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0019916115427092624,0.20031435886806426,3198281.404890128,328.8948366701604,328.8974623589286,328.8934791358431,328.8961048246113,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.001744900000630878,0.0027097999991383404,0.0,0.015625,4.381849305727911e-05,4.380193902056299e-05,4.279015249449629,4.280632414742585,0.0016171652929557467,3.872150616019659e-17,1.9360753080098294e-16,2.323290369611795e-16,True,0.00472260000242386,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.003983223085418525,0.07481376943385959,857750.8301797262,328.8981961105496,328.89945397047126,328.89148752430043,328.8927453842221,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.0016387000068789348,0.0016222999984165654,0.0,0.0,4.385115142215958e-05,4.3769345582205566e-05,4.275828431388678,4.2838200458776825,0.007991614489004206,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.003496600009384565,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0019916115427092624,0.07481376943385959,857750.8794132735,328.8968334289677,328.8974623589286,328.8934791358431,328.894108065804,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0016204999992623925,0.0021394000068539754,0.0,0.0,4.383067421133048e-05,4.3789771306712236e-05,4.2778260515903765,4.281821859418101,0.003995807827724462,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.003988299999036826,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0009958057713546312,0.07481376943385959,857750.8917626325,328.8961520881768,328.8964665531572,328.8944749416145,328.8947894065949,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.0016885000077309087,0.0018323999975109473,0.0,0.015625,4.382044204842736e-05,4.3799990598037956e-05,4.2788249327286065,4.280822836715385,0.0019979039867781268,3.872150616019659e-17,1.1616451848058975e-16,7.744301232039318e-17,True,0.0038478999922517687,0.015625,,
11,requalification_step_0.25h,central_difference,0.25,0.0004979028856773156,0.07481376943385959,857750.894837404,328.8958114177813,328.8959686502715,328.89497284450016,328.89513007699037,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0025751999928615987,0.0019217999943066388,0.0,0.0,4.3815327576763024e-05,4.3805101851808215e-05,4.279324391025176,4.2803233430276855,0.0009989520025097676,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.005169900003238581,0.0,,
