call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0019916115427092624,0.07481376943385959,857750.8794132735,328.8968334289677,328.8974623589286,328.8934791358431,328.894108065804,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0023600999993504956,0.0017009000002872199,0.0,0.0,4.383067421133048e-05,4.3789771306712236e-05,4.2778260515903765,4.281821859418101,0.003995807827724462,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.004332199998316355,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0009958057713546312,0.07481376943385959,857750.8917626325,328.8961520881768,328.8964665531572,328.8944749416145,328.8947894065949,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.0016315999964717776,0.0016031999984988943,0.015625,0.0,4.382044204842736e-05,4.3799990598037956e-05,4.2788249327286065,4.280822836715385,0.0019979039867781268,3.872150616019659e-17,1.1616451848058975e-16,7.744301232039318e-17,True,0.003466199996182695,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.07481376943385959,857750.8794132735,328.8968334289677,328.8974623589286,328.8934791358431,328.894108065804,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0024870000052032992,0.0018219999910797924,0.0,0.0,4.383067421133048e-05,4.3789771306712236e-05,4.2778260515903765,4.281821859418101,0.003995807827724462,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.004557499996735714,0.0,,
4,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.11581534354959289,28157824.196087826,328.89348956376796,328.8974623589286,328.8934791358431,328.89745193100373,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.0016448999958811328,0.001600600007805042,0.0,0.0,4.381027339524491e-05,4.3810154305324813e-05,4.27981807619468,4.279829710100124,1.1633905444341508e-05,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.0034742999996524304,0.0,,
5,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.13332888455080236,5415626.198364917,328.8934791358431,328.89740970519176,328.8935317895799,328.8974623589286,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2342480088562662e-16,0.0019093000009888783,0.0019264000002294779,0.0,0.0,4.3809909363926174e-05,4.381052361746964e-05,4.279853638647121,4.279793632168175,6.000647894577327e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.004140200006077066,0.0,,
6,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.19099746393538952,11781687.52286707,328.8934791358431,328.8974227924188,328.8935187023529,328.8974623589286,2,sparse_direct,not_applicable,2.323290369611795e-16,1.1616451848058975e-16,0.0016513000009581447,0.001620000010007061,0.015625,0.0,4.381000024123153e-05,4.381042838416943e-05,4.279844760729662,4.2798029354068525,4.182532280960771e-05,1.1616451848058975e-16,7.744301232039318e-17,1.9360753080098294e-16,True,0.003502799998386763,0.015625,,
7,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.34526435422143853,44152043.43397508,328.8934791358431,328.8974512474415,328.8934902473302,328.8974623589286,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.001627700010430999,0.002665100008016452,0.0,0.0,4.381015603697285e-05,4.3810272754339516e-05,4.279829540934812,4.279818138804618,1.140213019379388e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.004526699995039962,0.0,,
8,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.2825606241613704,91527939.29267177,328.8934791358431,328.8974511493446,328.8934903454271,328.8974623589286,2,sparse_direct,not_applicable,1.839271542609338e-16,1.5488602464078636e-16,0.0016873000131454319,0.0016314999957103282,0.0,0.0,4.381015641972503e-05,4.3810272082858274e-05,4.279829503543618,4.279818204401508,1.1299142109955085e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.0035579000104917213,0.0,,
9,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.35093351728256894,64098058.51845876,328.89347913584317,328.8974468033877,328.8934946913841,328.89746235892864,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.4849355544176928e-16,0.0018909999926108867,0.0016183999978238717,0.0,0.0,4.3810134332925116e-05,4.381029424691084e-05,4.279831661211914,4.279816039199988,1.5622011925842116e-05,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.003734700003406033,0.0,,
10,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.2784341645486907,81210938.60741669,328.8934791358431,328.89743750735147,328.8935039874202,328.8974623589286,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.001588900006026961,0.0015762000111863017,0.0,0.015625,4.3810086405376786e-05,4.3810342054168026e-05,4.279836343280716,4.279811368926795,2.4974353920903525e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.003387099990504794,0.015625,,
11,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.3151326381304453,72967711.86530697,328.8934791358431,328.89743910956315,328.89350238520854,328.8974623589286,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0015940000012051314,0.0023702000034973025,0.0,0.0,4.381009467125812e-05,4.381033386908968e-05,4.279835535781449,4.279812168523335,2.3367258114248557e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.00422190000244882,0.0,,
12,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.32382422243790715,72894877.99130717,328.8934791358431,328.8974440030949,328.8934974916768,328.8974623589286,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.0020726999937323853,0.0017322000057902187,0.0,0.0,4.381011889037322e-05,4.381030973254737e-05,4.279833169802262,4.279814526412793,1.8643389468664395e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.00414549998822622,0.0,,
13,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.3173206446404437,77037482.17325233,328.8934791358431,328.8974479094576,328.8934935853141,328.8974623589286,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.452056481007372e-16,0.002208299993071705,0.00376700000197161,0.0,0.015625,4.3810138339594373e-05,4.381029012324854e-05,4.279831269798634,4.279816442039504,1.4827759129865115e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.006218399998033419,0.015625,,
14,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.34746303428788167,71696802.35145696,328.8934791358431,328.89745139896525,328.89349009580644,328.8974623589286,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0017062999977497384,0.001665599993430078,0.0,0.0,4.381015476823825e-05,4.381027375342248e-05,4.279829664877944,4.279818041204374,1.1623673570326787e-05,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.003619300012360327,0.0,,
15,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.3208154508834204,77209533.71648243,328.8934791358431,328.8974526799369,328.8934888148349,328.8974623589286,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.1616451848058975e-16,0.0025242999981855974,0.0020213999960105866,0.0,0.0,4.381016058402699e-05,4.381026800025269e-05,4.279829096731541,4.2798186032306065,1.0493500934849465e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0048534999950788915,0.0,,
16,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.326716957828052,68628342.442594,328.8934791358431,328.8974547767746,328.89348671799706,328.8974623589286,2,sparse_direct,not_applicable,3.097720492815727e-16,1.9360753080098294e-16,0.0016601999959675595,0.001974700004211627,0.0,0.0,4.381016956858548e-05,4.381025913312559e-05,4.279828219027227,4.279819469459117,8.749568110033579e-06,0.0,1.9360753080098294e-16,1.9360753080098294e-16,True,0.003871299995807931,0.0,,
17,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.2656488004173055,75283165.618767,328.8934791358431,328.89745739505884,328.89348409971285,328.8974623589286,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.001705599992419593,0.0016378000000258908,0.0,0.015625,4.3810183038194894e-05,4.381024556582359e-05,4.279826903177566,4.27982079484779,6.108329776211008e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.003577600000426173,0.015625,,
18,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.28531270428578376,66273728.59427769,328.89348100528554,328.8974623589286,328.8934791358431,328.89746048948615,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0016347999917343259,0.0016213999915635213,0.0,0.0,4.381021985467964e-05,4.381020894103937e-05,4.279823306569688,4.2798243727242005,1.066154512230355e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0034933999995701015,0.0,,
19,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.21546464982634625,69542196.02941892,328.8934856482558,328.8974623589286,328.8934791358431,328.89745584651587,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.5488602464078636e-16,0.0016015000001061708,0.0030753000028198585,0.0,0.0,4.3810245417249615e-05,4.381018327545129e-05,4.279820809361975,4.279826879999934,6.07063795943219e-06,0.0,1.1616451848058975e-16,1.1616451848058975e-16,True,0.00491300001158379,0.0,,
20,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.26179356055271963,62381373.73466485,328.8934938559674,328.8974623589286,328.8934791358431,328.8974476388042,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.1616451848058975e-16,0.0021539000008488074,0.0017077000084100291,0.0,0.0,4.3810291549889424e-05,4.381013733963895e-05,4.279816302671312,4.279831367484712,1.5064813399412458e-05,7.744301232039318e-17,1.1616451848058975e-16,1.9360753080098294e-16,True,0.004146099992794916,0.0,,
21,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.22597030110033714,63887325.821930416,328.8934961092198,328.8974623589286,328.8934791358431,328.89744538555186,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.8876734253095837e-16,0.0016195999924093485,0.001579100004164502,0.015625,0.0,4.381030498975003e-05,4.381012362692698e-05,4.279814989735131,4.279832707085927,1.7717350795365405e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0034337999968556687,0.015625,,
22,arpack_matvec,central_difference,1.0,0.0019916115427092624,0.22891096314955325,56433806.13929469,328.8935057280003,328.8974623589286,328.8934791358431,328.89743576677137,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.001585899997735396,0.0015941000019665807,0.0,0.0,4.381035948232156e-05,4.381006940282238e-05,4.279809666379487,4.279838004272157,2.8337892669760834e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.0034010999952442944,0.0,,
