call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0020166670063773554,0.07481376943385959,833363.1742687834,333.0345191592484,333.0351560014609,333.03112266744813,333.03175950966073,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.710505431213761e-16,0.005800899991299957,0.004519499998423271,0.0,0.0,3.4093074678600516e-05,3.40787209832537e-05,6.966224144901592,6.96915826496856,0.002934120066968582,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.01087859999097418,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0020166670063773554,0.07481376943385959,833363.1742687834,333.0345191592484,333.0351560014609,333.03112266744813,333.03175950966073,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.710505431213761e-16,0.0022563999955309555,0.0031562000076519325,0.0,0.0,3.4093074678600516e-05,3.40787209832537e-05,6.966224144901592,6.96915826496856,0.002934120066968582,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.005837599994265474,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010083335031886777,0.07481376943385959,833363.1727666522,333.0338292468515,333.0341476679577,333.0321310009513,333.03244942205765,2,sparse_direct,not_applicable,3.097720492815727e-16,2.323290369611795e-16,0.007540400009020232,0.003604900004575029,0.0,0.0,3.408948447657876e-05,3.4082307629442336e-05,6.9669578066859525,6.968424866713934,0.0014670600279815815,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.011769899996579625,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004033334012754711,0.07481376943385959,833363.180186365,333.03589898404226,333.0371726684673,333.02910600044174,333.0303796848669,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.0328790734103208e-16,0.004516100001637824,0.004190999999991618,0.0,0.0,3.4100258642238054e-05,3.407155124295308e-05,6.964756557764703,6.970624797986603,0.00586824022189969,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.009318099997472018,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0020166670063773554,0.037406884716929795,416681.5871343917,333.03112266744813,333.03175950966073,333.0345191592484,333.0351560014609,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.005410700003267266,0.003551600006176159,0.0,0.0,3.40787209832537e-05,3.4093074678600516e-05,6.96915826496856,6.966224144901592,0.002934120066968582,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.009626400002161972,0.0,,
6,fixed_probe_b,central_difference,1.0,0.0020166670063773554,0.14912599030805507,2965370.1824034965,333.03126516656624,333.03515600146096,333.0311226674482,333.0350135023428,2,sparse_direct,not_applicable,2.0812809561105665e-16,1.9360753080098294e-16,0.004369699992821552,0.005214199991314672,0.015625,0.0,3.408619696411289e-05,3.408559475779666e-05,6.967629749075501,6.967752849484159,0.00012310040865859406,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.012916799998492934,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0020166670063773554,0.20031435886806426,3176440.458729837,333.03249728022223,333.03515600146096,333.0311226674482,333.0337813886868,2,sparse_direct,not_applicable,2.323290369611795e-16,2.0812809561105665e-16,0.003508599998895079,0.0031879000016488135,0.0,0.015625,3.408880061844217e-05,3.408299145624976e-05,6.967097571379838,6.968285055167888,0.0011874837880494482,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00715239999408368,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.004033334012754711,0.07481376943385959,833363.180186365,333.03589898404226,333.0371726684673,333.02910600044174,333.0303796848669,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.0328790734103208e-16,0.0030996999994385988,0.0019217999943066388,0.0,0.0,3.4100258642238054e-05,3.407155124295308e-05,6.964756557764703,6.970624797986603,0.00586824022189969,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.005326400001649745,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0020166670063773554,0.07481376943385959,833363.1742687834,333.0345191592484,333.0351560014609,333.03112266744813,333.03175950966073,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.710505431213761e-16,0.003271800000220537,0.005565300001762807,0.015625,0.0,3.4093074678600516e-05,3.40787209832537e-05,6.966224144901592,6.96915826496856,0.002934120066968582,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.009296800009906292,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0010083335031886777,0.07481376943385959,833363.1727666522,333.0338292468515,333.0341476679577,333.0321310009513,333.03244942205765,2,sparse_direct,not_applicable,3.097720492815727e-16,2.323290369611795e-16,0.002206700009992346,0.002780800001346506,0.0,0.0,3.408948447657876e-05,3.4082307629442336e-05,6.9669578066859525,6.968424866713934,0.0014670600279815815,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.00536189999547787,0.0,,
11,requalification_step_0.25h,central_difference,0.25,0.0005041667515943389,0.07481376943385959,833363.1710766951,333.033484290653,333.0336435012061,333.03263516770295,333.03279437825614,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.003349800012074411,0.007185200011008419,0.015625,0.0,3.4087689820281863e-05,3.408410139678081e-05,6.967324604634535,6.96805813464783,0.000733530013294903,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.011364799996954389,0.015625,,
