call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002017923548851671,0.07481376943385959,856467.8027853932,333.24202591044406,333.24266314945953,333.2386273023618,333.23926454137717,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.003457600003457628,0.0017628000059630722,0.0,0.015625,3.500721161447539e-05,3.4991627810819246e-05,6.962851045788805,6.965952007658061,0.0031009618692561247,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005528800000320189,0.015625,,
2,parent_h_half_probe,central_difference,0.5,0.0010089617744258356,0.07481376943385959,856467.8017141391,333.2413355681773,333.24165418768507,333.23963626413627,333.2399548836439,2,sparse_direct,not_applicable,2.323290369611795e-16,1.5488602464078636e-16,0.0016749999922467396,0.0015967000072123483,0.0,0.0,3.500331367569247e-05,3.4995521774466006e-05,6.963626422868316,6.965176903801696,0.0015504809333801717,0.0,0.0,0.0,True,0.0035060999944107607,0.0,,
3,arpack_matvec,central_difference,1.0,0.002017923548851671,0.07481376943385959,856467.8027853932,333.24202591044406,333.24266314945953,333.2386273023618,333.23926454137717,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0016251000051852316,0.0035352999984752387,0.0,0.0,3.500721161447539e-05,3.4991627810819246e-05,6.962851045788805,6.965952007658061,0.0031009618692561247,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005461799999466166,0.0,,
4,arpack_matvec,central_difference,1.0,0.002017923548851671,0.11576824055915871,28159719.097373705,333.23863792609455,333.24266314945953,333.2386273023618,333.24265252572667,2,sparse_direct,not_applicable,2.323290369611795e-16,2.710505431213761e-16,0.0026436000043759122,0.002499599999282509,0.0,0.0,3.499944028052103e-05,3.499939463634767e-05,6.964397088820283,6.964406171381606,9.082561323481286e-06,7.744301232039318e-17,1.5488602464078636e-16,7.744301232039318e-17,True,0.005537899996852502,0.0,,
5,arpack_matvec,central_difference,1.0,0.002017923548851671,0.13342207691495955,5402974.672821296,333.23862730236175,333.24260996608547,333.23868048573587,333.2426631494595,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.872150616019659e-16,0.0016417999868281186,0.0016103000089060515,0.015625,0.0,3.4999301197384865e-05,3.499953445207338e-05,6.9644247645210955,6.964378350054316,4.641446677933203e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0034838999999919906,0.015625,,
6,arpack_matvec,central_difference,1.0,0.002017923548851671,0.19118390864606452,11793607.958088534,333.23862730236175,333.24262311451207,333.23866733730927,333.2426631494595,2,sparse_direct,not_applicable,2.710505431213761e-16,3.4849355544176928e-16,0.0015981000033207238,0.0016018000023905188,0.0,0.0,3.499933575295075e-05,3.499949875571443e-05,6.9644178884009165,6.964385453097453,3.243530346352941e-05,1.5488602464078636e-16,3.872150616019659e-17,1.9360753080098294e-16,True,0.0034225999988848343,0.0,,
7,arpack_matvec,central_difference,1.0,0.002017923548851671,0.34528280995621946,44144600.09549646,333.23862730236175,333.2426518900485,333.23863856177286,333.2426631494595,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.003015800000866875,0.0017984000005526468,0.0,0.0,3.499939489902098e-05,3.4999439407613866e-05,6.964406119113169,6.964397262516553,8.856596616091394e-06,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.0050648000033106655,0.0,,
8,arpack_matvec,central_difference,1.0,0.002017923548851671,0.2825298227207719,91508184.76591179,333.23862730236175,333.2426518098958,333.23863864192555,333.2426631494595,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.872150616019659e-16,0.0023835000029066578,0.0016796000127214938,0.0,0.015625,3.499939511688309e-05,3.499943918789454e-05,6.964406075761558,6.964397306237616,8.769523942575574e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.0043077999871456996,0.015625,,
9,arpack_matvec,central_difference,1.0,0.002017923548851671,0.3509715098661467,64120904.07739777,333.23862730236175,333.24264741762266,333.23864303419856,333.2426631494595,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.0017265999922528863,0.0016199000092456117,0.0,0.0,3.499938669038276e-05,3.499944757453586e-05,6.964407752521514,6.96439563741407,1.2115107444365947e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.003579700001864694,0.0,,
10,arpack_matvec,central_difference,1.0,0.002017923548851671,0.27848822506351945,81205785.38984922,333.23862730236175,333.2426379936747,333.23865245814665,333.2426631494595,2,sparse_direct,not_applicable,2.95251484471499e-16,3.097720492815727e-16,0.001615400004084222,0.0018228000117233023,0.0,0.0,3.499936846232567e-05,3.499946583905053e-05,6.96441137966188,6.964392003035567,1.9376626313238887e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.0036662000056821853,0.0,,
