call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002017923548851671,0.07481376943385959,856467.8027853932,333.24202591044406,333.24266314945953,333.2386273023618,333.23926454137717,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0017645000043557957,0.0016582999960519373,0.0,0.0,3.500721161447539e-05,3.4991627810819246e-05,6.962851045788805,6.965952007658061,0.0031009618692561247,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.003681500005768612,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002017923548851671,0.07481376943385959,856467.8027853932,333.24202591044406,333.24266314945953,333.2386273023618,333.23926454137717,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0016257999959634617,0.0026289999950677156,0.015625,0.0,3.500721161447539e-05,3.4991627810819246e-05,6.962851045788805,6.965952007658061,0.0031009618692561247,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.004489500002819113,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010089617744258356,0.07481376943385959,856467.8017141391,333.2413355681773,333.24165418768507,333.23963626413627,333.2399548836439,2,sparse_direct,not_applicable,2.323290369611795e-16,1.5488602464078636e-16,0.0016989000141620636,0.0019329999922774732,0.0,0.0,3.500331367569247e-05,3.4995521774466006e-05,6.963626422868316,6.965176903801696,0.0015504809333801717,0.0,0.0,0.0,True,0.0038915000041015446,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004035847097703342,0.07481376943385959,856467.8054849344,333.24340659497744,333.2446810730084,333.23660937881294,333.2378838568438,2,sparse_direct,not_applicable,3.872150616019659e-16,1.3068508329066348e-16,0.0016425000067101792,0.001590800005942583,0.0,0.0,3.5015011471391534e-05,3.498384385445198e-05,6.961300018397884,6.967501942156674,0.006201923758790251,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.0034672999900067225,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002017923548851671,0.037406884716929795,428233.9013926966,333.2386273023618,333.23926454137717,333.24202591044406,333.24266314945953,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.00159269999130629,0.001747999995131977,0.0,0.0,3.4991627810819246e-05,3.500721161447539e-05,6.965952007658061,6.962851045788805,0.0031009618692561247,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0035690999939106405,0.0,,
6,fixed_probe_b,central_difference,1.0,0.002017923548851671,0.14912599030805507,2965389.479845321,333.2387698902681,333.2426631494595,333.23862730236175,333.24252056155325,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.00162980001186952,0.002580799991847016,0.015625,0.0,3.4999744412110365e-05,3.499909059685695e-05,6.9643365714310566,6.964466671653739,0.00013010022268211685,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.004467299993848428,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002017923548851671,0.20031435886806426,3197132.319610635,333.240002771628,333.2426631494595,333.23862730236175,333.24128768019335,2,sparse_direct,not_applicable,2.0328790734103208e-16,2.323290369611795e-16,0.0020154000085312873,0.0022656000073766336,0.0,0.0,3.500257120803546e-05,3.499626420202842e-05,6.963774133942562,6.965029141192504,0.0012550072499424303,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.004637399993953295,0.0,,
8,requalification_step_2h,central_difference,2.0,0.004035847097703342,0.07481376943385959,856467.8054849344,333.24340659497744,333.2446810730084,333.23660937881294,333.2378838568438,2,sparse_direct,not_applicable,3.872150616019659e-16,1.3068508329066348e-16,0.0016276999958790839,0.0015948999935062602,0.0,0.0,3.5015011471391534e-05,3.498384385445198e-05,6.961300018397884,6.967501942156674,0.006201923758790251,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.0034620999940671027,0.0,,
9,requalification_step_1h,central_difference,1.0,0.002017923548851671,0.07481376943385959,856467.8027853932,333.24202591044406,333.24266314945953,333.2386273023618,333.23926454137717,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0015899999998509884,0.0029187000036472455,0.015625,0.0,3.500721161447539e-05,3.4991627810819246e-05,6.962851045788805,6.965952007658061,0.0031009618692561247,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.0047556000063195825,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0010089617744258356,0.07481376943385959,856467.8017141391,333.2413355681773,333.24165418768507,333.23963626413627,333.2399548836439,2,sparse_direct,not_applicable,2.323290369611795e-16,1.5488602464078636e-16,0.0023382000072160736,0.0017303000058745965,0.0,0.0,3.500331367569247e-05,3.4995521774466006e-05,6.963626422868316,6.965176903801696,0.0015504809333801717,0.0,0.0,0.0,True,0.004506099998252466,0.0,,
11,requalification_step_0.25h,central_difference,0.25,0.0005044808872129178,0.07481376943385959,856467.8022793232,333.24099039704396,333.2411497067979,333.24014074502344,333.24030005477726,2,sparse_direct,not_applicable,3.4849355544176928e-16,2.710505431213761e-16,0.0016518999909749255,0.0016371000092476606,0.0,0.0,3.500136520345632e-05,3.49974692529183e-05,6.964014077254624,6.964789317721157,0.0007752404665328783,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.003515300006256439,0.0,,
