call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002019128400447221,0.07481376943385959,880487.5194352259,333.44099637533134,333.4416339948262,333.4375957380253,333.4382333575202,2,sparse_direct,not_applicable,3.4849355544176928e-16,3.097720492815727e-16,0.0019182999967597425,0.0020757000020239502,0.0,0.015625,3.595772989042328e-05,3.5940831346862524e-05,6.9526079861505155,6.955876940832753,0.003268954682237535,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.004289000004064292,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002019128400447221,0.07481376943385959,880487.5194352259,333.44099637533134,333.4416339948262,333.4375957380253,333.4382333575202,2,sparse_direct,not_applicable,3.4849355544176928e-16,3.097720492815727e-16,0.001692000005277805,0.001642799994442612,0.0,0.0,3.595772989042328e-05,3.5940831346862524e-05,6.9526079861505155,6.955876940832753,0.003268954682237535,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.003568000000086613,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010095642002236106,0.07481376943385959,880487.5201275627,333.4403056208785,333.440624430626,333.43860530222554,333.438924111973,2,sparse_direct,not_applicable,2.1780847215110582e-16,2.323290369611795e-16,0.0016395999991800636,0.0016542000084882602,0.0,0.0,3.595350304195568e-05,3.5945053770846346e-05,6.9534253646512365,6.9550598419959915,0.0016344773447549699,0.0,0.0,0.0,True,0.0035195000091334805,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004038256800894442,0.07481376943385959,880487.5179404224,333.4423778842369,333.4436531232266,333.4355766096249,333.4368518486146,2,sparse_direct,not_applicable,2.710505431213761e-16,3.097720492815727e-16,0.00425149999500718,0.003254199997172691,0.0,0.015625,3.596618801654093e-05,3.593239091868358e-05,6.950972949510925,6.957510858817045,0.006537909306119971,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.007781499996781349,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002019128400447221,0.037406884716929795,440243.75971761293,333.4375957380253,333.4382333575202,333.44099637533134,333.4416339948262,2,sparse_direct,not_applicable,3.097720492815727e-16,3.4849355544176928e-16,0.0017561999993631616,0.0016534000023966655,0.0,0.0,3.5940831346862524e-05,3.595772989042328e-05,6.955876940832753,6.9526079861505155,0.003268954682237535,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.00365290000627283,0.0,,
6,fixed_probe_b,central_difference,1.0,0.002019128400447221,0.14912599030805507,2965409.541888136,333.43773841106724,333.4416339948262,333.4375957380253,333.44149132178427,2,sparse_direct,not_applicable,2.0812809561105665e-16,1.9360753080098294e-16,0.0016444999928353354,0.001632999992580153,0.0,0.0,3.594963264117154e-05,3.594892366628007e-05,6.9541739826761395,6.954311131003316,0.00013714832717681702,0.0,0.0,0.0,True,0.0035019999922951683,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002019128400447221,0.20031435886806426,3218643.7065850752,333.4389720285497,333.4416339948262,333.4375957380253,333.4402577043018,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0016015000001061708,0.003412300007767044,0.0,0.0,3.5952697931780495e-05,3.594585883024723e-05,6.953581076846302,6.954904073390324,0.001322996544022459,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.0052460000006249174,0.0,,
8,requalification_step_2h,central_difference,2.0,0.004038256800894442,0.07481376943385959,880487.5179404224,333.4423778842369,333.4436531232266,333.4355766096249,333.4368518486146,2,sparse_direct,not_applicable,2.710505431213761e-16,3.097720492815727e-16,0.0017674999980954453,0.0016815999988466501,0.0,0.0,3.596618801654093e-05,3.593239091868358e-05,6.950972949510925,6.957510858817045,0.006537909306119971,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.003700300003401935,0.0,,
9,requalification_step_1h,central_difference,1.0,0.002019128400447221,0.07481376943385959,880487.5194352259,333.44099637533134,333.4416339948262,333.4375957380253,333.4382333575202,2,sparse_direct,not_applicable,3.4849355544176928e-16,3.097720492815727e-16,0.0016380000015487894,0.0016297999973176047,0.0,0.0,3.595772989042328e-05,3.5940831346862524e-05,6.9526079861505155,6.955876940832753,0.003268954682237535,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.003490200004307553,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0010095642002236106,0.07481376943385959,880487.5201275627,333.4403056208785,333.440624430626,333.43860530222554,333.438924111973,2,sparse_direct,not_applicable,2.1780847215110582e-16,2.323290369611795e-16,0.001622499999939464,0.004734699992695823,0.0,0.015625,3.595350304195568e-05,3.5945053770846346e-05,6.9534253646512365,6.9550598419959915,0.0016344773447549699,0.0,0.0,0.0,True,0.0065876999869942665,0.015625,,
