call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002008043808945143,0.07481376943385959,718953.2984412917,331.6104752286583,331.61110934775587,331.607093260138,331.6077273792355,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0018033000087598339,0.0016272000066237524,0.0,0.0,2.9384277043571744e-05,2.9375531806307107e-05,6.806361092479321,6.80838737894981,0.0020262864704889694,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.0036995999980717897,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0010040219044725714,0.07481376943385959,718953.2954913261,331.6097882663026,331.6101053258514,331.6080972820425,331.6084143415912,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.001607400001375936,0.0016059000045061111,0.0,0.015625,2.938208989856551e-05,2.937771728017806e-05,6.806867744617594,6.807880887836899,0.0010131432193052348,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.003440000000409782,0.015625,,
3,arpack_matvec,central_difference,1.0,0.002008043808945143,0.07481376943385959,718953.2984412917,331.6104752286583,331.61110934775587,331.607093260138,331.6077273792355,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0016889999969862401,0.0015985999925760552,0.0,0.0,2.9384277043571744e-05,2.9375531806307107e-05,6.806361092479321,6.80838737894981,0.0020262864704889694,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.0035426999966148287,0.0,,
4,arpack_matvec,central_difference,1.0,0.002008043808945143,0.11043119333102533,28314839.804307986,331.6071103574361,331.611109347756,331.60709326013813,331.61109225045755,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.002517799992347136,0.0017749999969964847,0.0,0.0,2.93799249399714e-05,2.9379882109611258e-05,6.807369331563537,6.807379255431816,9.923868279138048e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.004641100007575005,0.0,,
5,arpack_matvec,central_difference,1.0,0.002008043808945143,0.14328158795002582,4474974.699440429,331.6070932601379,331.6110828776918,331.6071197302019,331.61110934775576,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.0016373000107705593,0.0015944000042509288,0.0,0.0,2.937987282538775e-05,2.937993427941936e-05,6.807381406606224,6.807367167601187,1.4239005036387198e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.003464599998551421,0.0,,
6,arpack_matvec,central_difference,1.0,0.002008043808945143,0.2108237743133746,13809035.59421232,331.60709326013796,331.61107766731976,331.6071249405741,331.6111093477558,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.00159939999866765,0.0015811999910511076,0.015625,0.0,2.9379864313285447e-05,2.937994249151464e-05,6.807383378879694,6.807365264849071,1.811403062301764e-05,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.00340620000497438,0.015625,,
7,arpack_matvec,central_difference,1.0,0.002008043808945143,0.34570814915088477,43194070.0630976,331.607093260138,331.6110979458577,331.6071046620364,331.61110934775587,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0016005999932531267,0.001639399997657165,0.0,0.0,2.9379889686389757e-05,2.9379917014807392e-05,6.807377499877069,6.807371167835518,6.33204155153777e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.003465200003120117,0.0,,
8,arpack_matvec,central_difference,1.0,0.002008043808945143,0.280273971564276,89645428.95159681,331.607093260138,331.61109925678363,331.6071033511105,331.61110934775587,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.4036545983071262e-16,0.0017652999958954751,0.0029845000099157915,0.0,0.0,2.937989159822056e-05,2.9379915110485118e-05,6.8073770569021885,6.807371609069896,5.447832292837518e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.0050466999964555725,0.0,,
9,arpack_matvec,central_difference,1.0,0.002008043808945143,0.35585645818955475,66181038.04878969,331.60709326013796,331.61109656363743,331.60710604425657,331.6111093477558,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.0016999999934341758,0.0016119000065373257,0.0,0.0,2.9379888572626382e-05,2.937991811126978e-05,6.807377757938217,6.807370913783536,6.844154681218129e-06,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.003552900001523085,0.0,,
10,arpack_matvec,central_difference,1.0,0.002008043808945143,0.28467133286586094,80876273.96516736,331.60709326013784,331.6110880301016,331.6071145777924,331.6111093477557,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.3068508329066348e-16,0.001589899999089539,0.0015880999999353662,0.015625,0.0,2.937987883838436e-05,2.9379927864090707e-05,6.807380013381916,6.807368654041109,1.1359340807537421e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.003400999994482845,0.015625,,
