call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002000264671758858,0.07481376943385959,840426.2695774345,328.0723216643462,330.32605424754615,328.0687422433547,330.3228959349065,2,sparse_direct,not_applicable,1.7424677772088464e-16,9.680376540049147e-17,0.003827300010016188,0.0029531000036513433,0.0,0.0,4.070493916869038e-05,4.0669341395472445e-05,4.21495003919111,4.218639374461161,0.0036893352700513304,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.00815399999555666,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002000264671758858,0.07481376943385959,840426.2695774345,328.0723216643462,330.32605424754615,328.0687422433547,330.3228959349065,2,sparse_direct,not_applicable,1.7424677772088464e-16,9.680376540049147e-17,0.003373200001078658,0.004925900007947348,0.0,0.015625,4.070493916869038e-05,4.0669341395472445e-05,4.21495003919111,4.218639374461161,0.0036893352700513304,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.008956000005127862,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.001000132335879429,0.07481376943385959,840426.2845256915,328.0714385065525,330.32525297193206,328.06964879605675,330.3236738156122,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.7424677772088464e-16,0.004277300002286211,0.004241000002366491,0.0,0.0,4.069603423794025e-05,4.067823535295516e-05,4.215872336385839,4.217717004085313,0.0018446676994736677,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.008936400001402944,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004000529343517716,0.07481376943385959,840426.2063178582,328.0740879799335,330.3276567987744,328.0669291379504,330.3213401734952,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0046494999987771735,0.003929700003936887,0.0,0.015625,4.072276001483086e-05,4.065156444241225e-05,4.213105518433901,4.220484187942914,0.007378669509012781,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.009152200000244193,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002000264671758858,0.037406884716929795,420213.13478871726,328.0687422433547,330.3228959349065,328.0723216643462,330.32605424754615,2,sparse_direct,not_applicable,9.680376540049147e-17,1.7424677772088464e-16,0.003178200000547804,0.0032082999969134107,0.0,0.0,4.0669341395472445e-05,4.070493916869038e-05,4.218639374461161,4.21495003919111,0.0036893352700513304,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.006758000003173947,0.0,,
6,fixed_probe_b,central_difference,1.0,0.002000264671758858,0.14912599030805507,3034756.1447786996,328.06950701960324,330.32560182635683,328.0713120657879,330.32351409993714,2,sparse_direct,not_applicable,2.323290369611795e-16,2.323290369611795e-16,0.004351499999756925,0.004985999999917112,0.0,0.0,4.0689774721057735e-05,4.068449338161374e-05,4.21652088566499,4.217068241087633,0.0005473554226425037,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.009950700012268499,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002000264671758858,0.20031435886806426,3220642.463631271,328.0704815070909,330.3258889705013,328.0704884428047,330.3231551697566,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.00479079999786336,0.005463099994813092,0.0,0.015625,4.069574861091659e-05,4.0678521746047305e-05,4.2159019258910995,4.217687309667651,0.0017853837765517966,7.744301232039318e-17,1.1616451848058975e-16,3.872150616019659e-17,True,0.010913599995546974,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.004000529343517716,0.07481376943385959,840426.2063178582,328.0740879799335,330.3276567987744,328.0669291379504,330.3213401734952,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.004391199996462092,0.0036306000110926107,0.015625,0.0,4.072276001483086e-05,4.065156444241225e-05,4.213105518433901,4.220484187942914,0.007378669509012781,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.008639000006951392,0.015625,,
9,requalification_step_1h,central_difference,1.0,0.002000264671758858,0.07481376943385959,840426.2695774345,328.0723216643462,330.32605424754615,328.0687422433547,330.3228959349065,2,sparse_direct,not_applicable,1.7424677772088464e-16,9.680376540049147e-17,0.0036345999978948385,0.0040923999913502485,0.0,0.0,4.070493916869038e-05,4.0669341395472445e-05,4.21495003919111,4.218639374461161,0.0036893352700513304,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.008822699994198047,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.001000132335879429,0.07481376943385959,840426.2845256915,328.0714385065525,330.32525297193206,328.06964879605675,330.3236738156122,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.7424677772088464e-16,0.005382699993788265,0.0049589999980526045,0.015625,0.0,4.069603423794025e-05,4.067823535295516e-05,4.215872336385839,4.217717004085313,0.0018446676994736677,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.011072200009948574,0.015625,,
