call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.001993970683683819,0.07481376943385959,916189.9101598788,329.286424460906,329.2870541358586,329.2830661944913,329.28369586944416,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.004659199999878183,0.0031731000053696334,0.0,0.015625,4.908256016015807e-05,4.903273739008679e-05,4.239729828250999,4.244037870094895,0.004308041843896326,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00823389999277424,0.015625,,
2,parent_h_half_probe,central_difference,0.5,0.0009969853418419095,0.07481376943385959,916189.9245639262,329.28574231304054,329.2860571505168,329.28406317983314,329.2843780173096,2,sparse_direct,not_applicable,2.710505431213761e-16,3.097720492815727e-16,0.003699699998833239,0.0022452000121120363,0.0,0.0,4.907009652227599e-05,4.904518513960023e-05,4.240806705229898,4.242960726228844,0.002154020998946571,7.744301232039318e-17,1.9360753080098294e-16,1.1616451848058975e-16,True,0.006468300009146333,0.0,,
3,arpack_matvec,central_difference,1.0,0.001993970683683819,0.07481376943385959,916189.9101598788,329.286424460906,329.2870541358586,329.2830661944913,329.28369586944416,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.0023317999875871465,0.002973900001961738,0.0,0.0,4.908256016015807e-05,4.903273739008679e-05,4.239729828250999,4.244037870094895,0.004308041843896326,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.005774699995527044,0.0,,
4,arpack_matvec,central_difference,1.0,0.001993970683683819,0.11790599651908408,28063054.66496003,329.28307407968316,329.2870541358587,329.28306619449137,329.2870462506669,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.002651800008607097,0.002808100005495362,0.015625,0.0,4.905769068797653e-05,4.905758430245454e-05,4.241879131276524,4.241888330150297,9.198873772930938e-06,1.5488602464078636e-16,7.744301232039318e-17,2.323290369611795e-16,True,0.005802999992738478,0.015625,,
5,arpack_matvec,central_difference,1.0,0.001993970683683819,0.12935623574678234,6033798.677533203,329.2830661944914,329.2869948547752,329.2831254755749,329.28705413585874,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.0031380000000353903,0.0023514999920735136,0.0,0.0,4.905721774483209e-05,4.9058064847688305e-05,4.241920025720744,4.241846778996056,7.324672468822513e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.005818900011945516,0.0,,
6,arpack_matvec,central_difference,1.0,0.001993970683683819,0.18286207149385922,11296924.649281964,329.2830661944914,329.2870121651386,329.28310816521133,329.28705413585874,2,sparse_direct,not_applicable,4.2593656776216244e-16,2.323290369611795e-16,0.00276540000049863,0.0028883000049972907,0.0,0.0,4.905736976363871e-05,4.905790655920196e-05,4.241906880873738,4.241860465587129,4.641528660886962e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006004499999107793,0.0,,
7,arpack_matvec,central_difference,1.0,0.001993970683683819,0.34440721334841096,44478656.15248776,329.2830661944914,329.28704313135034,329.2830771989996,329.28705413585874,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.0025585000112187117,0.0019177999929524958,0.015625,0.0,4.9057570184522076e-05,4.905770669111591e-05,4.24188955089345,4.241877747530981,1.1803362469642309e-05,0.0,1.1616451848058975e-16,1.1616451848058975e-16,True,0.004782100004376844,0.015625,,
8,arpack_matvec,central_difference,1.0,0.001993970683683819,0.28394169878307496,92422638.58572549,329.2830661944914,329.28704274828465,329.2830775820654,329.28705413585874,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.0034421000018483028,0.0021290000004228204,0.0,0.0,4.905756863608859e-05,4.9057707806572415e-05,4.241889684782757,4.241877651080691,1.2033702065927798e-05,1.5488602464078636e-16,7.744301232039318e-17,2.323290369611795e-16,True,0.005846799991559237,0.0,,
9,arpack_matvec,central_difference,1.0,0.001993970683683819,0.34916265851080314,63019311.53867316,329.28306619449137,329.2870377872148,329.28308254313527,329.2870541358587,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.002303000001120381,0.002902599997469224,0.0,0.015625,4.905753875774924e-05,4.9057737840935514e-05,4.2418922682922995,4.24187505409805,1.721419424960402e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.005613800007267855,0.015625,,
10,arpack_matvec,central_difference,1.0,0.001993970683683819,0.27590593322275364,81432828.90502651,329.2830661944914,329.2870286156412,329.28309171470875,329.28705413585874,2,sparse_direct,not_applicable,2.323290369611795e-16,3.4849355544176928e-16,0.0027221000054851174,0.004184000004897825,0.0,0.0,4.905748254665781e-05,4.905779385592754e-05,4.241897128741343,4.24187021065568,2.6918085662686053e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.007308599990210496,0.0,,
11,arpack_matvec,central_difference,1.0,0.001993970683683819,0.3134066222292682,72529651.29650207,329.2830661944914,329.28703060523964,329.2830897251103,329.28705413585874,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.002197800000431016,0.0026283999904990196,0.0,0.0,4.905749468224424e-05,4.905778186705086e-05,4.241896079403019,4.241871247295677,2.48321073419433e-05,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.00520410000171978,0.0,,
12,arpack_matvec,central_difference,1.0,0.001993970683683819,0.32363114496655787,72816054.03590775,329.28306619449137,329.2870371171414,329.28308321320856,329.2870541358587,2,sparse_direct,not_applicable,2.323290369611795e-16,2.323290369611795e-16,0.002842899993993342,0.002729300002101809,0.015625,0.0,4.905753312554706e-05,4.9057743534885145e-05,4.241892755295892,4.241874561759406,1.819353648535582e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.005959200003417209,0.015625,,
