call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.001996977475779987,0.07481376943385959,1005004.1910687906,329.78296928302706,329.78359990749306,329.77960595254154,329.78023657700754,2,sparse_direct,not_applicable,1.1616451848058975e-16,3.097720492815727e-16,0.003961499998695217,0.004203300006338395,0.0,0.015625,5.7470030262856474e-05,5.7405768585047585e-05,4.138835456679937,4.14346858880545,0.004633132125513306,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.008893499994883314,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.001996977475779987,0.07481376943385959,1005004.1910687906,329.78296928302706,329.78359990749306,329.77960595254154,329.78023657700754,2,sparse_direct,not_applicable,1.1616451848058975e-16,3.097720492815727e-16,0.0033525000035297126,0.0025925999943865463,0.0,0.0,5.7470030262856474e-05,5.7405768585047585e-05,4.138835456679937,4.14346858880545,0.004633132125513306,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.006284099988988601,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009984887378899935,0.07481376943385959,1005004.2102246389,329.7822861065222,329.7826014187552,329.7806044412794,329.7809197535124,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.00397440000961069,0.0062172000034479424,0.0,0.015625,5.745395446816918e-05,5.742182363232354e-05,4.1399935156797385,4.142310081815047,0.0023165661353088396,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.010669299997971393,0.015625,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003993954951559974,0.07481376943385959,1005004.112804349,329.7843356360368,329.78559688496887,329.77760897506573,329.7788702239978,2,sparse_direct,not_applicable,2.323290369611795e-16,1.2100470675061434e-16,0.004254300001775846,0.004246899989084341,0.0,0.0,5.7502202621062086e-05,5.7373679216505665e-05,4.13651978717865,4.145786050268682,0.009266263090031757,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.008898300002329051,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.001996977475779987,0.037406884716929795,502502.0955343953,329.77960595254154,329.78023657700754,329.78296928302706,329.78359990749306,2,sparse_direct,not_applicable,3.097720492815727e-16,1.1616451848058975e-16,0.0028713000065181404,0.004075899996678345,0.015625,0.0,5.7405768585047585e-05,5.7470030262856474e-05,4.14346858880545,4.138835456679937,0.004633132125513306,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.007570400004624389,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.001996977475779987,0.14912599030805507,3102284.5491134026,329.77974706038344,329.78359990749306,329.77960595254154,329.78345879965116,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.0028242999978829175,0.0036588000075425953,0.0,0.0,5.743923478421952e-05,5.743653869899482e-05,4.141054452447671,4.141248834560117,0.00019438211244615644,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.007044900004984811,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.001996977475779987,0.20031435886806426,3452863.8233810877,329.7809671444185,329.78359990749306,329.77960595254154,329.7822387156161,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.003771699994103983,0.004392200004076585,0.015625,0.0,5.7450892293929385e-05,5.742488460137241e-05,4.140214180337683,4.142089280623382,0.0018751002856989274,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.009019100005389191,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.003993954951559974,0.07481376943385959,1005004.112804349,329.7843356360368,329.78559688496887,329.77760897506573,329.7788702239978,2,sparse_direct,not_applicable,2.323290369611795e-16,1.2100470675061434e-16,0.00558189999719616,0.0028261999977985397,0.0,0.0,5.7502202621062086e-05,5.7373679216505665e-05,4.13651978717865,4.145786050268682,0.009266263090031757,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.00898600000073202,0.0,,
9,requalification_step_1h,central_difference,1.0,0.001996977475779987,0.07481376943385959,1005004.1910687906,329.78296928302706,329.78359990749306,329.77960595254154,329.78023657700754,2,sparse_direct,not_applicable,1.1616451848058975e-16,3.097720492815727e-16,0.003146500006550923,0.003112999998847954,0.0,0.015625,5.7470030262856474e-05,5.7405768585047585e-05,4.138835456679937,4.14346858880545,0.004633132125513306,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00681909998820629,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0009984887378899935,0.07481376943385959,1005004.2102246389,329.7822861065222,329.7826014187552,329.7806044412794,329.7809197535124,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.003188600006978959,0.003908299986505881,0.0,0.0,5.745395446816918e-05,5.742182363232354e-05,4.1399935156797385,4.142310081815047,0.0023165661353088396,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.00755619999836199,0.0,,
