call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0020280684919972646,0.07481376943385959,830422.6472695909,332.2066331603154,334.9176097361931,332.20300398511915,334.91440752278464,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.005835000003571622,0.0026031000015791506,0.0,0.0,3.342127734165893e-05,3.340761302338519e-05,6.908433297246538,6.911258971480743,0.002825674234204989,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.00903180000022985,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0010140342459986323,0.07481376943385959,830422.647525809,332.20573772656604,334.91679732279135,332.20392313896787,334.91519621608705,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0031721999985165894,0.0029603000002680346,0.015625,0.0,3.341785961702823e-05,3.34110274583813e-05,6.909139839284541,6.910552676395121,0.0014128371105801563,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.006573599996045232,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.07481376943385959,830422.6472695909,332.2066331603154,334.9176097361931,332.20300398511915,334.91440752278464,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.0029131000046618283,0.0031433999974979088,0.0,0.0,3.342127734165893e-05,3.340761302338519e-05,6.908433297246538,6.911258971480743,0.002825674234204989,7.744301232039318e-17,3.872150616019659e-17,1.1616451848058975e-16,True,0.006470899999840185,0.0,,
4,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.15554336182836156,28569934.504891057,332.20489243833055,334.91636349983486,332.2047836708401,334.91563766269917,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.002886500005843118,0.0025916999875335023,0.0,0.015625,3.3414651334923735e-05,3.34142350446007e-05,6.909803215043924,6.909889300636148,8.608559222356149e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.00581229999079369,0.015625,,
5,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.3257228257910235,9274264.14387824,332.20495688904964,334.91702559117186,332.20470553862475,334.9150275282318,2,sparse_direct,not_applicable,1.5972621291081093e-16,1.5488602464078636e-16,0.0027676999889081344,0.002871799995773472,0.0,0.0,3.341493806438877e-05,3.3413948342072555e-05,6.909743922874191,6.909948589730373,0.00020466685618192315,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.006047000002581626,0.0,,
6,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.37906234285556994,42298355.0001172,332.2047952683787,334.91685088718083,332.2048819481722,334.91517365139606,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.00346469999931287,0.002256499996292405,0.0,0.0,3.341461164530173e-05,3.3414274468939556e-05,6.909811422455719,6.9098811478983855,6.972544266670155e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.0060904999991180375,0.0,,
7,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.34910149129885787,81007640.93516113,332.2048010506926,334.9164420088138,332.20488159340994,334.91557126604357,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.0029275999986566603,0.0028368000057525933,0.015625,0.0,3.3414524909713394e-05,3.3414361173392127e-05,6.909829358564661,6.909863217959245,3.385939458411258e-05,1.1616451848058975e-16,3.872150616019659e-17,1.5488602464078636e-16,True,0.006096199998864904,0.015625,,
8,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.41241571943674343,56449434.15947998,332.2047492152458,334.91643786672904,332.20493098261426,334.9156115800685,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.097720492815727e-16,0.0023904999980004504,0.0026991999911842868,0.0,0.0,3.34145169919994e-05,3.3414369144487285e-05,6.909830995878545,6.909861569591233,3.057371268777587e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.0054973999940557405,0.0,,
9,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.44425489843323135,101627878.2387703,332.2047108730782,334.91636645987404,332.2049728088537,334.9156890748813,2,sparse_direct,not_applicable,1.4036545983071262e-16,1.5488602464078636e-16,0.004111000002012588,0.003351799998199567,0.0,0.015625,3.3414503989132954e-05,3.341438208025488e-05,6.9098336847590875,6.909858894564558,2.5209805470716162e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.007848199995351024,0.015625,,
10,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.4680619571109969,121781786.75578865,332.2046987245954,334.9163317619478,332.20498163295895,334.9157183619859,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.0029664000030606985,0.0027735000039683655,0.0,0.0,3.3414500715880266e-05,3.3414385353922805e-05,6.909834361639819,6.909858217593153,2.3855953334539493e-05,0.0,0.0,0.0,True,0.006217400004970841,0.0,,
11,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.408702538158195,98302556.9164746,332.20462180283204,334.9163359425183,332.20503658636454,334.9157143112639,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.002912399999331683,0.0032924999977694824,0.0,0.015625,3.341451252632612e-05,3.341437355788125e-05,6.909831919340998,6.909860656931856,2.8737590858085582e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.00838149999617599,0.015625,,
12,arpack_matvec,central_difference,1.0,0.0020280684919972646,0.4700362914159872,108094412.85484362,332.2046334207059,334.9162350670952,332.205016611497,334.91579071261805,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0030264999950304627,0.0027240999916102737,0.0,0.0,3.3414503508429126e-05,3.341438254456296e-05,6.90983378416453,6.909858798548919,2.5014384389621114e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.006179199990583584,0.0,,
