call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0020430433572308174,0.07481376943385959,779375.715687526,331.06290086398343,337.3905765466995,331.05924489165994,337.38735068876707,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.003664300005766563,0.0027642999921226874,0.015625,0.0,3.105704098237293e-05,3.104561144320873e-05,6.667909064875356,6.670363876497916,0.002454811622560449,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.00751019999734126,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0020430433572308174,0.07481376943385959,779375.715687526,331.06290086398343,337.3905765466995,331.05924489165994,337.38735068876707,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0028466999938245863,0.004666699998779222,0.0,0.0,3.105704098237293e-05,3.104561144320873e-05,6.667909064875356,6.670363876497916,0.002454811622560449,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.007870100002037361,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010215216786154087,0.07481376943385959,779375.715728483,331.0619988185245,337.38975813459444,331.0601708323628,337.3881452056282,2,sparse_direct,not_applicable,2.323290369611795e-16,2.710505431213761e-16,0.0038417000032495707,0.003064400007133372,0.015625,0.0,3.105418234723033e-05,3.104846757800756e-05,6.668522866873662,6.6697502726754205,0.0012274058017585077,1.5488602464078636e-16,3.872150616019659e-17,1.1616451848058975e-16,True,0.007463699992513284,0.015625,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004086086714461635,0.07481376943385959,779375.7158854721,331.0647033762334,337.3922133709097,331.0573914315865,337.38576165504475,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.002183300006436184,0.005476300008012913,0.0,0.0,3.106276075551983e-05,3.1039901671439734e-05,6.666681262636031,6.671590886034033,0.004909623398002161,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.008269799989648163,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0020430433572308174,0.037406884716929795,389687.857843763,331.05924489165994,337.38735068876707,331.06290086398343,337.3905765466995,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0035866999969584867,0.0036571000091498718,0.0,0.0,3.104561144320873e-05,3.105704098237293e-05,6.670363876497916,6.667909064875356,0.002454811622560449,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.007777900013024919,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.0020430433572308174,0.14912599030805507,3909086.9960066224,331.05994333194195,337.3901144497988,331.06178698176944,337.3879820741918,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.0038505999982589856,0.003275700000813231,0.0,0.0,3.105263613249802e-05,3.105001389312241e-05,6.66885491495665,6.669418113865625,0.0005631989089751599,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.00771399999212008,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0020430433572308174,0.20031435886806426,3702881.7890777914,331.06097159676705,337.3904077349551,331.0609786808116,337.38761546774646,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.003317200011224486,0.0021696000039810315,0.015625,0.0,3.105443574834022e-05,3.104821487162082e-05,6.668468452389706,6.66980455883966,0.0013361064499539665,0.0,0.0,0.0,True,0.0058253000024706125,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.004086086714461635,0.07481376943385959,779375.7158854721,331.0647033762334,337.3922133709097,331.0573914315865,337.38576165504475,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.003394200000911951,0.003196999998181127,0.0,0.015625,3.106276075551983e-05,3.1039901671439734e-05,6.666681262636031,6.671590886034033,0.004909623398002161,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.0070515000115847215,0.015625,,
9,requalification_step_1h,central_difference,1.0,0.0020430433572308174,0.07481376943385959,779375.715687526,331.06290086398343,337.3905765466995,331.05924489165994,337.38735068876707,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0031790000066393986,0.003343399992445484,0.0,0.0,3.105704098237293e-05,3.104561144320873e-05,6.667909064875356,6.670363876497916,0.002454811622560449,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.007020999997621402,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0010215216786154087,0.07481376943385959,779375.715728483,331.0619988185245,337.38975813459444,331.0601708323628,337.3881452056282,2,sparse_direct,not_applicable,2.323290369611795e-16,2.710505431213761e-16,0.0034384000027785078,0.004186499994830228,0.0,0.015625,3.105418234723033e-05,3.104846757800756e-05,6.668522866873662,6.6697502726754205,0.0012274058017585077,1.5488602464078636e-16,3.872150616019659e-17,1.1616451848058975e-16,True,0.008244899989222176,0.015625,,
11,requalification_step_0.25h,central_difference,0.25,0.0005107608393077044,0.07481376943385959,779375.7151496133,331.0615477957951,337.3893489285419,331.0606338027142,337.3885424640588,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.1616451848058975e-16,0.003726800001459196,0.003998000000137836,0.0,0.0,3.105275334235928e-05,3.1049895957792746e-05,6.668829743096663,6.669443445996365,0.0006137028997024174,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.008188500010874122,0.0,,
