call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002022295485465775,0.07481376943385959,955401.0012820842,333.9640121399347,333.96465075956183,333.9606061685909,333.9612447882178,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.003469599992968142,0.00374770000053104,0.0,0.015625,3.8864724892379825e-05,3.884362104860226e-05,6.891512081961587,6.895256259009009,0.00374417704742136,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.00767759999143891,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002022295485465775,0.07481376943385959,955401.0012820842,333.9640121399347,333.96465075956183,333.9606061685909,333.9612447882178,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0025411999959032983,0.003139799999189563,0.0,0.0,3.8864724892379825e-05,3.884362104860226e-05,6.891512081961587,6.895256259009009,0.00374417704742136,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.006116599994129501,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010111477427328876,0.07481376943385959,955401.0078029465,333.9633203020055,333.96363961181913,333.9616173163336,333.961936626147,2,sparse_direct,not_applicable,3.097720492815727e-16,2.710505431213761e-16,0.0032608000037726015,0.002729700005147606,0.0,0.0,3.8859445997394515e-05,3.88488940763985e-05,6.892448265369171,6.8943203539136295,0.0018720885444585278,0.0,0.0,0.0,True,0.006378799997037277,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.00404459097093155,0.07481376943385959,955400.9732508656,333.9653958157932,333.9666730550473,333.95858387310545,333.9598611123593,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.0029245000041555613,0.002428499996312894,0.015625,0.0,3.8875288555791386e-05,3.883308085395425e-05,6.889639436979774,6.897127790742255,0.007488353762481026,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006111299997428432,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002022295485465775,0.037406884716929795,477700.5006410421,333.9606061685909,333.9612447882178,333.9640121399347,333.96465075956183,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.002627900001243688,0.0034487999946577474,0.0,0.0,3.884362104860226e-05,3.8864724892379825e-05,6.895256259009009,6.891512081961587,0.00374417704742136,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.00639309998950921,0.0,,
6,fixed_probe_b,central_difference,1.0,0.002022295485465775,0.14912599030805507,3009092.136150006,333.96074906542134,333.9646507595617,333.9606061685908,333.9645078627314,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.2100470675061434e-16,0.0027762999961851165,0.002812999999150634,0.0,0.015625,3.88546123753871e-05,3.885372696800469e-05,6.893305705132014,6.893462791317479,0.00015708618546472763,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0059412999980850145,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002022295485465775,0.20031435886806426,3324868.5603941665,333.961984617883,333.9646507595617,333.9606061685908,333.96327231026976,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.0033115999976871535,0.002192200001445599,0.0,0.0,3.885844051597254e-05,3.884989946455671e-05,6.892626610886663,6.89414193728609,0.001515326399426975,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.005829800007632002,0.0,,
8,requalification_step_2h,central_difference,2.0,0.00404459097093155,0.07481376943385959,955400.9732508656,333.9653958157932,333.9666730550473,333.95858387310545,333.9598611123593,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.0027849000034620985,0.0033957999985432252,0.0,0.0,3.8875288555791386e-05,3.883308085395425e-05,6.889639436979774,6.897127790742255,0.007488353762481026,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006626700007473119,0.015625,,
9,requalification_step_1h,central_difference,1.0,0.002022295485465775,0.07481376943385959,955401.0012820842,333.9640121399347,333.96465075956183,333.9606061685909,333.9612447882178,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0021763000113423914,0.0030623000056948513,0.0,0.0,3.8864724892379825e-05,3.884362104860226e-05,6.891512081961587,6.895256259009009,0.00374417704742136,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.005627000005915761,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0010111477427328876,0.07481376943385959,955401.0078029465,333.9633203020055,333.96363961181913,333.9616173163336,333.961936626147,2,sparse_direct,not_applicable,3.097720492815727e-16,2.710505431213761e-16,0.002471200001309626,0.0027375000063329935,0.0,0.0,3.8859445997394515e-05,3.88488940763985e-05,6.892448265369171,6.8943203539136295,0.0018720885444585278,0.0,0.0,0.0,True,0.005578199998126365,0.0,,
