call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002026487805584452,0.07481376943385959,1087668.253060775,334.65633631168413,334.65697625520096,334.65292327958974,334.65356322310805,2,sparse_direct,not_applicable,3.872150616019659e-16,3.097720492815727e-16,0.005662700001266785,0.003217000004951842,0.0,0.0,4.3890351919927087e-05,4.3861512273047765e-05,6.730583338285458,6.7350088046387295,0.004425466353271901,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.00936369999544695,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.001013243902792226,0.07481376943385959,1087668.2714240463,334.6556430395401,334.6559630112981,334.6539365234926,334.65425649525207,2,sparse_direct,not_applicable,5.421010862427522e-16,3.097720492815727e-16,0.004095800002687611,0.0021951999951852486,0.015625,0.0,4.388313774213253e-05,4.3868717919991624e-05,6.731689813969781,6.733902547198097,0.002212733228316388,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.0067478999990271404,0.015625,,
3,arpack_matvec,central_difference,1.0,0.002026487805584452,0.07481376943385959,1087668.253060775,334.65633631168413,334.65697625520096,334.65292327958974,334.65356322310805,2,sparse_direct,not_applicable,3.872150616019659e-16,3.097720492815727e-16,0.002896799996960908,0.002883499997551553,0.0,0.0,4.3890351919927087e-05,4.3861512273047765e-05,6.730583338285458,6.7350088046387295,0.004425466353271901,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.006110100002842955,0.0,,
4,arpack_matvec,central_difference,1.0,0.002026487805584452,0.12293701331730246,27734162.895797957,334.65292488720775,334.65697625520113,334.6529232795899,334.6569746475841,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.002863799993065186,0.002841399997123517,0.0,0.015625,4.387593003771048e-05,4.387592368502466e-05,6.73279566016833,6.732796634993061,9.74824731159174e-07,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.006087500005378388,0.015625,,
5,arpack_matvec,central_difference,1.0,0.002026487805584452,0.12990578127468236,7903395.383628881,334.6529232795903,334.6569136659168,334.6529858688741,334.6569762552015,2,sparse_direct,not_applicable,3.872150616019659e-16,3.097720492815727e-16,0.0031649000011384487,0.002638899997691624,0.0,0.0,4.387565149537794e-05,4.387620482374439e-05,6.732838402977697,6.732753494301342,8.490867635480015e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0060856999916723,0.0,,
6,arpack_matvec,central_difference,1.0,0.002026487805584452,0.1644835333460397,10352422.437153654,334.6529232795905,334.6569273786451,334.6529721561456,334.6569762552017,2,sparse_direct,not_applicable,2.710505431213761e-16,3.097720492815727e-16,0.0027987999928882346,0.0026664000033633783,0.0,0.0,4.387576268225256e-05,4.3876090714526146e-05,6.732821341091736,6.732771004276031,5.0336815704987714e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.005781200001365505,0.0,,
7,arpack_matvec,central_difference,1.0,0.002026487805584452,0.34206196124386995,45323809.04973786,334.6529232795903,334.6569654213407,334.6529341134502,334.6569762552015,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.097720492815727e-16,0.003386899988981895,0.004058899998199195,0.015625,0.0,4.387589155123149e-05,4.387596162968768e-05,6.732801565953707,6.732790812358298,1.0753595409696004e-05,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.007920899995951913,0.015625,,
8,arpack_matvec,central_difference,1.0,0.002026487805584452,0.2870106932353653,94837886.01579921,334.6529232795903,334.65696491560243,334.6529346191885,334.6569762552015,2,sparse_direct,not_applicable,3.1945242582162186e-16,2.710505431213761e-16,0.0027261999930487946,0.0027713000017683953,0.0,0.0,4.387589047776787e-05,4.387596259875181e-05,6.73280173067783,6.732790663654869,1.1067022960276063e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.005864300008397549,0.0,,
9,arpack_matvec,central_difference,1.0,0.002026487805584452,0.34252889842525913,59856377.88811027,334.6529232795901,334.6569586627866,334.65294087200476,334.6569762552013,2,sparse_direct,not_applicable,5.033795800825557e-16,2.710505431213761e-16,0.0028048000094713643,0.002308499999344349,0.0,0.015625,4.3875870742081576e-05,4.387598234687129e-05,6.732804759141096,6.732787633296406,1.712584469082401e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0054847000137669966,0.015625,,
10,arpack_matvec,central_difference,1.0,0.002026487805584452,0.2672101772307201,81611474.2180341,334.6529232795899,334.6569512356123,334.6529482991796,334.65697625520113,2,sparse_direct,not_applicable,2.323290369611795e-16,5.808225924029488e-16,0.0030381000105990097,0.002219000001787208,0.0,0.0,4.387584702308443e-05,4.387600612295271e-05,6.732808398851499,6.732783984848857,2.441400264174831e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006113600000389852,0.0,,
11,arpack_matvec,central_difference,1.0,0.002026487805584452,0.3032205202167347,71541604.14636122,334.65292327958986,334.65695477331053,334.6529447614813,334.6569762552011,2,sparse_direct,not_applicable,3.097720492815727e-16,2.323290369611795e-16,0.0022840000019641593,0.001955300002009608,0.0,0.0,4.387585821802999e-05,4.3875994937155676e-05,6.732806680972316,6.732785701312615,2.0979659701048092e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.004639699996914715,0.0,,
12,arpack_matvec,central_difference,1.0,0.002026487805584452,0.31491203476102164,71880665.10531713,334.65292327958974,334.6569674824791,334.6529320523131,334.65697625520096,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.002011000004131347,0.0024702999944565818,0.0,0.015625,4.3875897984494986e-05,4.3875955188239766e-05,6.732800578762823,6.732791800802222,8.77796060105851e-06,2.323290369611795e-16,7.744301232039318e-17,3.097720492815727e-16,True,0.004722199999378063,0.015625,,
13,arpack_matvec,central_difference,1.0,0.002026487805584452,0.3012725665433027,76631987.73357722,334.65292327958974,334.6569742781855,334.6529252566066,334.65697625520096,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.002527500008000061,0.003285600003437139,0.0,0.0,4.38759193347169e-05,4.387593376096103e-05,6.732797302551438,6.73279508883268,2.2137187576376505e-06,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.006136800002423115,0.0,,
14,arpack_matvec,central_difference,1.0,0.002026487805584452,0.33149985716622316,67036067.22483092,334.6529347690225,334.6569762552017,334.6529232795905,334.6569647657682,2,sparse_direct,not_applicable,2.323290369611795e-16,4.2593656776216244e-16,0.0021224999945843592,0.002390000008745119,0.0,0.0,4.387596185571996e-05,4.387589123589157e-05,6.732790777673518,6.732801614342949,1.0836669431135704e-05,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.004860900007770397,0.0,,
15,arpack_matvec,central_difference,1.0,0.002026487805584452,0.2841614349112467,74843365.98143773,334.65293904726525,334.6569762552017,334.6529232795905,334.65696048752545,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.0029704000044148415,0.0019185999990440905,0.015625,0.0,4.387597559675682e-05,4.387587754143129e-05,6.732788669104421,6.732803715772925,1.5046668504048455e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.005242500003078021,0.015625,,
16,arpack_matvec,central_difference,1.0,0.002026487805584452,0.298951838585465,63147210.86294959,334.65294450706494,334.65697625520096,334.65292327958974,334.65695502772724,2,sparse_direct,not_applicable,2.323290369611795e-16,5.033795800825557e-16,0.0028163000097265467,0.0034219999943161383,0.0,0.0,4.387599392236061e-05,4.3875859280922345e-05,6.732785857033251,6.7328065178701255,2.066083687424225e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006623099994612858,0.0,,
17,arpack_matvec,central_difference,1.0,0.002026487805584452,0.23772351552373702,76426498.26284572,334.6529421296024,334.6569762552015,334.6529232795903,334.6569574051885,2,sparse_direct,not_applicable,5.421010862427522e-16,3.097720492815727e-16,0.00217720000364352,0.00271059999067802,0.0,0.0,4.3875987355125627e-05,4.3875865839788764e-05,6.732786864777794,6.732805511403866,1.864662607165002e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.005232399998931214,0.0,,
18,arpack_matvec,central_difference,1.0,0.002026487805584452,0.29750687890444816,66669642.60708314,334.6529403917195,334.6569762552011,334.65292327958986,334.65695914307236,2,sparse_direct,not_applicable,2.710505431213761e-16,1.5488602464078636e-16,0.0023486999998567626,0.0022613000037381425,0.015625,0.0,4.387598375211952e-05,4.3875869394909806e-05,6.73278741766049,6.73280496586622,1.7548205729411848e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.004943500010995194,0.015625,,
19,arpack_matvec,central_difference,1.0,0.002026487805584452,0.21348680195230943,70169241.60598001,334.6529415703958,334.65697625520136,334.65292327959014,334.6569579643957,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.002733100001933053,0.0030178000015439466,0.0,0.0,4.38759890969547e-05,4.387586416728201e-05,6.732786597493474,6.732805768052091,1.917055861699879e-05,0.0,0.0,0.0,True,0.006134600000223145,0.0,,
20,arpack_matvec,central_difference,1.0,0.002026487805584452,0.26483263141360236,63012017.1471897,334.6529425149442,334.6569762552011,334.65292327958986,334.65695701984765,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.4849355544176928e-16,0.002298900013556704,0.0022151000011945143,0.0,0.0,4.387599516253338e-05,4.387585809596626e-05,6.732785666728333,6.7328066997031515,2.1032974818702144e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0048113000084413216,0.0,,
21,arpack_matvec,central_difference,1.0,0.002026487805584452,0.22234567207259454,63240319.606440805,334.65294047488743,334.65697625520096,334.65292327958974,334.65695905990464,2,sparse_direct,not_applicable,2.2264866042113036e-16,4.2593656776216244e-16,0.0026723000046331435,0.004416800002218224,0.015625,0.0,4.387598930529742e-05,4.387586397497924e-05,6.732786565523208,6.73280579756119,1.9232037982597205e-05,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.0075154999940423295,0.015625,,
22,arpack_matvec,central_difference,1.0,0.002026487805584452,0.20197430734261546,55110550.81824888,334.65294000806745,334.65697625520096,334.65292327958974,334.6569595267246,2,sparse_direct,not_applicable,1.9360753080098294e-16,3.4849355544176928e-16,0.0039803999970899895,0.0027723000093828887,0.0,0.0,4.3875991076802354e-05,4.387586262248046e-05,6.73278629368514,6.732806005103813,1.9711418673296066e-05,2.323290369611795e-16,0.0,2.323290369611795e-16,True,0.0072062999970512465,0.0,,
23,arpack_matvec,central_difference,1.0,0.002026487805584452,0.21352937150880366,65214880.15929213,334.6529288438592,334.65697625520096,334.65292327958974,334.656970690933,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.003025300000444986,0.002238999994006008,0.0,0.0,4.3875950163564516e-05,4.387590314864427e-05,6.73279257184176,6.732799786319025,7.2144772653714995e-06,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.005833699993672781,0.015625,,
24,arpack_matvec,central_difference,1.0,0.002026487805584452,0.24394694667444092,46998037.70598072,334.6529232795903,334.6569699923367,334.6529295424542,334.6569762552015,2,sparse_direct,not_applicable,5.421010862427522e-16,2.420094135012287e-16,0.002932399991550483,0.0033991999953286722,0.0,0.0,4.387590863007709e-05,4.387594483249174e-05,6.7327989451879615,6.73279338989838,5.5552895812382985e-06,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0067740999948000535,0.0,,
25,arpack_matvec,central_difference,1.0,0.002026487805584452,0.2070625955884859,62987930.309336245,334.65292327958974,334.6569634223398,334.6529361124524,334.65697625520096,2,sparse_direct,not_applicable,3.4849355544176928e-16,3.872150616019659e-16,0.00223349999578204,0.0025375999975949526,0.0,0.015625,4.3875883913509514e-05,4.387596944648027e-05,6.732802737970357,6.7327896128673235,1.3125103033750918e-05,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.005062500000349246,0.015625,,
26,arpack_matvec,central_difference,1.0,0.002026487805584452,0.29215134821579336,41532508.58467992,334.6529232795905,334.6569548999155,334.6529446348752,334.6569762552017,2,sparse_direct,not_applicable,5.808225924029488e-16,1.5488602464078636e-16,0.002815599989844486,0.0028347000043140724,0.0,0.0,4.387585217873815e-05,4.387600104946386e-05,6.732807607709518,6.732784763377065,2.284433245236528e-05,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.005985699986922555,0.0,,
27,arpack_matvec,central_difference,1.0,0.002026487805584452,0.3057886243912849,74138577.88348028,334.65292327958986,334.65696175094286,334.652937783849,334.6569762552011,2,sparse_direct,not_applicable,3.097720492815727e-16,5.033795800825557e-16,0.0028151000005891547,0.002746300000580959,0.0,0.0,4.3875874630389485e-05,4.3875978376346325e-05,6.732804162475657,6.732788242575158,1.591990049831793e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.0062975000037113205,0.0,,
28,arpack_matvec,central_difference,1.0,0.002026487805584452,0.29024000546821965,51841655.58696842,334.6529232795905,334.65695674746604,334.65294278732466,334.6569762552017,2,sparse_direct,not_applicable,2.710505431213761e-16,3.097720492815727e-16,0.0038678000128129497,0.0026541000115685165,0.015625,0.0,4.387585520442396e-05,4.387599800765679e-05,6.732807143414055,6.732785230143253,2.1913270802365048e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.006882200003019534,0.015625,,
29,arpack_matvec,central_difference,1.0,0.002026487805584452,0.3289968250311486,43811981.55987794,334.6529232795903,334.6569575399582,334.6529419948327,334.6569762552015,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.002919100006693043,0.0027916999970329925,0.0,0.0,4.387585445463256e-05,4.387599860090202e-05,6.732807258470525,6.732785139109593,2.211936093221567e-05,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.006119800003943965,0.0,,
