call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.001992175341751609,0.07481376943385959,844291.6595548934,328.7005533302211,328.9901728011917,328.69698838487267,328.9870272611784,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2584489502063891e-16,0.002551300000050105,0.0023631000076420605,0.0,0.0,4.300733473706212e-05,4.296786791085158e-05,4.278999210260434,4.282929554640955,0.003930344380520978,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.005292500005452894,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.001992175341751609,0.07481376943385959,844291.6595548934,328.7005533302211,328.9901728011917,328.69698838487267,328.9870272611784,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2584489502063891e-16,0.002770300008705817,0.002669399997103028,0.015625,0.0,4.300733473706212e-05,4.296786791085158e-05,4.278999210260434,4.282929554640955,0.003930344380520978,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.0059658999962266535,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009960876708758044,0.07481376943385959,844291.6711938836,328.69967374403217,328.9893747660402,328.697891271358,328.98780199603357,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.4036545983071262e-16,0.0029045999981462955,0.0029529000021284446,0.0,0.0,4.299746184672537e-05,4.297772843546306e-05,4.279981735464004,4.281946907725445,0.001965172261440884,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.006192799992277287,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003984350683503218,0.07481376943385959,844291.6132892043,328.7023125025989,328.99176887149474,328.6951826119021,328.98547779146816,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.003010899992659688,0.0019948999979533255,0.0,0.015625,4.302709289636626e-05,4.294815921446073e-05,4.277034282063629,4.284894969685505,0.007860687621875861,1.1616451848058975e-16,7.744301232039318e-17,3.872150616019659e-17,True,0.005335499998182058,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.001992175341751609,0.037406884716929795,422145.8297774467,328.69698838487267,328.9870272611784,328.7005533302211,328.9901728011917,2,sparse_direct,not_applicable,1.2584489502063891e-16,2.710505431213761e-16,0.0026511000032769516,0.0030694000015500933,0.0,0.0,4.296786791085158e-05,4.300733473706212e-05,4.282929554640955,4.278999210260434,0.003930344380520978,1.1616451848058975e-16,1.5488602464078636e-16,3.872150616019659e-17,True,0.0064464000024599954,0.0,,
6,fixed_probe_b,central_difference,1.0,0.001992175341751609,0.14912599030805507,2981458.72446788,328.69778944759923,328.9897222096524,328.6995871939428,328.9876429262694,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.0029252000094857067,0.0030879999976605177,0.0,0.0,4.298876132784019e-05,4.298642667718933e-05,4.280847963305129,4.281080461915883,0.00023249861075402833,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006438399999751709,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.001992175341751609,0.20031435886806426,3205583.3534632153,328.6987206148006,328.99000819254866,328.6987275224655,328.98728544764907,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.0019121999939670786,0.0034219999943161383,0.0,0.015625,4.299583406837723e-05,4.2979355874378065e-05,4.280143771199567,4.281784769254826,0.0016409980552589687,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.0056936000037239864,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.003984350683503218,0.07481376943385959,844291.6132892043,328.7023125025989,328.99176887149474,328.6951826119021,328.98547779146816,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.003012399989529513,0.0021961000020382926,0.0,0.0,4.302709289636626e-05,4.294815921446073e-05,4.277034282063629,4.284894969685505,0.007860687621875861,1.1616451848058975e-16,7.744301232039318e-17,3.872150616019659e-17,True,0.005838500001118518,0.0,,
9,requalification_step_1h,central_difference,1.0,0.001992175341751609,0.07481376943385959,844291.6595548934,328.7005533302211,328.9901728011917,328.69698838487267,328.9870272611784,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2584489502063891e-16,0.0031352999940281734,0.0022017000010237098,0.0,0.0,4.300733473706212e-05,4.296786791085158e-05,4.278999210260434,4.282929554640955,0.003930344380520978,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.006190700005390681,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0009960876708758044,0.07481376943385959,844291.6711938836,328.69967374403217,328.9893747660402,328.697891271358,328.98780199603357,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.4036545983071262e-16,0.0023569999902974814,0.002522900002077222,0.0,0.0,4.299746184672537e-05,4.297772843546306e-05,4.279981735464004,4.281946907725445,0.001965172261440884,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.005202800006372854,0.0,,
