call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.001992175341751609,0.07481376943385959,844291.6595548934,328.7005533302211,328.9901728011917,328.69698838487267,328.9870272611784,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2584489502063891e-16,0.007528900008765049,0.002373399998759851,0.0,0.0,4.300733473706212e-05,4.296786791085158e-05,4.278999210260434,4.282929554640955,0.003930344380520978,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.010660400002961978,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0009960876708758044,0.07481376943385959,844291.6711938836,328.69967374403217,328.9893747660402,328.697891271358,328.98780199603357,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.4036545983071262e-16,0.002307099988684058,0.0031336999963968992,0.015625,0.0,4.299746184672537e-05,4.297772843546306e-05,4.279981735464004,4.281946907725445,0.001965172261440884,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.005806899993331172,0.015625,,
3,arpack_matvec,central_difference,1.0,0.001992175341751609,0.07481376943385959,844291.6595548934,328.7005533302211,328.9901728011917,328.69698838487267,328.9870272611784,2,sparse_direct,not_applicable,2.710505431213761e-16,1.2584489502063891e-16,0.0030550999945262447,0.00355660000059288,0.0,0.0,4.300733473706212e-05,4.296786791085158e-05,4.278999210260434,4.282929554640955,0.003930344380520978,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.007053300010738894,0.0,,
4,arpack_matvec,central_difference,1.0,0.001992175341751609,0.11703279140482925,28158859.81600172,328.6990549429198,328.98831193822775,328.69853004182306,328.98884578855603,2,sparse_direct,not_applicable,2.1780847215110582e-16,1.5488602464078636e-16,0.0024547999928472564,0.0018819000106304884,0.0,0.0,4.2987556111941246e-05,4.298762952904107e-05,4.280967982829218,4.280960671510655,7.311318563019142e-06,0.0,0.0,0.0,True,0.004626099995221011,0.0,,
5,arpack_matvec,central_difference,1.0,0.001992175341751609,0.13692521583858944,5622007.3413811615,328.70015941716673,328.9870891651857,328.6974126709372,328.99008822406427,2,sparse_direct,not_applicable,2.710505431213761e-16,2.323290369611795e-16,0.00241279999318067,0.002922300001955591,0.015625,0.0,4.298680495619499e-05,4.298838550356219e-05,4.2810427888936164,4.280885388450925,0.00015740044269119124,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.005752199998823926,0.015625,,
6,arpack_matvec,central_difference,1.0,0.001992175341751609,0.19981400614080402,14253614.603801643,328.6990062768835,328.9882764522181,328.6985728347201,328.98889200636273,2,sparse_direct,not_applicable,4.64658073922359e-16,1.5488602464078636e-16,0.0028289000038057566,0.0029678999999305233,0.0,0.0,4.298728300111961e-05,4.298790341712076e-05,4.280995181074875,4.280933396300553,6.1784774321616e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.006250200007343665,0.0,,
7,arpack_matvec,central_difference,1.0,0.001992175341751609,0.37686017813243444,60956057.07615438,328.6988106077481,328.98853201001907,328.69876874346505,328.98864073023833,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0022225000138860196,0.002656799988471903,0.0,0.015625,4.2987528506526886e-05,4.2987657859287485e-05,4.280970731949699,4.2809578502201555,1.2881729543501308e-05,3.872150616019659e-17,1.1616451848058975e-16,7.744301232039318e-17,True,0.005153500009328127,0.015625,,
8,arpack_matvec,central_difference,1.0,0.001992175341751609,0.3788400105677291,78905901.74204321,328.69877792139823,328.9885601161484,328.6987962486229,328.9886198271769,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.0025120000063907355,0.0024127000069711357,0.0,0.0,4.2987544248182356e-05,4.2987641982138694e-05,4.280969164296382,4.2809594313584,9.73293798178787e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.005239799997070804,0.0,,
9,arpack_matvec,central_difference,1.0,0.001992175341751609,0.35179515165124425,79190071.42998043,328.69869509616547,328.98859444969526,328.6988631245228,328.9886197512605,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.002602099993964657,0.003914100001566112,0.0,0.0,4.298751470036283e-05,4.2987671629327566e-05,4.280972106855521,4.280956478920922,1.5627934598860804e-05,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.006900300009874627,0.0,,
10,arpack_matvec,central_difference,1.0,0.001992175341751609,0.3735313718610005,92903328.11874463,328.69867604367687,328.9886031041532,328.69888946578385,328.9886072452878,2,sparse_direct,not_applicable,2.323290369611795e-16,1.5488602464078636e-16,0.0036074999952688813,0.004827499986276962,0.015625,0.0,4.298751416203186e-05,4.298767211834321e-05,4.280972160465969,4.280956430221968,1.573024400070011e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.008818099988275208,0.015625,,
11,arpack_matvec,central_difference,1.0,0.001992175341751609,0.34015402738973444,55722471.55281862,328.6984537129116,328.98863456252485,328.6989662320646,328.9885777073188,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.1858461261560205e-16,0.006543100011185743,0.0024504000029992312,0.0,0.015625,4.298746534958415e-05,4.2987721065315875e-05,4.280977021527862,4.280951555810108,2.5465717754080686e-05,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.009541199993691407,0.015625,,
12,arpack_matvec,central_difference,1.0,0.001992175341751609,0.2799760075411693,85979932.0263881,328.6985586602957,328.98861189304915,328.698981651863,328.9885444233178,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.621463070458232e-16,0.00323059999209363,0.002980700010084547,0.0,0.0,4.29875064260894e-05,4.298767978648317e-05,4.280972930860836,4.280955666585195,1.726427564108235e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006563299990375526,0.0,,
13,arpack_matvec,central_difference,1.0,0.001992175341751609,0.3274085304195041,58469478.58270281,328.69842425346684,328.98866898630735,328.6990256479213,328.98855934275696,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.1616451848058975e-16,0.0028512999997474253,0.005426899995654821,0.0,0.015625,4.298750974356129e-05,4.298767674208878e-05,4.28097260048563,4.280955969763184,1.663072244628694e-05,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.008772999994107522,0.015625,,
14,arpack_matvec,central_difference,1.0,0.001992175341751609,0.2383630204139913,84760033.45100181,328.69835010641043,328.98870156227724,328.6990330411463,328.9885945870342,2,sparse_direct,not_applicable,2.323290369611795e-16,1.5488602464078636e-16,0.0028615999908652157,0.003073900006711483,0.0,0.0,4.298753794660219e-05,4.298764836777095e-05,4.280969791847334,4.280958795440092,1.0996407242558348e-05,1.1616451848058975e-16,3.872150616019659e-17,1.5488602464078636e-16,True,0.006337099999655038,0.0,,
15,arpack_matvec,central_difference,1.0,0.001992175341751609,0.3148135623927501,59675912.92489474,328.69816683940246,328.98875109697104,328.6991212998918,328.98862398597527,2,sparse_direct,not_applicable,1.2826498915565119e-16,1.5488602464078636e-16,0.002878900006180629,0.0026196999970125034,0.0,0.0,4.2987545191416156e-05,4.298764142496668e-05,4.280969070363248,4.28095948684483,9.583518417954906e-06,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.005890299988095649,0.0,,
16,arpack_matvec,central_difference,1.0,0.001992175341751609,0.2577592158134605,75290508.95734954,328.69816179430677,328.9887105451878,328.69917202790197,328.98862927638953,2,sparse_direct,not_applicable,2.323290369611795e-16,2.710505431213761e-16,0.003501200000755489,0.0022224999993341044,0.0,0.0,4.298757070075648e-05,4.298761574548039e-05,4.280966529984828,4.280962044159037,4.485825790823128e-06,3.872150616019659e-17,7.744301232039318e-17,1.1616451848058975e-16,True,0.006011999998008832,0.0,,
17,arpack_matvec,central_difference,1.0,0.001992175341751609,0.2667636573888315,60767905.22810725,328.6980572000835,328.98868568869835,328.6992969040516,328.9886325671461,2,sparse_direct,not_applicable,1.2584489502063891e-16,1.9360753080098294e-16,0.0024633000139147043,0.0025569999997969717,0.0,0.0,4.298758474523102e-05,4.2987601929301555e-05,4.280965131350181,4.280963420056611,1.7112935699614695e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.005421800000476651,0.0,,
18,arpack_matvec,central_difference,1.0,0.001992175341751609,0.2967842152105979,77658699.98889737,328.69843723708493,328.9885820445627,328.6991065210367,328.98862501486985,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.097720492815727e-16,0.003358500005560927,0.0032579999970039353,0.0,0.015625,4.298761288113983e-05,4.2987573451633184e-05,4.280962329407099,4.280966256035635,3.926628536099486e-06,7.744301232039318e-17,1.9360753080098294e-16,1.1616451848058975e-16,True,0.007136300002457574,0.015625,,
