call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0019933275626433764,0.07481376943385959,854139.4453872028,328.5728194667506,329.1806617347919,328.5696721074412,329.17709472757457,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0052617000037571415,0.004702899997937493,0.015625,0.0,4.2764022739685805e-05,4.2724707342365046e-05,4.274950033070715,4.278883854260636,0.00393382118992136,0.0,0.0,0.0,True,0.01053269999101758,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0019933275626433764,0.07481376943385959,854139.4453872028,328.5728194667506,329.1806617347919,328.5696721074412,329.17709472757457,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.005375600012484938,0.0050725000037346035,0.0,0.015625,4.2764022739685805e-05,4.2724707342365046e-05,4.274950033070715,4.278883854260636,0.00393382118992136,0.0,0.0,0.0,True,0.011587900007725693,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0009966637813216882,0.07481376943385959,854139.4578423328,328.5720442838096,329.1797583261012,328.5704706041549,329.1779748224926,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.2826498915565119e-16,0.00578049999603536,0.005357400004868396,0.0,0.0,4.2754187691855585e-05,4.273452999505437e-05,4.275933430027057,4.277900340694364,0.0019669106673072534,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.011802900000475347,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.003986655125286753,0.07481376943385959,854139.3961805383,328.57436983263267,329.18246855217325,328.5680751140138,329.1753345377386,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.005124499992234632,0.0033583000040380284,0.015625,0.0,4.27837052435061e-05,4.270507441912111e-05,4.272983356274524,4.280850997496494,0.0078676412219707,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.009060500000487082,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0019933275626433764,0.037406884716929795,427069.7226936014,328.5696721074412,329.17709472757457,328.5728194667506,329.1806617347919,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.004460399999516085,0.0051451000035740435,0.0,0.015625,4.2724707342365046e-05,4.2764022739685805e-05,4.278883854260636,4.274950033070715,0.00393382118992136,0.0,0.0,0.0,True,0.010350099997594953,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.0019933275626433764,0.14912599030805507,2933053.3043085807,328.57220344557544,329.1780614226402,328.57012295959055,329.1798602087521,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.00441589999536518,0.00575760001083836,0.0,0.0,4.27444975067545e-05,4.2744217843328116e-05,4.276902784887535,4.276930767462664,2.7982575129037457e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.011056499992264435,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0019933275626433764,0.20031435886806426,3154614.3393319147,328.5725611309518,329.1789215913285,328.56983681128946,329.1789285029885,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.003108300006715581,0.003894000008585863,0.015625,0.0,4.2751804291772165e-05,4.273691250924208e-05,4.276171812014967,4.277661854625603,0.001490042610636344,1.1616451848058975e-16,7.744301232039318e-17,1.9360753080098294e-16,True,0.0075890000007348135,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.003986655125286753,0.07481376943385959,854139.3961805383,328.57436983263267,329.18246855217325,328.5680751140138,329.1753345377386,2,sparse_direct,not_applicable,1.1616451848058975e-16,2.323290369611795e-16,0.004894700003205799,0.005549499997869134,0.0,0.0,4.27837052435061e-05,4.270507441912111e-05,4.272983356274524,4.280850997496494,0.0078676412219707,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.011516999991727062,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0019933275626433764,0.07481376943385959,854139.4453872028,328.5728194667506,329.1806617347919,328.5696721074412,329.17709472757457,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.005049100000178441,0.0034392999950796366,0.0,0.0,4.2764022739685805e-05,4.2724707342365046e-05,4.274950033070715,4.278883854260636,0.00393382118992136,0.0,0.0,0.0,True,0.00915250000252854,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0009966637813216882,0.07481376943385959,854139.4578423328,328.5720442838096,329.1797583261012,328.5704706041549,329.1779748224926,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.2826498915565119e-16,0.004988699991372414,0.004710599998361431,0.0,0.015625,4.2754187691855585e-05,4.273452999505437e-05,4.275933430027057,4.277900340694364,0.0019669106673072534,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.010156799995456822,0.015625,,
11,requalification_step_0.25h,central_difference,0.25,0.0004983318906608441,0.07481376943385959,854139.4607568777,328.5716566923391,329.17930662175587,328.5708698525117,329.1784148699516,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.9360753080098294e-16,0.004830899997614324,0.0031276999943656847,0.0,0.0,4.274927171814645e-05,4.2739442869978386e-05,4.276425143113133,4.277408598455815,0.0009834553426824044,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.008618200008640997,0.0,,
