call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0019933275626433764,0.07481376943385959,854139.4453872028,328.5728194667506,329.1806617347919,328.5696721074412,329.17709472757457,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.0035188999900128692,0.0039262999925995246,0.0,0.0,4.2764022739685805e-05,4.2724707342365046e-05,4.274950033070715,4.278883854260636,0.00393382118992136,0.0,0.0,0.0,True,0.007966599994688295,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0009966637813216882,0.07481376943385959,854139.4578423328,328.5720442838096,329.1797583261012,328.5704706041549,329.1779748224926,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.2826498915565119e-16,0.003698700005770661,0.004058399994391948,0.015625,0.0,4.2754187691855585e-05,4.273452999505437e-05,4.275933430027057,4.277900340694364,0.0019669106673072534,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.008537499990779907,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.07481376943385959,854139.4453872028,328.5728194667506,329.1806617347919,328.5696721074412,329.17709472757457,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.004039499995997176,0.00499889999628067,0.0,0.015625,4.2764022739685805e-05,4.2724707342365046e-05,4.274950033070715,4.278883854260636,0.00393382118992136,0.0,0.0,0.0,True,0.009842100000241771,0.015625,,
4,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.11673709241594092,28284876.736655485,328.5710499279107,329.17909481869845,328.57148193984756,329.17862463868255,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.00449069999740459,0.0036422999983187765,0.0,0.0,4.2744575073153406e-05,4.274413792820814e-05,4.276895023810324,4.2769387636804375,4.373987011341285e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.009358399998745881,0.0,,
5,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.14380395973161786,5471223.608494119,328.56987079799177,329.1802713544314,328.57263099146877,329.1774974973691,2,sparse_direct,not_applicable,1.645664011808355e-16,3.097720492815727e-16,0.004443900004844181,0.00422699999762699,0.015625,0.0,4.2745041557659384e-05,4.274367566256465e-05,4.276848349267743,4.276985018051853,0.00013666878411022765,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.009338400006527081,0.015625,,
6,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.22855467244995356,17669459.617209353,328.5709884121818,329.17918497507094,328.57153817768784,329.1785502318657,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.7666687185589693e-16,0.005295999988447875,0.0037447000067913905,0.0,0.0,4.274442543556051e-05,4.274428840028714e-05,4.276909996155137,4.2769237076368904,1.37114817535533e-05,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.009607900006812997,0.0,,
7,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.35021305243360046,64623533.2656004,328.5712245247567,329.17893754368293,328.57130974706814,329.1787938438175,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.004613299999618903,0.003298800002085045,0.015625,0.0,4.274436115881955e-05,4.2744352447891994e-05,4.276916427549325,4.276917299147724,8.715983987883646e-07,1.5488602464078636e-16,1.1616451848058975e-16,3.872150616019659e-17,True,0.008698299992829561,0.015625,,
8,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.4014217281011011,66214104.735744655,328.57126010590156,329.1789265659566,328.57126736773273,329.178818991558,2,sparse_direct,not_applicable,1.1616451848058975e-16,1.5488602464078636e-16,0.004242900002282113,0.004169799998635426,0.0,0.015625,4.274434892292823e-05,4.274436481816371e-05,4.276917651848815,4.2769160614026,1.5904462147275922e-06,1.1616451848058975e-16,1.5488602464078636e-16,2.710505431213761e-16,True,0.009391700004925951,0.015625,,
9,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.35269030516676253,77827769.23128402,328.57134824139365,329.1789444255579,328.57116999487334,329.17884555467646,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.0027139000012539327,0.00609309998981189,0.0,0.0,4.274432572163063e-05,4.274438799448333e-05,4.276919973327457,4.276913742427449,6.2309000083971e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.009418399989954196,0.0,,
10,arpack_matvec,central_difference,1.0,0.0019933275626433764,0.36364076004074897,91778393.85979292,328.5713779830937,329.17893904943,328.5711483230522,329.1788494897518,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.710505431213761e-16,0.003119400003924966,0.003184600005624816,0.015625,0.0,4.274432340695188e-05,4.274439028383417e-05,4.276920204930041,4.276913513359822,6.6915702197078986e-06,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.007094499989761971,0.015625,,
