call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.00201844322241424,0.07481376943385959,843610.8459246227,333.03990486135643,333.32829389431276,333.03671784574215,333.3246819432831,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.002331299998331815,0.0024314999900525436,0.0,0.015625,3.468349044435906e-05,3.466831298130317e-05,6.96400930244749,6.967058080562705,0.0030487781152146454,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005132800011779182,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.00201844322241424,0.07481376943385959,843610.8459246227,333.03990486135643,333.32829389431276,333.03671784574215,333.3246819432831,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0025751000066520646,0.002743299992289394,0.0,0.0,3.468349044435906e-05,3.466831298130317e-05,6.96400930244749,6.967058080562705,0.0030487781152146454,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005730999997467734,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.00100922161120712,0.07481376943385959,843610.8436151801,333.0391199112144,333.3273791027938,333.0375264034073,333.325573127279,2,sparse_direct,not_applicable,1.790869659909092e-16,1.9360753080098294e-16,0.002846300005330704,0.0028996999899391085,0.0,0.0,3.467969415567223e-05,3.4672105424727294e-05,6.964771632980487,6.966296022035267,0.0015243890547793626,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.006090900002163835,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.00403688644482848,0.07481376943385959,843610.8525797277,333.04147476164053,333.33012347735064,333.0351007304119,333.3228995752914,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.003157899991492741,0.0035995999933220446,0.015625,0.0,3.469108687107908e-05,3.4660731935638235e-05,6.96248436935617,6.96858192563202,0.006097556275849847,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.007105500000761822,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.00201844322241424,0.037406884716929795,421805.42296231136,333.03671784574215,333.3246819432831,333.03990486135643,333.32829389431276,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.0036903000000165775,0.0028430999955162406,0.0,0.0,3.466831298130317e-05,3.468349044435906e-05,6.967058080562705,6.96400930244749,0.0030487781152146454,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006927899987204,0.0,,
6,fixed_probe_b,central_difference,1.0,0.00201844322241424,0.14912599030805507,2953208.938711864,333.03928107839715,333.32566081857686,333.037174378568,333.3274822691524,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.420094135012287e-16,0.003806699998676777,0.004115300005651079,0.015625,0.0,3.4676115080121144e-05,3.467568406947232e-05,6.965490497934445,6.965577077353408,8.657941896306198e-05,1.1616451848058975e-16,3.872150616019659e-17,7.744301232039318e-17,True,0.00840799999423325,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.00201844322241424,0.20031435886806426,3183876.896883995,333.03964327056127,333.32653182527514,333.0368846248367,333.32653882402127,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.005890899992664345,0.006966500004637055,0.0,0.015625,3.467889443167961e-05,3.467290505556621e-05,6.964932246375732,6.966135364451967,0.0012031180762344107,0.0,0.0,0.0,True,0.013397199989412911,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.00403688644482848,0.07481376943385959,843610.8525797277,333.04147476164053,333.33012347735064,333.0351007304119,333.3228995752914,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.0023637999984202906,0.004289100004825741,0.0,0.015625,3.469108687107908e-05,3.4660731935638235e-05,6.96248436935617,6.96858192563202,0.006097556275849847,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.007302900005015545,0.015625,,
9,requalification_step_1h,central_difference,1.0,0.00201844322241424,0.07481376943385959,843610.8459246227,333.03990486135643,333.32829389431276,333.03671784574215,333.3246819432831,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.00255799999285955,0.001994400008697994,0.0,0.0,3.468349044435906e-05,3.466831298130317e-05,6.96400930244749,6.967058080562705,0.0030487781152146454,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.004982499987818301,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.00100922161120712,0.07481376943385959,843610.8436151801,333.0391199112144,333.3273791027938,333.0375264034073,333.325573127279,2,sparse_direct,not_applicable,1.790869659909092e-16,1.9360753080098294e-16,0.0036345999978948385,0.002151900000171736,0.0,0.0,3.467969415567223e-05,3.4672105424727294e-05,6.964771632980487,6.966296022035267,0.0015243890547793626,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.006215700006578118,0.0,,
