call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0020184432224120367,0.07481376943385959,851607.6421215431,333.0401173293615,333.32808142624117,333.0365053783319,333.3248944106269,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.003031800006283447,0.003981700006988831,0.0,0.0,3.468346826686645e-05,3.46683351189685e-05,6.964013755439797,6.9670536317350615,0.0030398762952641434,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.007528100002673455,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0020184432224120367,0.07481376943385959,851607.6421215431,333.0401173293615,333.32808142624117,333.0365053783319,333.3248944106269,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.0030205999937606975,0.004905199995846488,0.0,0.015625,3.468346826686645e-05,3.46683351189685e-05,6.964013755439797,6.9670536317350615,0.0030398762952641434,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.008572200007620268,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010092216112060183,0.07481376943385959,851607.6410291246,333.03922614536566,333.327272868576,333.03742016985086,333.3256793607689,2,sparse_direct,not_applicable,2.710505431213761e-16,2.323290369611795e-16,0.003974699997343123,0.00426329999754671,0.0,0.0,3.467968307199819e-05,3.467211649862536e-05,6.9647738589584725,6.966293797103324,0.0015199381448516291,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.008821800001896918,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004036886444824073,0.07481376943385959,851607.6438778937,333.04189969735324,333.3296985415714,333.0346757952941,333.3233245103428,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0029678999999305233,0.005003399986890145,0.015625,0.0,3.4691042475849244e-05,3.466077617083526e-05,6.9624932794962024,6.9685730321311805,0.006079752634978064,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00863250000111293,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0020184432224120367,0.037406884716929795,425803.82106077153,333.0365053783319,333.3248944106269,333.0401173293615,333.32808142624117,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.0032473000028403476,0.002021799999056384,0.0,0.0,3.46683351189685e-05,3.468346826686645e-05,6.9670536317350615,6.964013755439797,0.0030398762952641434,0.0,1.1616451848058975e-16,1.1616451848058975e-16,True,0.005662299998220988,0.0,,
6,fixed_probe_b,central_difference,1.0,0.0020184432224120367,0.14912599030805507,2976575.385986296,333.03731700349226,333.3276248934153,333.03913845406777,333.32551819358616,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.1616451848058975e-16,0.0021990999957779422,0.005149999997229315,0.0,0.015625,3.467631991506458e-05,3.467547925030999e-05,6.965449352423528,6.9656182212581355,0.0001688688346073164,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.0077859000011812896,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0020184432224120367,0.20031435886806426,3193138.880357999,333.0382604486234,333.3279146471466,333.0382674473695,333.32515600142204,2,sparse_direct,not_applicable,4.2593656776216244e-16,1.9360753080098294e-16,0.004114000010304153,0.002268800002639182,0.0,0.0,3.4679038694639755e-05,3.467276089838928e-05,6.964903272654765,6.966164327226627,0.001261054571862097,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.006938199992873706,0.0,,
8,requalification_step_2h,central_difference,2.0,0.004036886444824073,0.07481376943385959,851607.6438778937,333.04189969735324,333.3296985415714,333.0346757952941,333.3233245103428,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.005229099988355301,0.0027276000037090853,0.0,0.0,3.4691042475849244e-05,3.466077617083526e-05,6.9624932794962024,6.9685730321311805,0.006079752634978064,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.008601900000940077,0.0,,
9,requalification_step_1h,central_difference,1.0,0.0020184432224120367,0.07481376943385959,851607.6421215431,333.0401173293615,333.32808142624117,333.0365053783319,333.3248944106269,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.0025734999944688752,0.004367999994428828,0.0,0.015625,3.468346826686645e-05,3.46683351189685e-05,6.964013755439797,6.9670536317350615,0.0030398762952641434,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.0073712000012164935,0.015625,,
10,requalification_step_0.5h,central_difference,0.5,0.0010092216112060183,0.07481376943385959,851607.6410291246,333.03922614536566,333.327272868576,333.03742016985086,333.3256793607689,2,sparse_direct,not_applicable,2.710505431213761e-16,2.323290369611795e-16,0.005015400005504489,0.0033688999974401668,0.0,0.0,3.467968307199819e-05,3.467211649862536e-05,6.9647738589584725,6.966293797103324,0.0015199381448516291,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.00921639999432955,0.0,,
11,requalification_step_0.25h,central_difference,0.25,0.0005046108056030092,0.07481376943385959,851607.6415117255,333.0387805533677,333.32686858974347,333.03787756561036,333.32607183583997,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.9360753080098294e-16,0.002118400007020682,0.0033857000089483336,0.0,0.015625,3.4677790951717534e-05,3.467400766510314e-05,6.965153877105738,6.965913846177815,0.0007599690720772045,3.872150616019659e-17,1.1616451848058975e-16,7.744301232039318e-17,True,0.005907700004172511,0.015625,,
