call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0020184432224120367,0.07481376943385959,851607.6421215431,333.0401173293615,333.32808142624117,333.0365053783319,333.3248944106269,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.003019199997652322,0.0032943999976851046,0.0,0.0,3.468346826686645e-05,3.46683351189685e-05,6.964013755439797,6.9670536317350615,0.0030398762952641434,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.006702200000290759,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0010092216112060183,0.07481376943385959,851607.6410291246,333.03922614536566,333.327272868576,333.03742016985086,333.3256793607689,2,sparse_direct,not_applicable,2.710505431213761e-16,2.323290369611795e-16,0.003296399998362176,0.002396100011537783,0.0,0.0,3.467968307199819e-05,3.467211649862536e-05,6.9647738589584725,6.966293797103324,0.0015199381448516291,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.006144400002085604,0.0,,
3,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.07481376943385959,851607.6421215431,333.0401173293615,333.32808142624117,333.0365053783319,333.3248944106269,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.0029309999954421073,0.0028149999998277053,0.015625,0.0,3.468346826686645e-05,3.46683351189685e-05,6.964013755439797,6.9670536317350615,0.0030398762952641434,1.1616451848058975e-16,0.0,1.1616451848058975e-16,True,0.0062692000064998865,0.015625,,
4,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.11353589087040868,28278385.262600757,333.03856324908185,333.32625002475976,333.03810380099395,333.3266819330799,2,sparse_direct,not_applicable,1.645664011808355e-16,1.5488602464078636e-16,0.002504100004443899,0.0024550999951316044,0.0,0.0,3.467590601148493e-05,3.467589308221986e-05,6.965532494430543,6.965535091601313,2.5971707700023217e-06,3.872150616019659e-17,7.744301232039318e-17,3.872150616019659e-17,True,0.0053521000081673265,0.0,,
5,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.14140128209041464,5036634.349351523,333.03974024437844,333.3250266512548,333.03691336711023,333.3279245621436,2,sparse_direct,not_applicable,1.5972621291081093e-16,1.5488602464078636e-16,0.0026350000116508454,0.002045200002612546,0.0,0.0,3.467566628385137e-05,3.4676133283123583e-05,6.965580650120118,6.965486841474626,9.380864549157764e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.005028700004913844,0.0,,
6,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.20097019118553425,14037679.144421065,333.0386584523017,333.3260902764113,333.0380059568155,333.32684817841005,2,sparse_direct,not_applicable,1.984477190710075e-16,2.323290369611795e-16,0.002532500002416782,0.002628100002766587,0.0,0.0,3.467577724824923e-05,3.467602141544913e-05,6.965558359878227,6.965509312703522,4.904717470566311e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.005626199999824166,0.0,,
7,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.38209894658240423,59015079.12034536,333.0383693935356,333.326412060625,333.0382896270245,333.3265354075902,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0027642000059131533,0.0027157000004081056,0.0,0.0,3.467587272190115e-05,3.4675925702728985e-05,6.965539181491583,6.965528538948532,1.0642543051275766e-05,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.005866599996807054,0.0,,
8,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.37257173008851285,83698389.04496339,333.03832461832593,333.32645403117107,333.0383294411328,333.3265001088257,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.4849355544176928e-16,0.0027147999935550615,0.002334100005100481,0.0,0.015625,3.4675880326150155e-05,3.467591806523411e-05,6.965537653983302,6.965530073131085,7.580852216193534e-06,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005360600000130944,0.015625,,
9,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.3552288242406901,78935740.2464385,333.03824404014665,333.3265044712157,333.03839247800016,333.32648154236693,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0020864999969489872,0.002497399997082539,0.0,0.0,3.4675868408347384e-05,3.467593001499933e-05,6.965540047979696,6.96552767272109,1.2375258605423767e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.00523819999943953,0.0,,
10,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.3776232008245801,92429479.3400937,333.0382240678593,333.32651767144426,333.03842007787324,333.32646339886435,2,sparse_direct,not_applicable,3.097720492815727e-16,2.710505431213761e-16,0.0025764000019989908,0.0024945000041043386,0.0,0.0,3.4675868458691757e-05,3.4675929942421716e-05,6.965540037866734,6.965527687300119,1.2350566614749425e-05,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.005441100001917221,0.0,,
11,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.3406006445816037,56539339.0009463,333.0380306674157,333.32657859956936,333.03851974629424,333.3264029754831,2,sparse_direct,not_applicable,2.323290369611795e-16,2.323290369611795e-16,0.0023166000028140843,0.00238020000688266,0.0,0.015625,3.46758480096397e-05,3.4675950435839585e-05,6.9655441455872085,6.9655235706870835,2.0574900124969986e-05,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.00500629999442026,0.015625,,
12,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.2853538733705634,87033761.3679269,333.0381111818272,333.3265458241026,333.0385158837557,333.32638466710614,2,sparse_direct,not_applicable,2.323290369611795e-16,2.710505431213761e-16,0.0030876999953761697,0.0025363000022480264,0.0,0.0,3.467586432537573e-05,3.4675934126616976e-05,6.965540868149665,6.965526846799966,1.40213496990782e-05,3.872150616019659e-17,3.872150616019659e-17,7.744301232039318e-17,True,0.005954200009000488,0.0,,
13,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.32969389034991625,59026339.64383548,333.0379758458008,333.3266214493415,333.03855967969224,333.32638898903724,2,sparse_direct,not_applicable,2.323290369611795e-16,1.9360753080098294e-16,0.0027343999972799793,0.0030267000111052766,0.0,0.0,3.467586418166702e-05,3.4675934282007705e-05,6.965540897017263,6.96552681558586,1.4081431403134559e-05,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.006155600000056438,0.0,,
14,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.2358719986571154,84731138.04331736,333.0378943162305,333.3266616072376,333.0385672750278,333.32642165345226,2,sparse_direct,not_applicable,1.5488602464078636e-16,1.5488602464078636e-16,0.002310399999259971,0.0032038999925134704,0.0,0.015625,3.467587409284123e-05,3.4675924444157206e-05,6.965538906103087,6.965528791764219,1.0114338868660866e-05,3.872150616019659e-17,1.5488602464078636e-16,1.1616451848058975e-16,True,0.005838100012624636,0.015625,,
15,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.3257118266465452,60403683.57595108,333.0377266941111,333.32673028299706,333.0386421833567,333.3264325037845,2,sparse_direct,not_applicable,1.6940658945086007e-16,1.5488602464078636e-16,0.002186099998652935,0.0026194999954896048,0.0,0.0,3.467587592256422e-05,3.4675922561972274e-05,6.965538538556303,6.965529169848271,9.368708032475581e-06,3.872150616019659e-17,3.872150616019659e-17,0.0,True,0.005179199986741878,0.0,,
16,arpack_matvec,central_difference,1.0,0.0020184432224120367,0.26056858327532145,74743731.61056845,333.0376833167484,333.32670985386727,333.03870806753145,333.3264334595069,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.0024222000065492466,0.0024465000024065375,0.0,0.0,3.467588403782707e-05,3.467591448048395e-05,6.96553690839812,6.9655307932183685,6.115179751020605e-06,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.005246599990641698,0.0,,
