call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002019505111991313,0.07481376943385959,842441.8516145779,332.90948711961823,333.5036556964676,332.90629842733614,333.5000418452145,2,sparse_direct,not_applicable,1.5972621291081093e-16,2.0328790734103208e-16,0.0023548000026494265,0.0030695000023115426,0.0,0.0,3.460189888009469e-05,3.458678766758529e-05,6.961734872682613,6.964776503958299,0.0030416312756855746,1.5488602464078636e-16,3.872150616019659e-17,1.9360753080098294e-16,True,0.005810899994685315,0.0,,
2,parent_h_half_probe,central_difference,0.5,0.0010097525559956565,0.07481376943385959,842441.8521586022,332.9087017565191,333.5027404236829,332.90710741037805,333.5009334980564,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.0027240000054007396,0.0030005000007804483,0.0,0.0,3.459811916065298e-05,3.45905635549807e-05,6.962495417049899,6.964016232684563,0.0015208156346639967,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.006187899998622015,0.0,,
3,arpack_matvec,central_difference,1.0,0.002019505111991313,0.07481376943385959,842441.8516145779,332.90948711961823,333.5036556964676,332.90629842733614,333.5000418452145,2,sparse_direct,not_applicable,1.5972621291081093e-16,2.0328790734103208e-16,0.0035302999895066023,0.002820699999574572,0.015625,0.0,3.460189888009469e-05,3.458678766758529e-05,6.961734872682613,6.964776503958299,0.0030416312756855746,1.5488602464078636e-16,3.872150616019659e-17,1.9360753080098294e-16,True,0.007043999998131767,0.015625,,
4,arpack_matvec,central_difference,1.0,0.002019505111991313,0.12274407009147797,27969705.117241267,332.9076235119576,333.5021770554588,332.9082043848845,333.50148002293207,2,sparse_direct,not_applicable,1.9360753080098294e-16,2.323290369611795e-16,0.003354200001922436,0.0034275000070920214,0.0,0.0,3.4594423248938665e-05,3.4594258895040776e-05,6.963239258569891,6.963272340229988,3.308166009752256e-05,3.872150616019659e-17,1.1616451848058975e-16,1.5488602464078636e-16,True,0.007291399990208447,0.0,,
5,arpack_matvec,central_difference,1.0,0.002019505111991313,0.14143943048334712,6574410.401057655,332.9066071340781,333.5033174319829,332.90920601868135,333.5003625206224,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0055232000013347715,0.004851200006669387,0.015625,0.0,3.459452592038126e-05,3.459415688266019e-05,6.963218592704387,6.963292873755071,7.428105068374435e-05,3.872150616019659e-17,0.0,3.872150616019659e-17,True,0.011006600005202927,0.015625,,
6,arpack_matvec,central_difference,1.0,0.002019505111991313,0.20245190369331348,15211960.651461381,332.90775612109553,333.50211028835247,332.9080616110597,333.5015685518031,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.9360753080098294e-16,0.0028673000051639974,0.002228800003649667,0.0,0.0,3.459432772975888e-05,3.459435402378148e-05,6.963258484927108,6.9632531923849825,5.2925421254457206e-06,3.872150616019659e-17,1.5488602464078636e-16,1.9360753080098294e-16,True,0.005534900003112853,0.0,,
7,arpack_matvec,central_difference,1.0,0.002019505111991313,0.35736775537684445,63654817.78443429,332.90790222437187,333.501896866188,332.90792497951315,333.5017751748973,2,sparse_direct,not_applicable,1.9360753080098294e-16,1.5488602464078636e-16,0.0032945999992080033,0.0031254000059561804,0.015625,0.0,3.459433395942777e-05,3.459434759395445e-05,6.963257230999376,6.963254486599695,2.744399680842946e-06,7.744301232039318e-17,3.872150616019659e-17,3.872150616019659e-17,True,0.007099199996446259,0.015625,,
8,arpack_matvec,central_difference,1.0,0.002019505111991313,0.38957406459870547,70495494.13657433,332.9079254212255,333.50189502615336,332.907895326036,333.50178779813024,2,sparse_direct,not_applicable,1.645664011808355e-16,2.710505431213761e-16,0.002550000004703179,0.002458999995724298,0.0,0.0,3.459433197931179e-05,3.459434956541604e-05,6.9632576295634205,6.9632540897779895,3.5397854309948684e-06,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.005406599986599758,0.0,,
9,arpack_matvec,central_difference,1.0,0.002019505111991313,0.3449668855039794,78259724.99172103,332.90800738220514,333.50193788530123,332.90780082316076,333.5017864011013,2,sparse_direct,not_applicable,2.710505431213761e-16,1.9360753080098294e-16,0.0033100000000558794,0.0032937999931164086,0.0,0.015625,3.4594321507326426e-05,3.459436006290319e-05,6.963259737398719,6.963251976813039,7.760585679861265e-06,1.1616451848058975e-16,1.1616451848058975e-16,0.0,True,0.00706430000718683,0.015625,,
10,arpack_matvec,central_difference,1.0,0.002019505111991313,0.3594441076496605,92553386.92866957,332.90803617221394,333.501935189399,332.90777990755504,333.50178658233074,2,sparse_direct,not_applicable,1.5488602464078636e-16,2.323290369611795e-16,0.002890800009481609,0.002488800004357472,0.0,0.0,3.4594320573842585e-05,3.4594360982864065e-05,6.963259925293447,6.963251791640681,8.133652766417754e-06,0.0,1.1616451848058975e-16,1.1616451848058975e-16,True,0.005758600003900938,0.0,,
11,arpack_matvec,central_difference,1.0,0.002019505111991313,0.33036480641976185,53940008.12899953,332.9081758804717,333.5019652853329,332.90763600539367,333.5017606317076,2,sparse_direct,not_applicable,1.5488602464078636e-16,3.4849355544176928e-16,0.0024286999978357926,0.0026375000015832484,0.0,0.0,3.4594310225836516e-05,3.459437137663233e-05,6.963262008175154,6.963249699553946,1.2308621208489967e-05,0.0,3.872150616019659e-17,3.872150616019659e-17,True,0.005535799995413981,0.0,,
