branch,component,sequence_index,stage,grid,current_A,current_mA,temperature_mean_K,temperature_min_K,temperature_max_K,device_voltage_V,active_area_mean_conductive_state,transition_area_fraction,transition_bearing,pattern_amplitude_K,alpha_tau,classification,stable,maximum_eta,maximum_ritz_residual_rate_per_s,uniform_mass_overlap,x_gradient_energy_fraction,y_gradient_energy_fraction,equilibrium_manifest,equilibrium_npz,spectrum_root,arclength_step,step_reductions,corrector_newton_iterations
heating,canonical_plus_seed,0,C,L1,0.00024153615009681766,0.24153615009681767,333.1671273544468,333.0383349613698,333.326464310911,6.965533872845402,0.16339087270986308,1.0,True,0.09881830876571532,0.005616459693010149,POSITIVE_UNSTABLE,False,4.0710507137061245e-08,0.16907992883537531,0.0004029770902209618,0.06729029491850934,0.9327097050814906,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_a1_pplus_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_a1_pplus_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/S/spectra/heating_a1_pplus_L1/a1_p1_k6,,,
heating,canonical_plus_seed,1,C,L1,0.00024088924610052244,0.24088924610052243,333.14258959721735,332.9079163942964,333.50182514961176,6.963255870404439,0.16206449835419662,1.0,True,0.19775600608332514,0.022534294512501347,POSITIVE_UNSTABLE,False,5.2448948917094284e-08,0.21783232816373835,0.001646115986544129,0.0983819821118736,0.9016180178881263,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_a2_pplus_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_a2_pplus_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/S/spectra/heating_a2_pplus_L1/a2_p1_k6,,,
heating,lower_current,2,C,L1,0.0002465735581733252,0.2465735581733252,333.3315796280458,333.3315796280458,333.3315796280459,6.9606222828280515,0.174963577780892,1.0,True,2.1268963065167453e-14,0.06606039637290453,POSITIVE_UNSTABLE,False,4.9206615723453836e-08,0.20436618627079617,3.316652114516457e-19,0.04792743577220399,0.952072564227796,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_1_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_1_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_1_L1/lower_current_1_k6,0.1,0,8
heating,higher_current,3,C,L1,0.00023588352301624435,0.23588352301624435,332.9472737300912,332.48766317926936,334.2658437217821,6.940452505815874,0.15205486555679318,1.0,True,0.4909660457692029,0.15476156200469351,POSITIVE_UNSTABLE,False,8.438338749992787e-08,0.35046326260050686,0.011915727131490833,0.18150622897571006,0.81849377102429,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_1_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_1_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_1_L1/higher_current_1_k6,0.1,0,6
heating,lower_current,4,C,L1,0.00025157211469225595,0.25157211469225593,333.4813711752356,333.1431520183054,333.90920216350537,6.944976649084563,0.18693088455360932,1.0,True,1.9023391118587137e-14,0.0735526541891123,POSITIVE_UNSTABLE,False,6.228880479622864e-08,0.25869947153272377,3.0926858723905948e-18,0.14004434797091608,0.8599556520290839,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_2_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_2_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_2_L1/lower_current_2_k6,0.1,0,6
heating,higher_current,5,C,L1,0.00023088866522362779,0.23088866522362778,332.74468538289426,332.2048422928166,334.9159849093896,6.909846298998545,0.14243908103105674,1.0,True,0.6432370703908541,0.31043688761599386,POSITIVE_UNSTABLE,False,9.152463227681415e-08,0.3801224646980587,0.02244417406743287,0.21094645446519653,0.7890535455348034,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_2_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_2_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_2_L1/higher_current_2_k6,0.1,0,5
heating,lower_current,6,C,L1,0.0002565854270032493,0.2565854270032493,333.6402613342159,333.64026133421584,333.64026133421595,6.936846942698386,0.19866537138582163,1.0,True,1.686249349756153e-14,0.20880161531165103,POSITIVE_UNSTABLE,False,5.535754921717275e-08,0.22991240199067714,5.340650893670347e-19,0.041431695201407034,0.958568304798593,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_3_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_3_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_3_L1/lower_current_3_k6,0.1,0,6
heating,higher_current,7,C,L1,0.00022464531471684806,0.22464531471684807,332.48473704864836,331.9004921249076,335.7467730892406,6.8635120833255545,0.13073272567174002,0.456,True,0.7660622437112086,0.5714021143334538,POSITIVE_UNSTABLE,False,1.2365152591057254e-07,0.5135527084189101,0.03343550054746237,0.21656683714916614,0.7834331628508339,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_3_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_3_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_3_L1/higher_current_3_k6,0.125,0,5
heating,lower_current,8,C,L1,0.00026158876411375105,0.26158876411375104,333.786721054606,333.78672105460595,333.78672105460606,6.91950414377026,0.21072711066227265,1.0,True,2.2737213000752974e-14,0.2826007676206979,POSITIVE_UNSTABLE,False,5.8235975157661685e-08,0.24186715488867552,6.730368755149292e-19,0.03863922667574152,0.9613607733242584,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_4_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_lower_current_arc_4_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_lower_current_arc_4_L1/lower_current_4_k6,0.1,0,5
heating,higher_current,9,C,L1,0.00021684055637106377,0.21684055637106378,332.15036385113615,331.5456997305778,336.615701599577,6.792894179875836,0.1165513232495591,0.288,True,0.8684121111914992,0.947419899802401,POSITIVE_UNSTABLE,False,1.8398806888598355e-07,0.7641439957764639,0.04445705003861078,0.21488061001550118,0.7851193899844988,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_4_L1.json,data/processed/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/equilibria/heating_higher_current_arc_4_L1.npz,outputs/tables/q2_cc_b_patterned_branch_decision_mve/Q2-CC-B-PATTERNED-BRANCH-DECISION-MVE-20260808-V1-R4/C/spectra/heating_higher_current_arc_4_L1/higher_current_4_k6,0.15625,0,5
